Date,Open,High,Low,Close,Adj Close,Volume
,SCHW,SCHW,SCHW,SCHW,,SCHW
1987-09-01,0.0,0.252,0.2279,0.2353,0.2353,160544026
1987-10-01,0.0,0.2446,0.0889,0.1167,0.1167,141029606
1987-11-01,0.0,0.1371,0.0945,0.0982,0.0982,78782123
1987-12-01,0.0,0.1001,0.0852,0.0889,0.0889,89124811
1988-01-01,0.0,0.1038,0.0871,0.0964,0.0964,66958651
1988-02-01,0.0,0.1334,0.0964,0.1334,0.1334,53987011
1988-03-01,0.0,0.1427,0.1075,0.1093,0.1093,62365951
1988-04-01,0.0,0.1167,0.1038,0.113,0.113,21751538
1988-05-01,0.0,0.1186,0.0982,0.1019,0.1019,24002328
1988-06-01,0.0,0.1204,0.1019,0.1075,0.1075,19377732
1988-07-01,0.0,0.1112,0.1038,0.1112,0.1112,23145754
1988-08-01,0.0,0.1112,0.0964,0.1001,0.1001,17732928
1988-09-01,0.0,0.1019,0.0945,0.1001,0.1001,18147546
1988-10-01,0.0,0.126,0.0982,0.1112,0.1112,33092046
1988-11-01,0.0,0.113,0.0982,0.1001,0.1001,15017403
1988-12-01,0.0,0.1019,0.0926,0.1001,0.1001,27984490
1989-01-01,0.0,0.1519,0.1001,0.1519,0.1519,66626049
1989-02-01,0.0,0.1594,0.1241,0.1279,0.1279,47102515
1989-03-01,0.0,0.1427,0.1279,0.1316,0.1316,26831758
1989-04-01,0.0,0.1612,0.1297,0.1501,0.1501,39470799
1989-05-01,0.0,0.1742,0.1464,0.1742,0.1742,41101933
1989-06-01,0.0,0.1802,0.1579,0.1635,0.1635,42550820
1989-07-01,0.1635,0.2452,0.1635,0.2452,0.2452,50387571
1989-08-01,0.2476,0.2532,0.2122,0.2345,0.2345,53344577
1989-09-01,0.2308,0.2364,0.201,0.2085,0.2085,28481121
1989-10-01,0.2104,0.2234,0.1731,0.1936,0.1936,45553391
1989-11-01,0.1959,0.2034,0.1847,0.1866,0.1866,22207165
1989-12-01,0.1847,0.2239,0.1828,0.2071,0.2071,29474381
1990-01-01,0.209,0.2257,0.1978,0.2015,0.2015,39990209
1990-02-01,0.2019,0.23,0.2019,0.2281,0.2281,25132279
1990-03-01,0.2281,0.2674,0.2281,0.2543,0.2543,68443993
1990-04-01,0.2524,0.2599,0.2206,0.2262,0.2262,44245744
1990-05-01,0.2229,0.2567,0.2229,0.236,0.236,40249915
1990-06-01,0.2379,0.2492,0.2286,0.2286,0.2286,27405847
1990-07-01,0.2304,0.2473,0.2005,0.2042,0.2042,49658571
1990-08-01,0.2065,0.214,0.1596,0.1896,0.1896,30941496
1990-09-01,0.1896,0.2065,0.1652,0.1708,0.1708,14324851
