Date,Open,High,Low,Close,Adj Close,Volume
,SLB,SLB,SLB,SLB,,SLB
1985-01-01,3.7111,3.9058,3.3583,3.8937,3.8937,86407600
1985-02-01,3.8572,4.2709,3.8572,4.0883,4.0883,47406400
1985-03-01,4.0883,4.137,3.6746,3.7477,3.7477,40609600
1985-04-01,3.7767,4.0955,3.6173,3.838,3.838,47653200
1985-05-01,3.8625,3.9729,3.7154,3.7277,3.7277,47962000
1985-06-01,3.7154,3.8012,3.4947,3.789,3.789,41113200
1985-07-01,3.8195,3.9184,3.6217,3.8319,3.8319,54223600
1985-08-01,3.8195,3.8319,3.6094,3.6218,3.6218,26279600
1985-09-01,3.597,3.6588,3.2756,3.3869,3.3869,40712000
1985-10-01,3.4398,3.6267,3.2279,3.3152,3.3152,39784800
1985-11-01,3.3027,3.6891,3.3027,3.5644,3.5644,50632800
1985-12-01,3.5395,3.689,3.2653,3.6392,3.6392,66416000
1986-01-01,3.683,3.7961,3.1676,3.3562,3.3562,75004400
1986-02-01,3.3562,3.419,2.9162,3.0168,3.0168,73862000
1986-03-01,3.0294,3.2682,2.9162,3.1928,3.1928,50845600
1986-04-01,3.238,3.2634,3.0094,3.0475,3.0475,44174000
1986-05-01,3.0475,3.3015,3.0221,3.2888,3.2888,47516800
1986-06-01,3.3142,3.5428,3.0602,3.492,3.492,62864400
1986-07-01,3.5244,3.5628,2.8836,2.9477,2.9477,66153200
1986-08-01,2.922,3.5116,2.7939,3.4859,3.4859,74971200
1986-09-01,3.4218,3.6397,3.1143,3.4603,3.4603,68000800
1986-10-01,3.4652,3.685,3.2454,3.2971,3.2971,92986800
1986-11-01,3.2842,3.5816,3.2196,3.4394,3.4394,63730800
1986-12-01,3.3877,3.6075,3.2454,3.2842,3.2842,65017200
1987-01-01,3.3402,3.9143,3.3402,3.7969,3.7969,96502000
1987-02-01,3.823,4.1492,3.7447,3.9274,3.9274,75530000
1987-03-01,3.8621,4.3318,3.823,4.2144,4.2144,86691600
1987-04-01,4.1818,4.7078,4.1423,4.3001,4.3001,90002400
