Date,Open,High,Low,Close,Adj Close,Volume
,SPG,SPG,SPG,SPG,,SPG
1993-12-01,4.1494,4.1725,4.1033,4.1725,4.1725,13005863
1994-01-01,4.1494,4.5413,4.1494,4.5182,4.5182,7553793
1994-02-01,4.5413,4.9101,4.4491,4.7488,4.7488,11102386
1994-03-01,4.7027,5.1637,4.426,4.7257,4.7257,6897428
1994-04-01,4.5038,5.0199,4.4335,5.0199,5.0199,2876063
1994-05-01,5.0199,5.2545,4.9026,5.1372,5.1372,2627720
1994-06-01,5.1841,5.2545,4.8557,4.9964,4.9964,2340695
1994-07-01,5.0863,5.3251,4.8714,5.0863,5.0863,2601539
1994-08-01,5.0863,5.1341,4.8236,5.0386,5.0386,1609344
1994-09-01,5.0386,5.0386,4.7998,4.8953,4.8953,2979175
1994-10-01,4.9864,5.0107,4.5242,4.6459,4.6459,1374683
1994-11-01,4.5972,4.6702,4.4269,4.5972,4.5972,2837817
1994-12-01,4.5972,4.9621,4.4269,4.7188,4.7188,1999368
1995-01-01,4.8121,4.9858,4.6137,4.6385,4.6385,1369182
1995-02-01,4.6137,4.9113,4.4649,4.8369,4.8369,1935369
1995-03-01,4.8369,5.1594,4.7377,4.8369,4.8369,2357933
1995-04-01,4.9087,4.934,4.7316,4.8075,4.8075,3746728
1995-05-01,4.8075,5.1111,4.7822,5.0352,5.0352,3045113
1995-06-01,5.0605,5.1364,4.8328,5.0858,5.0858,2046128
1995-07-01,5.0858,5.2124,4.9087,4.9593,4.9593,1537156
1995-08-01,5.0564,5.1338,4.979,5.0822,5.0822,2365907
1995-09-01,5.108,5.366,5.0822,5.237,5.237,2613714
1995-10-01,5.237,5.2886,4.7984,4.7984,4.7984,1654593
1995-11-01,4.8933,5.2353,4.7881,4.867,4.867,2200308
1995-12-01,4.9196,5.3142,4.8144,5.1301,5.1301,2685900
1996-01-01,5.1038,5.1564,4.7092,4.7092,4.7092,3323733
1996-02-01,4.8067,5.0483,4.5381,5.0215,5.0215,4593475
1996-03-01,5.0215,5.2095,4.9141,4.9678,4.9678,3676481
1996-04-01,4.9946,5.0215,4.753,4.9409,4.9409,4280805
1996-05-01,5.0483,5.3227,4.8837,5.3227,5.3227,2542710
1996-06-01,5.2953,5.4325,5.2404,5.3776,5.3776,1939356
1996-07-01,5.3776,5.4325,5.0209,5.1581,5.1581,2020269
1996-08-01,5.2649,5.685,5.2649,5.573,5.573,3667321
1996-09-01,5.6878,5.8878,5.602,5.8307,5.8307,3266952
1996-10-01,5.8307,6.1451,5.8021,6.0307,6.0307,4524947
1996-11-01,6.0593,6.3737,6.0022,6.2594,6.2594,3737031
1996-12-01,6.4047,7.2198,6.3174,7.2198,7.2198,11078574
1997-01-01,7.2198,7.2198,6.6085,6.8123,6.8123,5207063
1997-02-01,6.8414,7.1907,6.8123,7.016,7.016,4574296
1997-03-01,7.134,7.7557,7.0452,7.1636,7.1636,3920407
1997-04-01,7.1636,7.3708,6.6012,6.7788,6.7788,3944652
1997-05-01,6.8084,7.1636,6.69,7.1636,7.1636,4031489
1997-06-01,7.2583,7.71,7.1679,7.71,7.71,4077064
1997-07-01,7.6498,7.951,7.2282,7.71,7.71,3071076
1997-08-01,7.71,7.8606,6.9872,7.6348,7.6348,3750283
1997-09-01,7.7885,8.4159,7.7426,8.0792,8.0792,6108431
1997-10-01,8.1098,8.2016,7.1305,7.5743,7.5743,3820425
1997-11-01,7.5896,8.1098,7.0693,8.0027,8.0027,4482283
1997-12-01,8.1977,8.4466,7.8089,8.1355,8.1355,6192902
1998-01-01,8.12,8.3689,7.84,8.26,8.26,4296857
1998-02-01,8.2755,8.3689,7.6533,7.6844,7.6844,4431967
1998-03-01,7.913,8.7186,7.6761,8.6554,8.6554,7828102
1998-04-01,8.6554,8.8133,8.0868,8.3237,8.3237,3944220
1998-05-01,8.3237,8.529,8.1342,8.4343,8.4343,3643513
1998-06-01,8.531,8.7555,7.9537,8.3386,8.3386,3745542
1998-07-01,8.3386,8.7876,7.9217,7.9858,7.9858,3660860
1998-08-01,7.9858,8.1782,7.168,7.4566,7.4566,4733107
1998-09-01,7.5653,8.0871,6.7338,7.761,7.761,9808835
1998-10-01,7.8075,8.1398,6.9437,7.957,7.957,8283744
1998-11-01,7.9903,8.2062,7.6082,7.874,7.874,4776096
1998-12-01,7.8825,7.9823,7.3338,7.5832,7.5832,7388085
1999-01-01,7.5167,7.6497,7.0012,7.0012,7.0012,6722672
1999-02-01,7.0012,7.2174,6.6519,6.7683,6.7683,11483574
1999-03-01,6.9482,7.4566,6.4737,7.4396,7.4396,9727703
1999-04-01,7.3888,7.9819,6.9482,7.7786,7.7786,6104878
1999-05-01,7.7447,8.3887,7.5922,7.9311,7.9311,3774956
1999-06-01,8.1407,8.2269,7.0023,7.0023,7.0023,5030798
1999-07-01,7.2783,7.5887,7.2438,7.33,7.33,4953115
1999-08-01,7.3128,7.4853,6.8816,7.0368,7.0368,4291688
1999-09-01,7.1895,7.2071,6.3106,6.3106,6.3106,3589427
1999-10-01,6.3633,6.6446,6.0469,6.4864,6.4864,5046849
1999-11-01,6.5567,6.8907,6.293,6.5567,6.5567,6599628
1999-12-01,6.6863,7.0098,5.8775,6.5964,6.5964,8007386
2000-01-01,6.5605,7.3334,6.2909,7.0997,7.0997,5773355
2000-02-01,7.1357,7.1896,6.5605,6.7223,6.7223,6042066
2000-03-01,6.8803,7.0454,6.6234,6.8436,6.8436,4390597
2000-04-01,6.9353,7.6325,6.8252,7.4674,7.4674,8092395
2000-05-01,7.4857,7.9627,7.0821,7.1922,7.1922,7304261
2000-06-01,7.3486,7.4982,6.638,6.638,6.638,9494657
2000-07-01,6.9185,8.0218,6.9185,7.8161,7.8161,6067919
2000-08-01,7.8161,8.0031,6.8063,6.8063,6.8063,11272398
2000-09-01,6.9754,7.3756,6.9182,7.1469,7.1469,7066800
2000-10-01,7.0517,7.1469,6.5942,6.8039,6.8039,5211050
2000-11-01,6.6705,7.0517,6.5561,6.9945,6.9945,7779834
2000-12-01,7.1174,7.7804,7.0979,7.4879,7.4879,8417020
2001-01-01,7.4879,8.2523,7.4294,8.2149,8.2149,9215067
2001-02-01,8.1369,8.2617,7.7375,7.9903,7.9903,5910510
2001-03-01,8.1302,8.2734,7.5574,8.1461,8.1461,8919312
2001-04-01,8.1461,8.4961,7.9838,8.4229,8.4229,5169353
2001-05-01,8.4229,8.6871,8.0888,8.6298,8.6298,9071338
2001-06-01,8.8166,9.7324,8.7517,9.7324,9.7324,10599659
2001-07-01,9.6187,9.6382,9.1998,9.2063,9.2063,7154500
2001-08-01,9.2095,10.0571,9.1998,9.5148,9.5148,10021190
2001-09-01,9.6832,9.713,8.2886,8.8934,8.8934,11920360
2001-10-01,8.9892,9.6072,8.7248,9.0884,9.0884,15049836
2001-11-01,9.0553,9.6667,9.0553,9.5477,9.5477,10905861
2001-12-01,9.761,10.0875,9.7105,9.872,9.872,10944651
2002-01-01,9.8754,10.2154,9.6937,10.1952,10.1952,9449406
2002-02-01,10.1952,10.4341,10.0976,10.3601,10.3601,8958102
2002-03-01,10.6094,11.3252,10.5341,11.1745,11.1745,15379310
2002-04-01,11.1642,11.8149,11.1368,11.558,11.558,11812189
2002-05-01,11.5409,11.8457,11.1471,11.6676,11.6676,13325530
2002-06-01,11.9413,12.8639,11.7011,12.8256,12.8256,31688005
2002-07-01,12.8256,12.8256,10.2354,12.5297,12.5297,31995822
2002-08-01,12.5297,12.5471,12.0667,12.3905,12.3905,20012648
2002-09-01,12.6355,12.9007,12.1652,12.6355,12.6355,20208631
2002-10-01,12.639,12.6638,10.9628,12.0768,12.0768,21807952
2002-11-01,12.0768,12.3667,11.6701,11.9247,11.9247,17624435
2002-12-01,12.2077,12.409,11.8951,12.2437,12.2437,18250202
