Date,Open,High,Low,Close,Adj Close,Volume
,SRE,SRE,SRE,SRE,,SRE
1998-06-01,5.3658,5.4845,5.2708,5.2827,5.2827,15690200
1998-07-01,5.2708,5.3183,4.7485,4.7841,4.7841,21016800
1998-08-01,4.7485,4.9147,4.5111,4.8316,4.8316,21307200
1998-09-01,4.7841,5.1046,4.6654,4.9503,4.9503,20297600
1998-10-01,5.0365,5.651,4.8196,5.0124,5.0124,22577200
1998-11-01,5.0124,5.3136,4.7955,4.7955,4.7955,12570000
1998-12-01,4.8557,5.0244,4.7353,4.8919,4.8919,17686600
1999-01-01,4.9568,5.0914,4.455,4.5039,4.5039,16802400
1999-02-01,4.4795,4.4917,4.0266,4.1123,4.1123,16998800
1999-03-01,4.1123,4.2347,3.7451,3.7574,3.7574,38872400
1999-04-01,3.8021,4.3069,3.6899,4.1386,4.1386,25843600
1999-05-01,4.1636,4.4627,4.0888,4.2882,4.2882,30297800
1999-06-01,4.3132,4.9614,4.2384,4.5126,4.5126,45191400
1999-07-01,4.5913,4.7055,4.4645,4.5025,4.5025,15843000
1999-08-01,4.5152,4.7055,4.3884,4.5279,4.5279,14244400
1999-09-01,4.5152,4.604,4.0586,4.2235,4.2235,18017600
1999-10-01,4.3115,4.4923,4.1308,4.2212,4.2212,17272400
1999-11-01,4.2083,4.3115,3.5499,3.821,3.821,17497800
1999-12-01,3.8726,3.8856,3.537,3.5886,3.5886,52672600
2000-01-01,3.6388,4.0343,3.4278,3.9156,3.9156,41177600
2000-02-01,3.8893,4.0607,3.7442,3.797,3.797,49755200
2000-03-01,3.797,3.9024,3.5201,3.5333,3.5333,37764200
2000-04-01,3.6237,4.1051,3.4633,3.9714,3.9714,22794600
2000-05-01,3.851,4.1051,3.6371,4.0516,4.0516,16627800
2000-06-01,4.065,4.1185,3.6237,3.6371,3.6371,24951400
2000-07-01,3.6857,4.1193,3.6857,4.0651,4.0651,21990800
2000-08-01,4.038,4.2819,3.9431,4.2311,4.2311,20134800
2000-09-01,4.2141,4.5529,4.0651,4.5156,4.5156,26929600
2000-10-01,4.5689,4.6101,4.2534,4.5415,4.5415,17306400
2000-11-01,4.5689,5.4608,4.5278,5.3647,5.3647,22850600
2000-12-01,5.3236,5.4196,4.3906,5.104,5.104,33174200
2001-01-01,5.1045,5.1184,3.8422,4.5208,4.5208,45925800
2001-02-01,4.5208,5.0423,4.3277,4.9602,4.9602,26527400
2001-03-01,4.8382,5.3131,4.6162,5.1666,5.1666,32276200
2001-04-01,5.1827,6.3831,4.9315,6.2081,6.2081,43829000
2001-05-01,6.2036,6.419,5.8334,6.1251,6.1251,34230600
2001-06-01,6.1251,6.2821,5.5866,6.134,6.134,36903200
2001-07-01,6.1951,6.3424,5.4363,5.7489,5.7489,23540000
2001-08-01,5.6923,6.2971,5.6764,6.1363,6.1363,20426400
2001-09-01,6.1929,6.2744,5.2664,5.6062,5.6062,26377600
2001-10-01,5.6486,6.1014,5.0311,5.3513,5.3513,23237000
2001-11-01,5.317,5.5411,5.0791,5.2964,5.2964,12348600
2001-12-01,5.2964,5.7629,5.1569,5.6143,5.6143,22764200
2002-01-01,5.6615,5.9897,5.412,5.5344,5.5344,23062800
2002-02-01,5.4767,5.5668,5.1462,5.1578,5.1578,19609800
2002-03-01,5.1531,5.8348,5.1185,5.8117,5.8117,27406600
2002-04-01,5.8492,6.0943,5.7231,5.9706,5.9706,55338600
2002-05-01,6.0126,6.1294,5.5293,5.8398,5.8398,41547800
2002-06-01,5.8375,5.8398,5.0249,5.1674,5.1674,41044000
2002-07-01,5.2492,5.3153,3.6568,5.0015,5.0015,68535600
2002-08-01,5.0015,5.6881,4.8411,5.6645,5.6645,41231000
2002-09-01,5.6645,5.6645,4.2938,4.6358,4.6358,41962000
2002-10-01,4.6927,5.3136,3.9882,5.2873,5.2873,69774200
2002-11-01,5.2682,5.5906,4.9721,5.5333,5.5333,33713600
2002-12-01,5.6957,5.8796,5.3231,5.6479,5.6479,35783200
2003-01-01,5.7121,6.2743,5.5986,5.8158,5.8158,36252200
2003-02-01,5.9244,6.0861,5.3839,5.5986,5.5986,42567800
2003-03-01,5.6831,6.0716,5.3694,6.0234,6.0234,53233400
2003-04-01,6.1048,6.6462,6.017,6.5462,6.5462,46163600
2003-05-01,6.4024,6.7926,5.8658,6.6511,6.6511,56765000
2003-06-01,6.6755,7.1706,6.6511,6.9584,6.9584,38790400
2003-07-01,7.0213,7.1566,6.7187,6.8466,6.8466,30091000
2003-08-01,6.7777,7.3214,6.731,7.319,7.319,25448800
2003-09-01,7.3559,7.4616,7.1418,7.223,7.223,36737000
2003-10-01,7.3215,7.6664,6.8551,6.8973,6.8973,61867200
2003-11-01,6.9345,7.0412,6.54,7.0263,7.0263,35865800
2003-12-01,7.0586,7.4977,6.9221,7.458,7.458,36451600
2004-01-01,7.5201,8.0281,7.385,7.7929,7.7929,32258000
