Date,Open,High,Low,Close,Adj Close,Volume
,STLD,STLD,STLD,STLD,,STLD
1996-11-01,2.7992,2.9792,2.6993,2.9192,2.9192,22732000
1996-12-01,2.9192,3.3591,2.6793,3.0592,3.0592,11086800
1997-01-01,3.0592,4.0589,2.9992,3.719,3.719,12094800
1997-02-01,3.699,3.719,3.1191,3.1991,3.1991,7464400
1997-03-01,3.2391,3.2391,2.7792,2.7992,2.7992,6826400
1997-04-01,2.7992,3.3391,2.6393,3.1191,3.1191,8892000
1997-05-01,3.1991,3.8389,3.0792,3.599,3.599,7458400
1997-06-01,3.619,4.2188,3.3591,3.9989,3.9989,8495200
1997-07-01,3.9389,4.5987,3.9389,4.2388,4.2388,9581600
1997-08-01,4.2388,4.2588,3.719,4.0389,4.0389,26650800
1997-09-01,3.9989,4.5387,3.639,3.759,3.759,24048000
1997-10-01,3.769,3.8789,3.0392,3.3991,3.3991,38398000
1997-11-01,3.3991,3.479,2.8792,2.9592,2.9592,12966400
1997-12-01,3.0392,3.0891,2.5193,2.5593,2.5593,35255600
1998-01-01,2.5993,3.2791,2.5593,3.1991,3.1991,14424400
1998-02-01,3.2191,3.2191,2.9592,3.0392,3.0392,10516000
1998-03-01,3.0492,3.489,2.8592,3.3991,3.3991,22753200
1998-04-01,3.3891,3.799,3.3391,3.659,3.659,17962000
1998-05-01,3.679,3.679,3.0791,3.0991,3.0991,10028800
1998-06-01,3.1591,3.1591,2.1794,2.2194,2.2194,35328400
1998-07-01,2.2594,2.4693,2.0794,2.3194,2.3194,21379600
1998-08-01,2.3394,2.3394,1.6795,1.7795,1.7795,20484800
1998-09-01,1.7595,2.2394,1.7395,2.0794,2.0794,8951600
1998-10-01,1.9994,2.2394,1.4996,2.1794,2.1794,12565600
1998-11-01,2.1994,2.4593,2.0394,2.1794,2.1794,9683200
1998-12-01,2.1294,2.1994,1.6795,1.8795,1.8795,12962400
1999-01-01,1.8795,2.7192,1.8795,2.6593,2.6593,11980000
1999-02-01,2.7192,2.7392,2.4493,2.5193,2.5193,11588000
1999-03-01,2.5193,2.7392,2.3194,2.6493,2.6493,10374000
1999-04-01,2.6593,3.3991,2.5293,2.6993,2.6993,20256400
1999-05-01,2.7292,2.9592,2.4193,2.7292,2.7292,12975600
1999-06-01,2.7392,2.8592,2.3593,2.4743,2.4743,9568400
1999-07-01,2.4593,2.8892,2.3793,2.8392,2.8392,20842800
1999-08-01,2.8392,2.9192,2.6793,2.8792,2.8792,13215600
1999-09-01,2.8392,2.8992,2.3593,2.5093,2.5093,7569200
1999-10-01,2.4743,2.6593,1.9895,2.1894,2.1894,14078400
1999-11-01,2.1794,2.3793,2.0694,2.1994,2.1994,10920800
1999-12-01,2.2394,2.8792,2.1694,2.5493,2.5493,17115200
2000-01-01,2.5693,3.0392,2.3593,2.4893,2.4893,26890400
2000-02-01,2.5093,2.7892,2.3793,2.4593,2.4593,16962000
2000-03-01,2.4593,2.5093,1.7795,1.8495,1.8495,22246000
2000-04-01,1.8595,2.0694,1.7395,1.8195,1.8195,13802400
2000-05-01,1.7795,1.8795,1.3196,1.4896,1.4896,31067200
2000-06-01,1.5296,1.6495,1.4096,1.4496,1.4496,17263600
2000-07-01,1.4396,1.8195,1.4096,1.8095,1.8095,9030400
2000-08-01,1.8195,2.0394,1.7395,1.9395,1.9395,12936800
2000-09-01,1.9345,1.9695,1.4296,1.4696,1.4696,12459200
2000-10-01,1.4746,1.9195,1.3496,1.9195,1.9195,7259200
2000-11-01,1.8795,1.9095,1.5596,1.5996,1.5996,5698400
2000-12-01,1.5996,1.8195,1.4196,1.7595,1.7595,12136400
2001-01-01,1.797,1.8095,1.5996,1.7495,1.7495,15056800
2001-02-01,1.7495,2.0994,1.7395,1.9895,1.9895,13808000
2001-03-01,1.9894,2.1194,1.7195,1.7795,1.7795,7853600
2001-04-01,1.782,2.297,1.7095,2.2938,2.2938,7226000
2001-05-01,2.273,2.3913,2.033,2.2106,2.2106,7363600
2001-06-01,2.2122,2.3913,1.8715,1.9994,1.9994,9644000
2001-07-01,1.9835,2.0634,1.8395,2.0314,2.0314,9342400
2001-08-01,2.0394,2.2442,1.9787,2.1354,2.1354,18307200
2001-09-01,2.129,2.3913,1.4284,1.582,1.582,13084000
2001-10-01,1.6779,1.7899,1.4396,1.6635,1.6635,10170800
2001-11-01,1.6555,1.8219,1.5596,1.6443,1.6443,14720400
2001-12-01,1.6172,1.9259,1.6172,1.8571,1.8571,21114000
2002-01-01,1.8715,2.2026,1.8235,2.1898,2.1898,18396800
2002-02-01,2.1866,2.2826,1.9515,2.1738,2.1738,17423200
2002-03-01,2.1898,2.7017,2.0298,2.6249,2.6249,28521200
2002-04-01,2.6153,3.0871,2.5753,2.7912,2.7912,31978800
2002-05-01,2.7512,2.9512,2.6953,2.8504,2.8504,33556400
2002-06-01,2.8792,2.9352,2.4393,2.6345,2.6345,29660800
2002-07-01,2.6073,2.9432,2.4713,2.7224,2.7224,51564000
2002-08-01,2.74,2.8024,1.8363,1.9339,1.9339,51845200
2002-09-01,1.9323,2.4041,1.6971,2.0938,2.0938,58654000
