Date,Open,High,Low,Close,Adj Close,Volume
,STT,STT,STT,STT,,STT
1985-01-01,0.0,0.8081,0.7428,0.8081,0.8081,20675200
1985-02-01,0.0,0.906,0.7958,0.8529,0.8529,12694400
1985-03-01,0.0,0.8774,0.8448,0.8489,0.8489,7475200
1985-04-01,0.0,0.9019,0.8264,0.8938,0.8938,20406400
1985-05-01,0.0,1.0856,0.8897,1.0652,1.0652,25606400
1985-06-01,0.0,1.1182,1.0611,1.0937,1.0937,6419200
1985-07-01,0.0,1.0978,0.9672,0.9958,0.9958,22416000
1985-08-01,0.0,1.0692,0.955,0.9958,0.9958,11931200
1985-09-01,0.0,1.0039,0.9142,0.9835,0.9835,12908800
1985-10-01,0.0,1.1019,0.9754,1.1019,1.1019,19470400
1985-11-01,0.0,1.3549,1.0978,1.2815,1.2815,16320000
1985-12-01,0.0,1.3631,1.2202,1.3468,1.3468,17499200
1986-01-01,0.0,1.461,1.2774,1.4284,1.4284,14188800
1986-02-01,0.0,1.6569,1.4284,1.6528,1.6528,9582400
1986-03-01,0.0,1.7059,1.5508,1.5671,1.5671,10676800
1986-04-01,0.0,1.8324,1.5631,1.7712,1.7712,15803200
1986-05-01,0.0,1.7794,1.461,1.6855,1.6855,17579200
1986-06-01,0.0,1.8855,1.6814,1.8528,1.8528,12099200
1986-07-01,0.0,1.8569,1.6202,1.6243,1.6243,8267200
1986-08-01,1.6284,1.7304,1.5794,1.6977,1.6977,7511200
1986-09-01,1.7059,1.7141,1.257,1.4284,1.4284,20314400
1986-10-01,1.4202,1.6651,1.3386,1.6651,1.6651,37506400
1986-11-01,1.6651,1.8365,1.6651,1.7141,1.7141,23452800
1986-12-01,1.7141,1.7141,1.5263,1.5263,1.5263,19370400
1987-01-01,1.5427,2.0732,1.5427,1.9997,1.9997,36238400
1987-02-01,2.0079,2.065,1.9426,2.0487,2.0487,18683200
1987-03-01,2.065,2.3589,1.9916,2.1875,2.1875,21260000
1987-04-01,2.1711,2.2691,1.7794,1.8283,1.8283,20989600
1987-05-01,1.8283,2.0161,1.763,1.91,1.91,11356000
1987-06-01,1.8936,2.0814,1.8855,1.9752,1.9752,11096800
1987-07-01,1.9671,1.9997,1.8528,1.8773,1.8773,18926400
1987-08-01,1.8691,2.3017,1.8365,2.163,2.163,25954400
