Date,Open,High,Low,Close,Adj Close,Volume
,STZ,STZ,STZ,STZ,,STZ
1992-03-01,1.365,1.5097,1.3379,1.4645,1.4645,3842400
1992-04-01,1.4645,1.6905,1.3831,1.6453,1.6453,4215600
1992-05-01,1.6453,1.808,1.6091,1.6814,1.6814,7900800
1992-06-01,1.6453,1.7718,1.4825,1.591,1.591,12900000
1992-07-01,1.5729,1.6001,1.4464,1.5729,1.5729,8636800
1992-08-01,1.5187,1.6272,1.4102,1.4645,1.4645,4515200
1992-09-01,1.4238,1.4916,1.3017,1.3289,1.3289,11405600
1992-10-01,1.3289,1.5458,1.1661,1.5458,1.5458,10851200
1992-11-01,1.5458,1.7085,1.4645,1.7085,1.7085,11972800
1992-12-01,1.6272,1.8441,1.5458,1.8441,1.8441,7487200
1993-01-01,1.8441,2.034,1.7899,1.9255,1.9255,10660800
1993-02-01,1.8441,2.034,1.6272,1.7357,1.7357,5822400
1993-03-01,1.7357,1.817,1.6272,1.7628,1.7628,13693600
1993-04-01,1.7628,1.9526,1.4645,1.9391,1.9391,6976000
1993-05-01,1.9391,2.1153,1.8984,2.0069,2.0069,12772800
1993-06-01,1.9526,2.1153,1.8984,2.0069,2.0069,7843200
1993-07-01,2.0069,2.495,1.9526,2.373,2.373,37548800
1993-08-01,2.3594,2.5764,2.3594,2.4137,2.4137,15743200
1993-09-01,2.4137,2.5086,2.2781,2.4679,2.4679,15976800
1993-10-01,2.4679,2.712,2.4137,2.5221,2.5221,20272000
1993-11-01,2.5221,2.7933,2.3323,2.7662,2.7662,30018400
1993-12-01,2.7933,3.4713,2.7662,3.4171,3.4171,32786400
1994-01-01,3.3628,3.3628,2.9018,3.1459,3.1459,23346400
1994-02-01,3.1459,3.1459,2.8476,2.9832,2.9832,9388800
1994-03-01,2.9018,3.3086,2.8205,2.9832,2.9832,20100800
1994-04-01,2.9289,3.2001,2.6035,2.6849,2.6849,14760000
1994-05-01,2.6849,2.712,2.1967,2.495,2.495,13954400
1994-06-01,2.4408,2.8205,2.4137,2.712,2.712,19412000
1994-07-01,2.712,2.9018,2.6035,2.7798,2.7798,11686400
1994-08-01,2.7662,3.3357,2.7662,3.3086,3.3086,20248000
1994-09-01,3.3086,3.7154,3.2272,3.634,3.634,16013600
1994-10-01,3.5798,3.7154,3.4984,3.5662,3.5662,10500000
1994-11-01,3.4984,3.6883,3.4984,3.6069,3.6069,28760800
1994-12-01,3.634,4.1764,3.6069,4.1222,4.1222,20089600
1995-01-01,4.1222,4.3934,3.9052,3.9595,3.9595,16175200
