Date,Open,High,Low,Close,Adj Close,Volume
,SWKS,SWKS,SWKS,SWKS,,SWKS
1985-01-01,3.1261,3.33,2.6844,3.1941,3.1941,924000
1985-02-01,3.1261,3.8057,2.8543,3.7377,3.7377,1410900
1985-03-01,3.7377,3.8736,2.9902,3.4659,3.4659,846000
1985-04-01,3.4659,3.4659,2.7183,2.9902,2.9902,1026600
1985-05-01,2.9902,3.6018,2.8882,3.5678,3.5678,3987000
1985-06-01,3.5678,3.6358,3.1941,3.5338,3.5338,1418100
1985-07-01,3.5338,3.6698,3.33,3.33,3.33,402000
1985-08-01,3.33,3.3979,3.1261,3.1941,3.1941,880500
1985-09-01,3.1941,3.228,2.8543,2.9562,2.9562,450300
1985-10-01,2.9902,3.0242,2.6164,2.6164,2.6164,654600
1985-11-01,2.6164,2.7863,2.1747,2.6504,2.6504,2261700
1985-12-01,2.6504,3.33,2.5484,2.9222,2.9222,3162600
1986-01-01,2.9222,3.1941,2.7863,2.9562,2.9562,937200
1986-02-01,2.9562,3.1261,2.5484,3.0581,3.0581,2719800
1986-03-01,3.0581,3.0921,2.3446,2.7863,2.7863,1548300
1986-04-01,2.7863,3.0921,2.4805,2.9222,2.9222,1149600
1986-05-01,2.9222,3.364,2.8543,3.1941,3.1941,1417500
1986-06-01,3.1941,3.262,2.6164,2.7863,2.7863,1046400
1986-07-01,2.7863,2.8203,2.4125,2.5145,2.5145,795000
1986-08-01,2.5145,2.5824,2.2766,2.3446,2.3446,956700
1986-09-01,2.3446,2.4125,1.9028,2.1407,2.1407,1690800
1986-10-01,2.1407,2.5145,2.0048,2.1747,2.1747,2222400
1986-11-01,2.1747,2.8543,2.1407,2.3106,2.3106,1420500
1986-12-01,2.3446,2.3786,1.8009,1.8009,1.8009,2244900
1987-01-01,1.8349,2.3106,1.8349,2.1067,2.1067,1050900
1987-02-01,2.1067,2.3446,1.9708,2.0727,2.0727,792000
1987-03-01,2.0727,2.1747,1.9028,1.9368,1.9368,1448400
1987-04-01,1.9368,2.0727,1.8349,1.9028,1.9028,706800
1987-05-01,1.8689,1.9708,1.7329,1.8349,1.8349,941400
1987-06-01,1.8349,2.8203,1.8349,2.7183,2.7183,2443800
1987-07-01,2.7183,3.0242,2.3786,2.4465,2.4465,1544400
1987-08-01,2.4465,2.9222,2.2426,2.6844,2.6844,1193700
1987-09-01,2.6844,2.9222,2.3446,2.4125,2.4125,925800
1987-10-01,2.4125,2.4465,1.0873,1.3592,1.3592,1749000
1987-11-01,1.3592,1.4611,1.1553,1.1893,1.1893,655200
1987-12-01,1.1893,1.3252,0.8155,0.9854,0.9854,1773000
1988-01-01,1.0534,1.1553,0.9514,1.0534,1.0534,376800
1988-02-01,1.0194,1.1213,0.9514,1.0873,1.0873,353700
1988-03-01,1.0873,1.2233,0.9854,1.0873,1.0873,1142400
1988-04-01,1.0534,1.1213,0.9854,1.0873,1.0873,632400
1988-05-01,1.0873,1.4611,1.0194,1.4611,1.4611,2594400
1988-06-01,1.4611,1.9368,1.3932,1.699,1.699,1614600
1988-07-01,1.699,1.7669,1.4951,1.631,1.631,873000
1988-08-01,1.631,1.9368,1.4951,1.597,1.597,1250400
1988-09-01,1.597,1.7669,1.4271,1.4611,1.4611,698100
1988-10-01,1.4271,1.4271,1.2233,1.3252,1.3252,660600
1988-11-01,1.3252,1.3252,0.9514,1.0194,1.0194,708600
1988-12-01,1.0194,1.1213,0.9514,1.0534,1.0534,924300
1989-01-01,1.0534,1.0873,0.9854,1.0194,1.0194,591300
1989-02-01,1.0194,1.3252,0.9514,1.2233,1.2233,859200
1989-03-01,1.2233,1.3592,1.1893,1.2233,1.2233,688500
1989-04-01,1.2233,1.2912,1.1553,1.2572,1.2572,458700
1989-05-01,1.2572,1.3592,1.1553,1.2233,1.2233,425100
1989-06-01,1.2233,1.4951,1.1893,1.2233,1.2233,1580100
1989-07-01,1.2572,1.4271,1.2572,1.3932,1.3932,447600
1989-08-01,1.3932,1.4271,1.1893,1.2912,1.2912,766800
1989-09-01,1.2912,1.2912,1.1213,1.1553,1.1553,467700
1989-10-01,1.1893,1.3932,1.1553,1.1553,1.1553,861300
1989-11-01,1.1213,1.2572,1.0194,1.0194,1.0194,429000
1989-12-01,1.0194,1.0873,0.8835,0.9174,0.9174,581400
1990-01-01,0.9174,1.0194,0.7815,0.7815,0.7815,385200
1990-02-01,0.7815,0.9174,0.6456,0.7136,0.7136,303600
1990-03-01,0.7136,0.8835,0.6796,0.7815,0.7815,297600
