Date,Open,High,Low,Close,Adj Close,Volume
,SWK,SWK,SWK,SWK,,SWK
1985-01-01,0.0,3.2875,2.6516,3.1387,3.1387,5379600
1985-02-01,0.0,3.2875,3.0034,3.2604,3.2604,3392700
1985-03-01,0.0,3.274,2.9358,3.0846,3.0846,2238600
1985-04-01,0.0,3.1657,2.8681,2.8681,2.8681,4929000
1985-05-01,0.0,3.2875,2.8681,3.2604,3.2604,2067300
1985-06-01,0.0,3.3551,3.1657,3.1928,3.1928,2967300
1985-07-01,3.1116,3.3957,2.9763,3.1116,3.1116,2879700
1985-08-01,3.1116,3.274,3.1116,3.2469,3.2469,1313400
1985-09-01,3.2469,3.274,2.9899,3.1116,3.1116,1666500
1985-10-01,3.1388,3.248,3.0569,3.1934,3.1934,1838400
1985-11-01,3.1934,3.4937,3.1798,3.3981,3.3981,2161500
1985-12-01,3.3981,3.6847,3.3026,3.4937,3.4937,2975700
1986-01-01,3.5234,3.9501,3.3858,3.9501,3.9501,5819700
1986-02-01,3.9501,4.2942,3.9088,4.2942,4.2942,3777600
1986-03-01,4.2942,5.0374,4.2529,5.0099,5.0099,3357900
1986-04-01,5.0157,5.1266,4.6139,4.9464,4.9464,3320100
1986-05-01,4.9464,5.0573,4.8079,5.0018,5.0018,2332200
1986-06-01,5.0018,5.0018,4.4338,4.5169,4.5169,3112500
1986-07-01,4.5294,4.6131,3.8744,4.1531,4.1531,3819600
1986-08-01,4.1532,4.6688,3.958,4.5713,4.5713,2278800
1986-09-01,4.404,4.7664,4.0138,4.3692,4.3692,2419800
1986-10-01,4.4419,4.6945,4.0629,4.4208,4.4208,2002400
1986-11-01,4.4208,4.7576,4.2524,4.5892,4.5892,2067000
1986-12-01,4.5892,4.8629,4.2103,4.2945,4.2945,4326400
1987-01-01,4.3669,5.6812,4.3669,5.6176,5.6176,2944800
1987-02-01,5.6176,5.66,4.8121,5.1725,5.1725,4860600
1987-03-01,5.1301,5.9356,5.1089,5.766,5.766,4363000
1987-04-01,5.6299,6.035,4.7768,5.6085,5.6085,3095600
1987-05-01,5.6725,5.7791,5.0541,5.3953,5.3953,2099800
1987-06-01,5.4592,6.1203,5.246,5.8431,5.8431,1899400
1987-07-01,5.8772,6.1346,5.4053,5.7056,5.7056,1948200
1987-08-01,5.6627,6.1989,5.5769,6.156,6.156,2131800
1987-09-01,6.1131,6.2847,5.534,5.8343,5.8343,2393400
1987-10-01,5.8717,6.174,3.6698,4.0152,4.0152,3779200
1987-11-01,4.0152,4.3606,3.7562,3.9289,3.9289,1786000
1987-12-01,3.8857,4.7924,3.821,4.4686,4.4686,2032200
1988-01-01,4.5776,4.8392,4.1198,4.5776,4.5776,1613200
1988-02-01,4.6212,4.9264,4.0108,4.9264,4.9264,1930600
1988-03-01,4.8828,5.5367,4.8392,5.1661,5.1661,2752400
1988-04-01,5.2269,5.5783,4.8755,5.1391,5.1391,2645600
1988-05-01,5.183,5.183,4.612,5.0952,5.0952,1368600
1988-06-01,5.0512,5.2489,4.8316,5.0952,5.0952,2961200
1988-07-01,5.2017,5.2239,4.5155,4.6041,4.6041,1313400
1988-08-01,4.582,4.8254,4.5377,4.6262,4.6262,1819000
1988-09-01,4.7987,4.9371,4.4296,4.7064,4.7064,5103400
1988-10-01,4.7729,5.1222,4.6099,5.029,5.029,4044600
1988-11-01,5.029,5.2619,4.7729,4.8893,4.8893,3166000
1988-12-01,4.866,5.4481,4.7496,5.3084,5.3084,4644600
1989-01-01,5.3579,5.5459,5.1699,5.4989,5.4989,2464200
1989-02-01,5.5224,5.9689,5.4049,5.6164,5.6164,4288600
1989-03-01,5.6164,6.2978,5.5929,5.9219,5.9219,5790600
1989-04-01,5.991,6.4883,5.9673,6.3699,6.3699,6437200
1989-05-01,6.3462,6.7251,6.1568,6.5593,6.5593,3463600
1989-06-01,6.5356,6.9619,6.3225,6.3225,6.3225,4638000
1989-07-01,6.3673,7.1066,6.2481,7.0589,7.0589,3034000
1989-08-01,7.1066,7.4881,6.8204,7.2974,7.2974,3478000
1989-09-01,7.2974,7.4166,6.7966,6.8681,6.8681,2603000
1989-10-01,6.8684,7.0125,6.244,6.8924,6.8924,4616200
1989-11-01,6.8924,7.0365,6.6763,7.0365,7.0365,2845000
1989-12-01,7.0605,7.5409,6.9165,7.4928,7.4928,1625400
1990-01-01,7.4988,7.7407,6.3377,6.7731,6.7731,1734800
1990-02-01,6.7247,7.015,6.6763,6.9182,6.9182,1779400
1990-03-01,6.9182,7.0634,6.7489,6.9424,6.9424,2614800
1990-04-01,6.9716,7.1666,6.2647,6.3622,6.3622,2803600
1990-05-01,6.3622,6.8741,6.2403,6.6791,6.6791,2583600
1990-06-01,6.6791,6.8741,6.5329,6.7279,6.7279,2750400
1990-07-01,6.8044,7.05,6.6078,6.9272,6.9272,1146400
1990-08-01,6.9763,7.0746,5.527,5.7727,5.7727,2216200
1990-09-01,5.7481,6.092,5.699,5.9937,5.9937,1157000
1990-10-01,6.0556,6.2541,5.2614,5.4848,5.4848,1559400
1990-11-01,5.4848,5.8819,5.2366,5.7578,5.7578,1848200
1990-12-01,5.7329,6.2045,5.5096,5.7578,5.7578,2124800
1991-01-01,5.7678,6.3195,5.2161,6.3195,6.3195,1678400
1991-02-01,6.3195,7.3477,6.2944,6.9715,6.9715,3526800
1991-03-01,6.9715,7.2223,6.8461,7.122,7.122,2451000
1991-04-01,7.1822,7.5616,6.8788,7.3087,7.3087,2842200
1991-05-01,7.2581,7.5616,6.8788,7.5616,7.5616,3366200
1991-06-01,7.511,8.3961,7.4857,7.7133,7.7133,3087200
1991-07-01,7.7751,8.7948,7.7496,8.7693,8.7693,2955600
1991-08-01,8.8458,8.9732,7.5967,8.2085,8.2085,3074600
1991-09-01,8.132,8.2085,7.4947,7.979,7.979,2407200
1991-10-01,7.9896,8.4263,7.707,8.3236,8.3236,2028000
1991-11-01,8.3493,8.375,7.5015,7.5786,7.5786,1631400
1991-12-01,7.5901,8.6004,7.4606,8.4709,8.4709,1994400
1992-01-01,8.4191,9.4035,8.2896,9.0149,9.0149,3465200
1992-02-01,9.0149,9.9475,8.8336,9.818,9.818,3476400
1992-03-01,9.9216,9.9734,9.1962,9.4035,9.4035,2948600
1992-04-01,9.492,9.492,8.2403,9.1269,9.1269,2960600
1992-05-01,9.1008,9.153,8.2142,8.5532,8.5532,1393400
1992-06-01,8.5271,8.6314,8.0317,8.2924,8.2924,1966200
1992-07-01,8.4082,8.5396,7.9615,8.3819,8.3819,3098600
1992-08-01,8.3819,8.5658,7.9615,8.1454,8.1454,1450400
1992-09-01,8.0666,9.1439,8.014,8.487,8.487,3023200
1992-10-01,8.6129,8.6129,6.8903,7.7384,7.7384,4941000
1992-11-01,7.7384,8.4804,7.5528,8.4804,8.4804,3415200
1992-12-01,8.4977,9.1123,8.3641,9.0856,9.0856,2532200
1993-01-01,9.0322,9.1391,8.3641,8.7649,8.7649,2018600
1993-02-01,8.6581,9.2727,8.6581,9.0054,9.0054,2686000
1993-03-01,8.9787,9.8071,8.8718,9.7002,9.7002,4085600
1993-04-01,9.7212,10.3136,9.5865,9.9635,9.9635,3061600
1993-05-01,10.0174,10.0982,9.6673,9.7212,9.7212,1589600
1993-06-01,9.6673,9.9635,8.4286,8.644,8.644,2950000
1993-07-01,8.7343,9.1141,8.2189,8.9513,8.9513,3179200
1993-08-01,8.9513,9.4396,8.9513,9.1141,9.1141,1407200
