Date,Open,High,Low,Close,Adj Close,Volume
,SW,SW,SW,SW,,SW
2024-07-01,46.3995,48.4552,42.2686,43.8935,43.8935,233806500
2024-08-01,43.8544,46.5855,37.7363,46.4191,46.4191,94048000
2024-09-01,45.6781,49.8988,41.8421,48.7352,48.7352,100980000
2024-10-01,49.0508,52.0289,42.4633,50.7864,50.7864,85302400
2024-11-01,50.2834,56.1963,49.0557,54.2576,54.2576,76972800
2024-12-01,54.6258,55.0623,50.5234,53.4352,53.4352,67767700
2025-01-01,53.6833,55.608,50.4589,52.6713,52.6713,58323500
2025-02-01,51.9471,55.102,48.8914,51.6593,51.6593,73268100
2025-03-01,53.05,53.25,42.82,45.06,45.06,91157600
2025-04-01,45.28,47.12,37.01,42.02,42.02,87444000
2025-05-01,41.44,47.13,38.92,43.95,43.95,63259746
