Date,Open,High,Low,Close,Adj Close,Volume
,SYK,SYK,SYK,SYK,,SYK
1985-01-01,0.0,0.3153,0.2659,0.3098,0.3098,26244000
1985-02-01,0.0,0.3509,0.3043,0.3317,0.3317,23616000
1985-03-01,0.0,0.3399,0.2961,0.2988,0.2988,16264800
1985-04-01,0.0,0.3153,0.2961,0.307,0.307,12736800
1985-05-01,0.0,0.3399,0.3043,0.3399,0.3399,14076000
1985-06-01,0.0,0.381,0.3344,0.3783,0.3783,23529600
1985-07-01,0.0,0.3865,0.3619,0.3865,0.3865,11253600
1985-08-01,0.0,0.3865,0.3454,0.3591,0.3591,11260800
1985-09-01,0.0,0.3673,0.2961,0.329,0.329,8925600
1985-10-01,0.0,0.3824,0.3002,0.366,0.366,15830400
1985-11-01,0.0,0.3989,0.3701,0.3824,0.3824,5932800
1985-12-01,0.0,0.405,0.3824,0.3948,0.3948,17208000
1986-01-01,0.0,0.4359,0.3824,0.4318,0.4318,21700800
1986-02-01,0.0,0.4482,0.4071,0.4482,0.4482,23198400
1986-03-01,0.0,0.5757,0.4276,0.5675,0.5675,19540800
1986-04-01,0.0,0.5675,0.514,0.5551,0.5551,15662400
1986-05-01,0.0,0.588,0.5222,0.588,0.588,9408000
1986-06-01,0.0,0.6867,0.5839,0.6826,0.6826,25382400
1986-07-01,0.0,0.7237,0.588,0.6291,0.6291,33240000
1986-08-01,0.0,0.6744,0.5839,0.5839,0.5839,18355200
1986-09-01,0.0,0.5921,0.4564,0.5592,0.5592,31012800
1986-10-01,0.0,0.5633,0.5099,0.5263,0.5263,9345600
1986-11-01,0.0,0.5346,0.4729,0.4976,0.4976,7468800
1986-12-01,0.0,0.6004,0.4893,0.5263,0.5263,23419200
1987-01-01,0.0,0.6415,0.5263,0.6209,0.6209,18364800
1987-02-01,0.0,0.662,0.6086,0.6394,0.6394,18264000
1987-03-01,0.0,0.6682,0.6332,0.6353,0.6353,25243200
1987-04-01,0.0,0.6826,0.625,0.6703,0.6703,15489600
1987-05-01,0.0,0.736,0.662,0.7114,0.7114,8486400
1987-06-01,0.0,0.8388,0.7114,0.8306,0.8306,16327200
1987-07-01,0.0,0.954,0.7895,0.954,0.954,15624000
1987-08-01,0.0,0.9458,0.8471,0.8676,0.8676,14841600
1987-09-01,0.0,0.88,0.8059,0.8224,0.8224,8493600
1987-10-01,0.0,0.8224,0.477,0.5428,0.5428,20520000
1987-11-01,0.0,0.5675,0.4688,0.4852,0.4852,18698400
1987-12-01,0.0,0.6168,0.4153,0.5757,0.5757,33136800
1988-01-01,0.0,0.699,0.5757,0.6661,0.6661,13538400
1988-02-01,0.6661,0.6826,0.625,0.6826,0.6826,13488000
1988-03-01,0.6744,0.7731,0.6744,0.7155,0.7155,17419200
1988-04-01,0.7073,0.7731,0.6497,0.6744,0.6744,15650400
1988-05-01,0.6744,0.699,0.6456,0.6661,0.6661,8359200
1988-06-01,0.6661,0.7566,0.6579,0.7566,0.7566,7776000
1988-07-01,0.7402,0.7813,0.6908,0.6908,0.6908,10833600
1988-08-01,0.699,0.8142,0.699,0.699,0.699,10420800
1988-09-01,0.7155,0.7237,0.6826,0.7073,0.7073,10723200
1988-10-01,0.7073,0.7237,0.6826,0.7155,0.7155,5769600
1988-11-01,0.7155,0.7155,0.6332,0.6497,0.6497,5690400
1988-12-01,0.6497,0.6744,0.625,0.6661,0.6661,12391200
1989-01-01,0.6661,0.7566,0.6415,0.7484,0.7484,18136800
1989-02-01,0.7443,0.7977,0.7443,0.7648,0.7648,8534400
1989-03-01,0.7648,0.8553,0.7566,0.8224,0.8224,11827200
1989-04-01,0.8142,0.9375,0.8142,0.9293,0.9293,19250400
1989-05-01,0.9293,0.9787,0.8964,0.9375,0.9375,21348000
1989-06-01,0.9375,0.9745,0.7895,0.8759,0.8759,17322400
1989-07-01,0.8759,1.0115,0.8635,0.9992,0.9992,14040000
1989-08-01,0.9992,0.9992,0.9129,0.9375,0.9375,17022400
1989-09-01,0.9375,0.9499,0.8635,0.9252,0.9252,17505600
1989-10-01,0.9375,1.0856,0.9005,1.0115,1.0115,20678400
1989-11-01,0.9869,1.0856,0.9499,1.0609,1.0609,11958400
1989-12-01,1.0856,1.2336,1.0115,1.2213,1.2213,23763200
1990-01-01,1.2213,1.3199,0.9869,1.0732,1.0732,27564800
1990-02-01,1.0732,1.1596,0.9499,1.0115,1.0115,17369600
1990-03-01,1.0115,1.2459,1.0054,1.1596,1.1596,14073600
1990-04-01,1.1596,1.2459,1.1226,1.1843,1.1843,15164800
1990-05-01,1.1966,1.3693,1.1719,1.3199,1.3199,19014400
1990-06-01,1.3199,1.4063,1.2583,1.3816,1.3816,9947200
1990-07-01,1.4186,1.5173,1.2706,1.2953,1.2953,19046400
1990-08-01,1.3199,1.3816,1.1041,1.2459,1.2459,20864000
1990-09-01,1.2706,1.3323,1.1966,1.2089,1.2089,14752000
1990-10-01,1.2274,1.2953,1.0732,1.2213,1.2213,20337600
1990-11-01,1.2151,1.505,1.1596,1.468,1.468,17676800
1990-12-01,1.468,1.6654,1.4186,1.542,1.542,29873600
1991-01-01,1.5297,1.8751,1.357,1.8504,1.8504,35662400
1991-02-01,1.8504,1.9984,1.7394,1.8997,1.8997,29985600
1991-03-01,1.8627,2.0354,1.8011,2.0108,2.0108,14532800
1991-04-01,1.9738,2.4425,1.9614,2.1588,2.1588,41771200
1991-05-01,2.1341,2.6029,2.0971,2.5165,2.5165,30022400
1991-06-01,2.5042,2.7386,2.3192,2.4672,2.4672,26457600
1991-07-01,2.4672,2.7633,2.4179,2.6276,2.6276,24857600
1991-08-01,2.6399,3.0593,2.5412,2.9853,2.9853,23499200
1991-09-01,2.936,2.9853,2.6892,2.7633,2.7633,15224000
1991-10-01,2.7633,3.4541,2.5165,3.306,3.306,26091200
1991-11-01,3.306,3.9722,3.2074,3.6761,3.6761,34904000
1991-12-01,3.6761,5.1564,3.6761,4.9344,4.9344,37940800
1992-01-01,4.8617,5.1579,3.9486,4.4175,4.4175,57308800
1992-02-01,4.3928,4.5409,3.7018,4.1214,4.1214,38372800
1992-03-01,4.0967,4.2448,3.5784,3.6525,3.6525,39802400
1992-04-01,3.6031,4.2448,3.2576,3.5291,3.5291,44569600
1992-05-01,3.5291,3.6278,3.1589,3.3563,3.3563,25177600
1992-06-01,3.3563,3.5538,2.8381,3.2823,3.2823,44693600
1992-07-01,3.307,3.9486,3.1342,3.8005,3.8005,35188800
1992-08-01,3.8005,3.8746,3.1589,3.3563,3.3563,21293600
1992-09-01,3.3316,3.7512,2.8627,3.0108,3.0108,39624000
1992-10-01,3.0602,3.307,2.5913,3.1589,3.1589,74244800
1992-11-01,3.1589,3.5784,2.9368,3.4797,3.4797,30305600
1992-12-01,3.5291,3.9486,3.381,3.8622,3.8622,38704000
1993-01-01,3.9001,3.9248,3.1843,3.5545,3.5545,59988000
1993-02-01,3.5545,3.5792,2.4191,2.5918,2.5918,77458400
1993-03-01,2.6165,2.74,2.1969,2.6412,2.6412,89039200
1993-04-01,2.6412,2.6659,2.0735,2.5918,2.5918,66084000
1993-05-01,2.5672,2.9127,2.5425,2.7893,2.7893,36263200
1993-06-01,2.7893,2.7893,2.1475,2.5548,2.5548,75228800
1993-07-01,2.5178,2.6906,2.4684,2.5795,2.5795,49224000
1993-08-01,2.5918,2.9374,2.5425,2.74,2.74,35564800
1993-09-01,2.74,2.8634,2.4191,2.74,2.74,52396000
1993-10-01,2.74,2.8387,2.5918,2.6906,2.6906,39424800
1993-11-01,2.6412,2.7646,2.5672,2.5918,2.5918,39771200
1993-12-01,2.5918,2.9127,2.2956,2.7893,2.7893,55278400
1994-01-01,2.8157,3.5073,2.7169,3.4579,3.4579,76009600
1994-02-01,3.4579,3.5073,3.038,3.2109,3.2109,40503200
1994-03-01,3.2109,3.285,2.5687,2.7169,2.7169,55512800
1994-04-01,2.6675,2.9639,2.3464,2.6675,2.6675,56176800
1994-05-01,2.6675,2.8157,2.4452,2.6428,2.6428,26022400
1994-06-01,2.6922,3.038,2.4452,2.6181,2.6181,36544800
1994-07-01,2.7169,3.1121,2.6922,3.0874,3.0874,45584800
1994-08-01,3.038,3.7049,2.9886,3.5073,3.5073,65080000
1994-09-01,3.4826,3.7049,3.3097,3.4332,3.4332,34885600
1994-10-01,3.4332,3.5814,3.2356,3.3838,3.3838,30434400
1994-11-01,3.3591,3.7049,3.2727,3.6308,3.6308,39471200
1994-12-01,3.5937,3.6925,3.4332,3.6308,3.6308,36034400
1995-01-01,3.6326,4.0403,3.5708,3.9786,3.9786,52606400
1995-02-01,3.9662,4.3492,3.8426,4.2998,4.2998,43240800
1995-03-01,4.2998,4.7817,4.0527,4.5222,4.5222,60114400
1995-04-01,4.4975,4.757,4.2504,4.4604,4.4604,59006400
1995-05-01,4.4234,4.5716,3.7314,3.7932,3.7932,70471200
1995-06-01,3.8056,4.238,3.7067,3.7932,3.7932,89126400
1995-07-01,3.7809,4.8311,3.7562,4.3245,4.3245,71100800
1995-08-01,4.3122,4.3739,4.0403,4.1268,4.1268,43639200
1995-09-01,4.1515,4.6581,4.1268,4.6087,4.6087,41156800
1995-10-01,4.6087,4.8929,4.3492,4.4604,4.4604,49965600
1995-11-01,4.4851,5.3006,4.4234,5.2883,5.2883,44312000
1995-12-01,5.2636,5.7825,4.8064,5.1894,5.1894,59281600
1996-01-01,5.1793,5.5254,4.6725,5.5254,5.5254,44541600
1996-02-01,5.513,5.7479,5.0062,5.3647,5.3647,46622400
1996-03-01,5.3647,5.4018,4.623,4.8641,4.8641,38759200
1996-04-01,4.8826,4.932,3.9308,4.7837,4.7837,79641600
1996-05-01,4.759,5.1545,4.6354,5.1175,5.1175,41841600
1996-06-01,5.0927,5.2658,4.4747,4.4994,4.4994,51338400
1996-07-01,4.4994,5.0927,4.005,4.861,4.861,56050800
1996-08-01,4.9197,5.0186,4.3758,4.8332,4.8332,25454800
1996-09-01,4.7466,5.958,4.6725,5.958,5.958,30326800
1996-10-01,5.7108,6.3536,5.5872,5.8839,5.8839,64286000
1996-11-01,5.9086,5.958,5.3647,5.7355,5.7355,25197600
1996-12-01,5.7355,6.23,5.34,5.9086,5.9086,24998800
1997-01-01,5.9381,6.4082,5.567,5.7402,5.7402,33053200
1997-02-01,5.7649,6.1856,5.1959,5.7402,5.7402,40382400
1997-03-01,5.7155,5.7649,4.899,4.9237,4.9237,38723600
1997-04-01,4.899,6.6062,4.8,6.5072,6.5072,43475200
1997-05-01,6.501,7.0268,6.0619,6.9031,6.9031,27932800
1997-06-01,6.9031,7.4969,6.7299,6.9031,6.9031,22648000
1997-07-01,6.9526,8.734,6.9278,7.7196,7.7196,21288800
1997-08-01,7.7196,8.0412,7.4474,7.9051,7.9051,5772800
1997-09-01,7.9052,8.9691,7.8804,8.6474,8.6474,7069200
1997-10-01,8.5979,8.6227,6.9278,7.3608,7.3608,12710000
1997-11-01,7.4722,7.8928,7.3237,7.7938,7.7938,5497200
1997-12-01,7.7443,7.9051,7.2495,7.3732,7.3732,7052000
