Date,Open,High,Low,Close,Adj Close,Volume
,SYY,SYY,SYY,SYY,,SYY
1985-01-01,0.4745,0.5117,0.4479,0.494,0.494,40284800
1985-02-01,0.494,0.5258,0.4886,0.4975,0.4975,28726400
1985-03-01,0.5028,0.5152,0.4568,0.4886,0.4886,19299200
1985-04-01,0.4886,0.5028,0.4621,0.4709,0.4709,34819200
1985-05-01,0.4745,0.5205,0.4745,0.5152,0.5152,35648000
1985-06-01,0.5152,0.5258,0.4833,0.5152,0.5152,21750400
1985-07-01,0.5152,0.5754,0.5152,0.5471,0.5471,22544000
1985-08-01,0.5471,0.5524,0.5294,0.5347,0.5347,18041600
1985-09-01,0.5347,0.5382,0.494,0.5063,0.5063,14649600
1985-10-01,0.5063,0.5754,0.5063,0.5754,0.5754,23868800
1985-11-01,0.5754,0.6285,0.5612,0.625,0.625,19043200
1985-12-01,0.625,0.6568,0.602,0.6338,0.6338,24556800
1986-01-01,0.6338,0.6799,0.6338,0.6692,0.6692,21062400
1986-02-01,0.6692,0.7648,0.6568,0.7613,0.7613,14806400
1986-03-01,0.7613,0.8604,0.7578,0.7578,0.7578,37099200
1986-04-01,0.7578,0.8215,0.694,0.7294,0.7294,26288000
1986-05-01,0.7294,0.8392,0.7011,0.8321,0.8321,20499200
1986-06-01,0.8321,0.8427,0.7613,0.8073,0.8073,18793600
1986-07-01,0.8144,0.9596,0.7294,0.8711,0.8711,28992000
1986-08-01,0.8675,0.8958,0.8357,0.8498,0.8498,16102400
1986-09-01,0.8498,0.8781,0.7719,0.8002,0.8002,21300800
1986-10-01,0.8002,0.8781,0.7932,0.864,0.864,18254400
1986-11-01,0.864,0.8675,0.7825,0.8002,0.8002,17824000
1986-12-01,0.7967,0.8781,0.7436,0.8498,0.8498,52673600
1987-01-01,0.8498,1.0764,0.8392,1.0658,1.0658,29262400
1987-02-01,1.0658,1.1048,0.9844,1.0021,1.0021,17833600
1987-03-01,1.0056,1.0658,0.9525,1.0021,1.0021,19398400
1987-04-01,1.0021,1.0694,0.9206,1.0021,1.0021,17780800
1987-05-01,0.9985,1.0056,0.8498,0.956,0.956,20392000
1987-06-01,0.956,1.0552,0.956,0.995,0.995,23889600
1987-07-01,0.995,1.08,0.995,1.0764,1.0764,12499200
1987-08-01,1.0785,1.1779,1.0501,1.0892,1.0892,21620800
1987-09-01,1.0927,1.1353,1.0111,1.075,1.075,18348800
1987-10-01,1.0679,1.0856,0.6386,0.816,0.816,26924800
1987-11-01,0.8109,0.8216,0.6722,0.6829,0.6829,22009600
1987-12-01,0.7113,0.8358,0.6615,0.7718,0.7718,34177600
1988-01-01,0.754,0.8536,0.7398,0.85,0.85,23822400
1988-02-01,0.8525,0.931,0.824,0.8846,0.8846,15160000
1988-03-01,0.8882,0.9488,0.8489,0.881,0.881,20625600
1988-04-01,0.881,0.9702,0.8382,0.8418,0.8418,25120000
1988-05-01,0.844,0.8726,0.8082,0.8583,0.8583,21572800
1988-06-01,0.8512,0.8869,0.8047,0.8583,0.8583,44406400
1988-07-01,0.8655,0.9513,0.844,0.9513,0.9513,30094400
1988-08-01,0.9537,0.9609,0.882,0.9394,0.9394,30296000
1988-09-01,0.943,1.029,0.9179,1.0111,1.0111,31697600
1988-10-01,1.0254,1.0433,0.9896,1.0326,1.0326,24726400
1988-11-01,1.0277,1.0457,0.9523,1.0421,1.0421,23328000
1988-12-01,1.0349,1.1176,1.0313,1.1068,1.1068,26569600
1989-01-01,1.1068,1.1212,1.0529,1.1068,1.1068,36379200
1989-02-01,1.1166,1.1743,1.1058,1.1635,1.1635,34427200
1989-03-01,1.1635,1.2499,1.1419,1.2499,1.2499,32016000
1989-04-01,1.2499,1.3328,1.2283,1.3112,1.3112,28243200
1989-05-01,1.2993,1.4184,1.2885,1.3643,1.3643,29225600
1989-06-01,1.3643,1.4148,1.3426,1.3679,1.3679,30848000
1989-07-01,1.3679,1.5159,1.3462,1.505,1.505,27092800
1989-08-01,1.5005,1.6234,1.4788,1.5909,1.5909,26080000
1989-09-01,1.5909,1.6162,1.5186,1.5909,1.5909,22022400
1989-10-01,1.5873,1.6632,1.4607,1.656,1.656,31024800
1989-11-01,1.6591,1.8475,1.6229,1.804,1.804,25431200
1989-12-01,1.7895,1.8547,1.6374,1.833,1.833,31719200
1990-01-01,1.8185,1.9199,1.6229,1.6664,1.6664,26368800
1990-02-01,1.6765,1.6838,1.4878,1.5676,1.5676,24132800
1990-03-01,1.5676,1.7346,1.5386,1.72,1.72,34256000
1990-04-01,1.6983,1.887,1.691,1.7636,1.7636,24013600
1990-05-01,1.7738,2.0646,1.7156,1.9991,1.9991,32015200
1990-06-01,2.0137,2.0573,1.861,1.9919,1.9919,22412000
1990-07-01,1.9991,2.2318,1.9773,1.9846,1.9846,25300800
1990-08-01,1.9801,1.9947,1.6234,1.8636,1.8636,33544800
1990-09-01,1.8491,1.8927,1.6889,1.8272,1.8272,29488800
1990-10-01,1.8345,2.0456,1.7835,1.8709,1.8709,32181600
1990-11-01,1.808,1.8444,1.7205,1.8372,1.8372,43571200
1990-12-01,1.8517,1.983,1.8444,1.9611,1.9611,23914400
1991-01-01,1.9246,2.0996,1.7497,2.0486,2.0486,30836000
1991-02-01,2.0457,2.2357,1.98,2.1626,2.1626,26112800
1991-03-01,2.1626,2.3453,1.9873,2.0969,2.0969,46120000
1991-04-01,2.1115,2.3234,2.0676,2.3014,2.3014,40469600
1991-05-01,2.3057,2.5472,2.2544,2.5179,2.5179,33021600
1991-06-01,2.5033,2.5106,2.3642,2.4008,2.4008,21803200
1991-07-01,2.4301,2.7082,2.4081,2.6863,2.6863,19540800
1991-08-01,2.6906,2.7786,2.4487,2.7126,2.7126,25909600
1991-09-01,2.7126,2.7126,2.3533,2.3607,2.3607,29042400
1991-10-01,2.3314,2.522,2.2214,2.4487,2.4487,45691200
1991-11-01,2.4528,2.5263,2.3427,2.372,2.372,21200800
1991-12-01,2.3574,2.7392,2.3427,2.7392,2.7392,25334400
1992-01-01,2.7245,2.8274,2.4675,2.4675,2.4675,49623200
1992-02-01,2.4585,2.672,2.4217,2.6499,2.6499,32017600
1992-03-01,2.6794,2.7824,2.5616,2.7456,2.7456,27040000
1992-04-01,2.7309,3.0621,2.6794,2.8781,2.8781,36228000
1992-05-01,2.891,3.0238,2.7878,2.9648,2.9648,27154400
1992-06-01,2.95,2.9943,2.8025,2.9205,2.9205,29086000
1992-07-01,2.9205,3.2155,2.7878,3.0385,3.0385,29055200
1992-08-01,3.0608,3.0608,2.839,2.9573,2.9573,16342000
1992-09-01,2.9573,3.0756,2.8538,2.9278,2.9278,24740400
1992-10-01,2.913,3.1496,2.7799,3.0165,3.0165,18738000
1992-11-01,3.0531,3.2458,3.0235,3.1272,3.1272,24580000
1992-12-01,3.1124,3.2903,2.979,3.1272,3.1272,24182400
1993-01-01,3.1272,3.1717,2.7567,3.0383,3.0383,38156000
1993-02-01,3.0768,3.1066,2.8836,2.9431,2.9431,33146000
1993-03-01,2.9728,3.2255,2.9579,3.1363,3.1363,28633600
1993-04-01,3.1214,3.166,2.6458,2.9579,2.9579,42969600
1993-05-01,2.9963,3.205,2.9664,3.1751,3.1751,17867200
1993-06-01,3.1751,3.2199,2.9963,2.9963,2.9963,23060000
1993-07-01,3.0112,3.2199,2.8323,3.2199,3.2199,20154800
1993-08-01,3.2286,3.6322,3.124,3.4827,3.4827,34884800
1993-09-01,3.4827,3.4827,3.2585,3.2884,3.2884,21819600
1993-10-01,3.2884,3.692,3.2884,3.423,3.423,22542000
1993-11-01,3.4313,3.5062,3.2365,3.3114,3.3114,20427200
1993-12-01,3.3414,3.716,3.2814,3.5062,3.5062,25328000
1994-01-01,3.4762,3.5062,3.2215,3.2664,3.2664,26908000
1994-02-01,3.2774,3.4427,3.1872,3.2623,3.2623,28618800
1994-03-01,3.2623,3.3826,3.0218,3.0819,3.0819,32887600
1994-04-01,3.0218,3.1721,2.8865,3.127,3.127,28144400
1994-05-01,3.1077,3.1681,2.9418,3.1228,3.1228,29010800
1994-06-01,3.1228,3.1379,2.7306,2.7306,2.7306,43636000
1994-07-01,2.7607,2.8814,2.5495,2.8513,2.8513,25939200
1994-08-01,2.8937,3.1512,2.8028,3.0755,3.0755,40958000
1994-09-01,3.0906,3.2118,3.0149,3.0755,3.0755,23982000
1994-10-01,3.0755,3.1209,2.8634,3.0149,3.0149,28072400
