Date,Open,High,Low,Close,Adj Close,Volume
,TAP,TAP,TAP,TAP,,TAP
1985-01-01,3.6169,4.3178,3.6169,4.2618,4.2618,4247400
1985-02-01,4.2618,4.3178,3.4206,3.5047,3.5047,2603000
1985-03-01,3.5328,3.701,3.2524,3.5328,3.5328,1962000
1985-04-01,3.5328,3.701,3.4206,3.5608,3.5608,2568600
1985-05-01,3.5889,4.1496,3.5608,4.1496,4.1496,6675800
1985-06-01,4.1496,4.2057,4.0094,4.1216,4.1216,4231400
1985-07-01,4.1216,4.8786,4.0655,4.5421,4.5421,9193400
1985-08-01,4.6263,4.9908,4.43,4.8786,4.8786,7505600
1985-09-01,4.8786,4.9066,4.3459,4.3459,4.3459,4177600
1985-10-01,4.3459,4.3739,3.673,3.7571,3.7571,6853600
1985-11-01,3.7571,4.2898,3.7571,4.2057,4.2057,3742200
1985-12-01,4.2057,4.9066,4.1777,4.8506,4.8506,6492200
1986-01-01,4.8506,5.3272,4.5702,5.0468,5.0468,12714400
1986-02-01,5.0468,5.7758,4.9627,5.7197,5.7197,6521600
1986-03-01,5.7197,6.2525,5.6917,6.1964,6.1964,5756000
1986-04-01,6.1964,6.673,5.7758,6.3366,6.3366,7501200
1986-05-01,6.3366,6.7571,5.916,6.7571,6.7571,5485000
1986-06-01,6.7571,7.0936,6.2805,7.0936,7.0936,5585200
1986-07-01,7.0936,7.0936,5.8319,6.7571,6.7571,6887800
1986-08-01,6.7852,7.0095,5.7758,5.916,5.916,5473000
1986-09-01,5.916,5.916,5.0188,5.3833,5.3833,7288600
1986-10-01,5.3833,6.1403,5.3272,5.8319,5.8319,2733200
1986-11-01,5.8319,5.8599,5.2992,5.5795,5.5795,4378600
1986-12-01,5.5515,5.8599,5.2992,5.3833,5.3833,4195400
1987-01-01,5.2992,6.2525,5.2992,5.7478,5.7478,7083800
1987-02-01,5.7478,6.2244,5.5795,5.6356,5.6356,6453200
1987-03-01,5.6076,6.4768,5.5795,5.916,5.916,6562000
1987-04-01,5.8599,6.7291,5.7758,6.1683,6.1683,9264800
1987-05-01,6.1683,6.3646,5.6917,6.2525,6.2525,3850200
1987-06-01,6.2805,6.3085,4.9347,5.1309,5.1309,10452000
1987-07-01,5.159,5.8039,4.8225,5.8039,5.8039,9193400
1987-08-01,5.7758,6.3646,5.3552,5.7197,5.7197,8633000
1987-09-01,5.7478,5.8039,5.159,5.6076,5.6076,4651800
1987-10-01,5.6076,5.6076,3.7571,4.5421,4.5421,5308400
1987-11-01,4.5141,4.5702,3.673,3.673,3.673,3261000
1987-12-01,3.7571,3.9814,3.6449,3.7851,3.7851,5248800
1988-01-01,3.8132,4.3739,3.7851,4.3178,4.3178,3251200
1988-02-01,4.3458,4.5434,4.3458,4.5152,4.5152,2427200
1988-03-01,4.5434,4.7409,4.3176,4.4587,4.4587,2579800
1988-04-01,4.4305,4.6845,4.4023,4.4305,4.4305,2219800
1988-05-01,4.486,4.486,4.0885,4.2588,4.2588,2185400
1988-06-01,4.2588,4.5144,4.1737,4.3724,4.3724,4308400
1988-07-01,4.3724,4.486,4.2588,4.3724,4.3724,2653800
1988-08-01,4.3724,4.6847,4.2872,4.5712,4.5712,4030200
1988-09-01,4.5725,4.6868,4.4581,4.601,4.601,2767000
1988-10-01,4.5725,4.6582,4.5153,4.601,4.601,2051600
1988-11-01,4.6298,4.7448,4.3135,4.371,4.371,2905800
1988-12-01,4.371,4.601,4.256,4.601,4.601,3044000
1989-01-01,4.5435,4.6585,4.2847,4.3422,4.3422,2665400
1989-02-01,4.3135,4.6298,4.1984,4.256,4.256,3556800
1989-03-01,4.1984,4.3997,4.1697,4.2272,4.2272,2630000
1989-04-01,4.1984,4.371,3.9971,4.1122,4.1122,3531000
1989-05-01,4.1122,4.371,4.0834,4.256,4.256,1979800
1989-06-01,4.3139,4.7771,4.227,4.3139,4.3139,6593600
1989-07-01,4.3428,4.8639,4.2849,4.835,4.835,3233000
1989-08-01,4.835,5.5298,4.5165,4.8929,4.8929,10744800
1989-09-01,4.8654,5.6812,4.8363,5.419,5.419,5489800
1989-10-01,5.3315,5.5064,4.341,4.5449,4.5449,5744800
1989-11-01,4.5741,4.9819,4.5158,4.9819,4.9819,2626800
1989-12-01,5.0133,5.1599,4.4269,4.6321,4.6321,2175600
1990-01-01,4.6615,5.0133,4.0751,4.339,4.339,3913800
1990-02-01,4.339,4.7494,4.2217,4.3097,4.3097,1976200
1990-03-01,4.2781,4.4551,4.0421,4.2781,4.2781,3853800
1990-04-01,4.1896,5.4878,4.1306,5.4583,5.4583,8174400
1990-05-01,5.4583,6.1074,5.2517,6.0483,6.0483,9047200
1990-06-01,6.1682,6.3758,5.6344,6.2571,6.2571,9209400
1990-07-01,6.2868,6.4944,5.5454,5.8123,5.8123,8182000
1990-08-01,5.7827,6.1682,4.7151,5.8716,5.8716,8822000
1990-09-01,5.8146,6.1724,5.3375,5.755,5.755,6646200
1990-10-01,5.8742,6.0532,4.8902,5.8444,5.8444,6261000
1990-11-01,5.7848,5.8742,4.0851,4.4131,4.4131,9635200
1990-12-01,4.5341,5.1346,4.474,4.9244,4.9244,6544000
1991-01-01,4.8644,5.2848,4.2638,5.2547,5.2547,7150600
1991-02-01,5.2547,5.3748,4.8944,5.0746,5.0746,4151800
