Date,Open,High,Low,Close,Adj Close,Volume
,TDY,TDY,TDY,TDY,,TDY
1999-11-01,8.4375,10.6875,8.4375,8.8125,8.8125,3945400
1999-12-01,9.0,10.5,7.8125,9.4375,9.4375,8653800
2000-01-01,9.5625,10.0625,8.9375,9.25,9.25,3034500
2000-02-01,9.1875,10.25,8.625,8.6875,8.6875,3560000
2000-03-01,8.6875,28.5,8.375,18.5,18.5,13007200
2000-04-01,17.5,20.0,13.3125,17.5,17.5,4814200
2000-05-01,17.4375,19.0625,10.75,15.8125,15.8125,2899800
2000-06-01,14.5625,19.5,13.0625,18.875,18.875,2912800
2000-07-01,17.125,21.5625,16.5,19.75,19.75,1730900
2000-08-01,19.9375,20.9375,14.6875,20.125,20.125,8551300
2000-09-01,20.0,30.5625,19.8125,29.125,29.125,10124200
2000-10-01,29.0,29.0625,19.875,25.0625,25.0625,5212200
2000-11-01,24.625,27.125,17.625,19.25,19.25,2379500
2000-12-01,19.25,24.0625,17.0,23.625,23.625,2513700
2001-01-01,23.25,23.25,15.625,19.0,19.0,5179800
2001-02-01,18.8,20.85,13.0,13.06,13.06,4426900
2001-03-01,13.06,14.9,11.89,14.0,14.0,2992900
2001-04-01,14.1,14.85,12.65,13.15,13.15,4605400
2001-05-01,13.2,19.75,12.78,16.5,16.5,3603200
2001-06-01,16.59,17.64,13.75,15.2,15.2,1603400
2001-07-01,15.4,15.44,12.6,13.7,13.7,2354600
2001-08-01,13.75,15.95,13.64,15.43,15.43,1972800
2001-09-01,15.43,17.85,13.85,15.95,15.95,3591700
2001-10-01,15.95,18.0,14.57,15.17,15.17,3341000
2001-11-01,15.25,16.3,13.58,14.7,14.7,2379100
2001-12-01,14.6,17.75,14.45,16.29,16.29,1985100
2002-01-01,16.39,17.3,13.95,15.5,15.5,2445800
2002-02-01,15.5,16.65,14.1,16.35,16.35,2450700
2002-03-01,16.25,17.37,15.85,16.58,16.58,2089600
2002-04-01,16.73,18.0,15.55,17.0,17.0,2331500
2002-05-01,17.0,21.75,16.19,20.15,20.15,3933700
2002-06-01,20.15,20.75,17.84,20.75,20.75,2168600
2002-07-01,19.9,20.25,13.7,15.55,15.55,3832200
2002-08-01,15.5,18.92,14.6,17.8,17.8,2338300
2002-09-01,17.75,18.77,16.8,18.16,18.16,2646600
2002-10-01,18.6,18.6,13.3,14.45,14.45,5373500
2002-11-01,14.35,15.9,13.7,14.86,14.86,2790700
2002-12-01,14.96,15.72,13.7,15.68,15.68,3174600
2003-01-01,15.53,16.22,12.21,12.55,12.55,3124600
2003-02-01,12.65,14.38,12.55,12.75,12.75,2472100
2003-03-01,12.8,13.05,10.92,12.66,12.66,2578200
2003-04-01,12.84,14.4,12.4,14.08,14.08,1697000
2003-05-01,14.08,15.05,13.57,15.04,15.04,1543300
2003-06-01,14.94,15.2,13.1,13.1,13.1,1789100
2003-07-01,13.11,15.35,13.07,15.18,15.18,2946200
2003-08-01,15.12,15.39,14.49,15.25,15.25,2068600
2003-09-01,15.17,15.74,14.36,14.55,14.55,3241300
2003-10-01,14.48,16.5,14.26,16.49,16.49,3183000
2003-11-01,16.39,17.97,16.0,17.18,17.18,3001600
2003-12-01,17.35,19.97,16.8,18.85,18.85,2586700
2004-01-01,18.98,19.8,18.5,19.25,19.25,3975500
2004-02-01,19.1,21.75,19.1,20.26,20.26,3179600
2004-03-01,20.36,20.71,18.0,18.7,18.7,3219800
2004-04-01,18.95,20.49,18.59,18.98,18.98,2679800
2004-05-01,18.9,19.06,17.0,18.42,18.42,2951500
2004-06-01,18.32,20.09,18.12,20.02,20.02,2471400
2004-07-01,19.92,21.66,18.94,21.66,21.66,3420000
2004-08-01,21.68,24.54,21.44,24.15,24.15,4822900
2004-09-01,24.15,25.39,23.0,25.04,25.04,2772200
2004-10-01,25.23,25.6,23.06,25.57,25.57,2855200
2004-11-01,25.6,29.98,25.23,29.7,29.7,4331900
2004-12-01,29.74,30.9,27.61,29.43,29.43,2808000
2005-01-01,29.43,30.75,26.0,30.07,30.07,4861700
2005-02-01,30.0,31.97,29.4,30.58,30.58,4004900
2005-03-01,30.7,33.5,30.51,31.3,31.3,4512700
2005-04-01,31.15,32.12,25.42,30.42,30.42,5357000
2005-05-01,30.39,32.29,29.8,31.62,31.62,3090800
2005-06-01,31.66,35.0,30.68,32.58,32.58,3445000
2005-07-01,32.66,39.43,32.22,37.95,37.95,2615900
2005-08-01,38.9,39.54,35.75,38.63,38.63,2792500
2005-09-01,38.65,39.0,32.07,34.47,34.47,3161800
2005-10-01,34.35,37.9,32.51,35.26,35.26,4957600
2005-11-01,34.85,35.18,30.94,32.74,32.74,4340300
2005-12-01,32.95,33.9,27.85,29.1,29.1,5798700
2006-01-01,29.35,33.5,28.88,32.68,32.68,5123700
2006-02-01,32.95,34.9,31.97,33.13,33.13,4079100
2006-03-01,35.0,35.92,33.25,35.6,35.6,4835000
2006-04-01,35.5,38.99,34.77,36.41,36.41,4661000
2006-05-01,36.9,38.05,33.4,34.25,34.25,5156700
2006-06-01,34.75,35.2,31.02,32.76,32.76,6369700
2006-07-01,32.84,39.51,29.1,38.16,38.16,6387900
2006-08-01,38.0,39.85,35.9,38.34,38.34,5524300
2006-09-01,38.35,42.28,37.65,39.6,39.6,5827500
2006-10-01,39.66,44.59,38.7,41.72,41.72,5608500
2006-11-01,41.9,41.9,38.7,40.2,40.2,4613600
2006-12-01,40.31,42.73,38.39,40.13,40.13,3497400
