Date,Open,High,Low,Close,Adj Close,Volume
,TECH,TECH,TECH,TECH,,TECH
1989-02-01,0.0,0.1049,0.0852,0.0918,0.0918,3916800
1989-03-01,0.0,0.0983,0.0852,0.0852,0.0852,3438400
1989-04-01,0.0,0.0918,0.0721,0.0721,0.0721,2323200
1989-05-01,0.0,0.0787,0.0656,0.0688,0.0688,6614400
1989-06-01,0.0,0.0754,0.0688,0.0688,0.0688,3035200
1989-07-01,0.0688,0.0754,0.0688,0.0688,0.0688,2916800
1989-08-01,0.0,0.0918,0.0688,0.0787,0.0787,6100800
1989-09-01,0.0,0.0918,0.0787,0.0852,0.0852,4148800
1989-10-01,0.0,0.0918,0.0787,0.0787,0.0787,4296000
1989-11-01,0.0,0.0852,0.0656,0.0721,0.0721,2192000
1989-12-01,0.0,0.0787,0.0721,0.0721,0.0721,2393600
1990-01-01,0.0721,0.0852,0.0721,0.0787,0.0787,7308800
1990-02-01,0.0,0.0951,0.0787,0.0852,0.0852,5723200
1990-03-01,0.0,0.0951,0.0787,0.0787,0.0787,4972800
1990-04-01,0.0,0.1049,0.082,0.0918,0.0918,6107200
1990-05-01,0.0,0.1442,0.0918,0.1311,0.1311,9094400
1990-06-01,0.0,0.1541,0.1377,0.1377,0.1377,9078400
1990-07-01,0.0,0.1836,0.1377,0.1573,0.1573,10361600
1990-08-01,0.0,0.1639,0.1377,0.1377,0.1377,5062400
1990-09-01,0.0,0.1442,0.118,0.118,0.118,4782400
1990-10-01,0.0,0.1508,0.118,0.1311,0.1311,6908800
1990-11-01,0.0,0.1573,0.1311,0.1508,0.1508,5196800
1990-12-01,0.0,0.177,0.1508,0.1639,0.1639,7457600
1991-01-01,0.0,0.1705,0.1508,0.1639,0.1639,8168000
1991-02-01,0.0,0.2164,0.1705,0.2098,0.2098,12484800
1991-03-01,0.0,0.2754,0.2032,0.2622,0.2622,15939200
1991-04-01,0.0,0.3278,0.2557,0.2885,0.2885,18024000
1991-05-01,0.0,0.3212,0.2819,0.2885,0.2885,7155200
1991-06-01,0.0,0.3934,0.2885,0.354,0.354,14555200
1991-07-01,0.0,0.3737,0.3409,0.3671,0.3671,11220800
1991-08-01,0.0,0.5638,0.3737,0.5245,0.5245,24707200
1991-09-01,0.0,0.5507,0.413,0.5048,0.5048,13072000
1991-10-01,0.0,0.6359,0.5048,0.6163,0.6163,14056000
1991-11-01,0.0,0.7015,0.5114,0.5573,0.5573,9955200
1991-12-01,0.0,0.6818,0.5179,0.6687,0.6687,10057600
1992-01-01,0.0,0.7212,0.6163,0.6163,0.6163,21155200
1992-02-01,0.0,0.6949,0.6032,0.6294,0.6294,7080000
1992-03-01,0.0,0.6556,0.4983,0.4983,0.4983,7067200
1992-04-01,0.0,0.5507,0.4458,0.4851,0.4851,7536000
1992-05-01,0.0,0.6032,0.4983,0.5769,0.5769,4435200
1992-06-01,0.0,0.6032,0.4655,0.472,0.472,8787200
1992-07-01,0.4851,0.5769,0.472,0.5769,0.5769,7457600
1992-08-01,0.5507,0.6163,0.531,0.6032,0.6032,5779200
1992-09-01,0.59,0.6818,0.59,0.6687,0.6687,8928000
1992-10-01,0.6818,0.7867,0.6032,0.7343,0.7343,17067200
1992-11-01,0.7605,0.8457,0.7343,0.8261,0.8261,10052800
1992-12-01,0.813,0.931,0.7605,0.8916,0.8916,13441600
1993-01-01,0.8916,0.9703,0.8523,0.9047,0.9047,17728000
1993-02-01,0.9047,0.9703,0.6818,0.7867,0.7867,19094400
1993-03-01,0.7671,0.7998,0.7343,0.7867,0.7867,13084800
1993-04-01,0.7605,0.7867,0.6949,0.7474,0.7474,4537600
1993-05-01,0.7605,0.7998,0.7081,0.7343,0.7343,3468800
1993-06-01,0.7474,0.813,0.6425,0.7736,0.7736,4865600
1993-07-01,0.7736,0.7998,0.7474,0.7474,0.7474,4763200
1993-08-01,0.7474,0.8392,0.6949,0.7998,0.7998,5721600
1993-09-01,0.7998,0.8523,0.7736,0.7998,0.7998,6107200
1993-10-01,0.7998,0.7998,0.6425,0.6949,0.6949,6062400
1993-11-01,0.6818,0.7605,0.6425,0.6687,0.6687,3614400
