Date,Open,High,Low,Close,Adj Close,Volume
,TEL,TEL,TEL,TEL,,TEL
2007-06-01,25.7185,27.8037,24.5576,27.1503,27.1503,8573600
2007-07-01,27.2477,28.6935,24.3978,24.8982,24.8982,72073300
2007-08-01,24.2727,25.7185,22.243,24.2379,24.2379,68793500
2007-09-01,24.2379,25.503,22.521,24.6272,24.6272,55006600
2007-10-01,24.914,26.1701,23.3647,24.893,24.893,48859100
2007-11-01,24.8581,26.1353,21.8503,26.0934,26.0934,55892500
2007-12-01,25.8282,26.8401,25.1931,25.9119,25.9119,35929300
2008-01-01,25.9119,26.3655,21.0687,23.5461,23.5461,50693700
2008-02-01,23.8556,25.4745,22.461,23.0567,23.0567,39113700
2008-03-01,23.0356,24.1289,21.4308,24.0518,24.0518,47070500
2008-04-01,24.1149,26.771,23.5472,26.2173,26.2173,37955400
2008-05-01,26.928,28.3282,26.0484,28.2297,28.2297,46687300
2008-06-01,28.1734,28.3845,24.9015,25.2041,25.2041,55526500
2008-07-01,25.0985,26.4354,21.8829,23.3183,23.3183,57097100
2008-08-01,23.5453,24.9016,22.415,23.2486,23.2486,54818300
2008-09-01,23.2062,23.6018,17.5901,19.5398,19.5398,93846400
2008-10-01,19.3844,19.7164,11.7903,13.733,13.733,105267900
2008-11-01,13.8756,14.8718,9.1437,11.7266,11.7266,92047900
2008-12-01,11.2285,12.9221,10.3533,11.5345,11.5345,68403500
2009-01-01,11.7338,12.7086,9.8196,10.0758,10.0758,83887200
2009-02-01,10.0276,10.7315,6.7377,6.8096,6.8096,89116100
2009-03-01,6.6587,8.7562,5.3155,7.9301,7.9301,118818300
2009-04-01,7.808,13.181,7.5351,12.5273,12.5273,110313000
2009-05-01,12.6707,13.6168,11.6882,12.6416,12.6416,81297300
2009-06-01,12.9036,15.8439,12.8745,13.5295,13.5295,280962800
2009-07-01,13.5368,16.0112,11.7319,15.6255,15.6255,111998900
2009-08-01,15.7129,17.6415,15.5819,16.608,16.608,56079500
2009-09-01,16.4406,17.6124,15.6474,16.215,16.215,49184400
2009-10-01,16.115,17.8738,15.3162,15.5727,15.5727,57233700
2009-11-01,15.6313,18.2915,15.3968,17.0091,17.0091,47891000
2009-12-01,17.2069,18.2915,16.4961,17.9911,17.9911,47910400
2010-01-01,18.3137,19.45,18.0038,18.3579,18.3579,44064900
2010-02-01,18.5276,19.723,17.8045,18.9113,18.9113,51644500
2010-03-01,18.9556,20.9847,18.8818,20.2764,20.2764,55499600
2010-04-01,20.4546,24.1966,20.2764,23.8476,23.8476,55053000
2010-05-01,23.9144,24.4861,19.8235,21.3975,21.3975,87166400
2010-06-01,21.0486,22.0434,18.5242,18.8435,18.8435,72732000
2010-07-01,18.8877,20.5599,17.8052,20.1568,20.1568,63533900
2010-08-01,20.3882,21.3363,18.1784,18.3054,18.3054,55639100
2010-09-01,18.6488,22.3666,18.589,21.8141,21.8141,48819300
2010-10-01,22.2546,24.0353,21.9541,23.8024,23.8024,39772100
2010-11-01,23.9902,25.5079,22.5176,22.8557,22.8557,35554000
2010-12-01,23.3741,26.8528,23.2163,26.5973,26.5973,38582900
2011-01-01,26.8247,28.1233,25.6922,27.3532,27.3532,52253000
2011-02-01,27.6854,29.1349,26.3566,27.2097,27.2097,47572400
2011-03-01,27.3532,28.0478,24.3785,26.2886,26.2886,62316100
2011-04-01,26.5401,27.2984,25.1145,27.1846,27.1846,68014100
2011-05-01,27.1998,28.8604,26.6387,27.9277,27.9277,50235400
2011-06-01,27.9002,28.2965,25.3548,28.0146,28.0146,44768400
2011-07-01,27.9917,29.3558,25.8807,26.2389,26.2389,50766900
2011-08-01,26.5894,26.6275,20.9042,23.3353,23.3353,76853300
2011-09-01,23.5786,23.8469,20.4435,21.5703,21.5703,50400600
2011-10-01,21.348,28.5151,20.3745,27.2504,27.2504,184145300
