Date,Open,High,Low,Close,Adj Close,Volume
,TFC,TFC,TFC,TFC,,TFC
1985-01-01,0.0,1.1106,1.051,1.0882,1.0882,150300
1985-02-01,0.0,1.1777,1.0882,1.1553,1.1553,180000
1985-03-01,0.0,1.2746,1.1702,1.2298,1.2298,333900
1985-04-01,0.0,1.3118,1.2149,1.2522,1.2522,161100
1985-05-01,0.0,1.6249,1.2522,1.5503,1.5503,432000
1985-06-01,0.0,1.5802,1.3267,1.4311,1.4311,250200
1985-07-01,0.0,1.4758,1.2373,1.3416,1.3416,222300
1985-08-01,0.0,1.4013,1.2224,1.2522,1.2522,1659150
1985-09-01,0.0,1.282,1.2224,1.2373,1.2373,377100
1985-10-01,0.0,1.3118,1.2373,1.2671,1.2671,297000
1985-11-01,0.0,1.3118,1.2671,1.282,1.282,251100
1985-12-01,0.0,1.3566,1.282,1.3118,1.3118,300150
1986-01-01,0.0,1.3416,1.2522,1.282,1.282,376650
1986-02-01,0.0,1.3416,1.2373,1.3416,1.3416,628650
1986-03-01,0.0,1.5056,1.3267,1.446,1.446,404550
1986-04-01,0.0,1.4758,1.3416,1.3566,1.3566,708300
1986-05-01,0.0,1.4013,1.3416,1.4013,1.4013,545850
1986-06-01,0.0,1.5802,1.3715,1.5802,1.5802,1371150
1986-07-01,0.0,1.5802,1.5056,1.5354,1.5354,346500
1986-08-01,0.0,1.5354,1.4311,1.4609,1.4609,360450
1986-09-01,0.0,1.5056,1.4311,1.4609,1.4609,419400
1986-10-01,0.0,1.5205,1.446,1.4758,1.4758,465750
1986-11-01,0.0,1.4758,1.4013,1.4013,1.4013,355500
1986-12-01,0.0,1.4311,1.2969,1.3267,1.3267,720000
1987-01-01,0.0,1.5503,1.3416,1.446,1.446,517050
1987-02-01,0.0,1.5399,1.4783,1.5245,1.5245,261000
1987-03-01,0.0,1.7863,1.4937,1.7555,1.7555,859500
1987-04-01,0.0,1.8478,1.6939,1.7401,1.7401,553500
1987-05-01,0.0,1.7513,1.6738,1.6738,1.6738,450900
1987-06-01,0.0,1.7203,1.6273,1.6971,1.6971,720300
1987-07-01,0.0,1.9296,1.6506,1.8831,1.8831,737400
1987-08-01,0.0,1.9888,1.825,1.9654,1.9654,467400
1987-09-01,0.0,2.0122,1.8484,1.8484,1.8484,310500
1987-10-01,0.0,1.8952,1.4507,1.5677,1.5677,806700
1987-11-01,0.0,1.5779,1.4602,1.4602,1.4602,646200
1987-12-01,0.0,1.5779,1.4131,1.5779,1.5779,351300
1988-01-01,0.0,1.625,1.5308,1.625,1.625,235800
1988-02-01,0.0,1.7804,1.6142,1.7804,1.7804,288300
1988-03-01,0.0,1.8041,1.7091,1.7566,1.7566,349800
1988-04-01,0.0,1.7329,1.6854,1.6854,1.6854,464400
1988-05-01,0.0,1.7453,1.6736,1.6975,1.6975,346500
1988-06-01,0.0,1.7214,1.6019,1.6258,1.6258,432900
1988-07-01,0.0,1.6497,1.554,1.6019,1.6019,281400
1988-08-01,0.0,1.6634,1.567,1.6152,1.6152,265500
1988-09-01,0.0,1.6875,1.6152,1.6875,1.6875,237900
1988-10-01,0.0,1.7357,1.6634,1.7116,1.7116,249300
1988-11-01,0.0,1.7983,1.7011,1.7862,1.7862,455100
1988-12-01,0.0,1.8955,1.774,1.8712,1.8712,214800
1989-01-01,0.0,1.8712,1.8226,1.8469,1.8469,396900
1989-02-01,0.0,1.9095,1.836,1.9095,1.9095,662400
1989-03-01,0.0,2.1053,1.8972,2.0808,2.0808,932700
1989-04-01,0.0,2.1788,2.0564,2.1176,2.1176,524400
1989-05-01,0.0,2.1681,2.0942,2.1188,2.1188,390300
1989-06-01,0.0,2.2174,2.0942,2.1434,2.1434,525000
1989-07-01,0.0,2.2543,2.0695,2.1434,2.1434,402200
1989-08-01,0.0,2.195,2.0834,2.195,2.195,381800
1989-09-01,0.0,2.2322,2.1578,2.195,2.195,174200
1989-10-01,0.0,2.3067,2.009,2.0834,2.0834,246000
1989-11-01,0.0,2.1344,2.0221,2.1344,2.1344,410000
1989-12-01,0.0,2.1344,1.7974,2.0221,2.0221,401400
1990-01-01,0.0,2.097,1.8723,1.9097,1.9097,606600
1990-02-01,0.0,2.0752,1.8865,2.0752,2.0752,276800
1990-03-01,0.0,2.1884,2.0374,2.1506,2.1506,439800
1990-04-01,2.0752,2.1506,1.8865,1.9243,1.9243,355400
1990-05-01,1.9997,2.0374,1.8865,1.9997,1.9997,365000
1990-06-01,1.9242,1.9997,1.6979,1.6979,1.6979,423200
1990-07-01,1.8111,1.9243,1.7356,1.7733,1.7733,473200
1990-08-01,1.7513,1.7894,1.599,1.6371,1.6371,747000
1990-09-01,1.6371,1.6371,1.2183,1.3325,1.3325,1165400
1990-10-01,1.3706,1.4848,1.2945,1.3706,1.3706,821800
1990-11-01,1.3706,1.4087,1.3325,1.3325,1.3325,567800
1990-12-01,1.3325,1.5419,1.3325,1.5229,1.5229,768600
1991-01-01,1.5229,1.6752,1.3325,1.4277,1.4277,970000
1991-02-01,1.4658,1.561,1.4277,1.5039,1.5039,459000
1991-03-01,1.4848,1.7513,1.4848,1.7133,1.7133,859400
1991-04-01,1.7133,1.7513,1.599,1.6371,1.6371,503200
1991-05-01,1.6371,1.7133,1.599,1.6561,1.6561,713800
1991-06-01,1.6561,1.7133,1.599,1.6752,1.6752,740800
1991-07-01,1.6752,1.9798,1.6752,1.9417,1.9417,758400
1991-08-01,1.9798,2.132,1.9417,2.0559,2.0559,873000
1991-09-01,2.094,2.094,1.8275,1.9227,1.9227,619400
1991-10-01,1.9417,2.132,1.8275,2.0749,2.0749,398400
1991-11-01,2.0941,2.3823,2.0365,2.2478,2.2478,468000
1991-12-01,2.2094,2.4975,2.0941,2.1325,2.1325,463800
1992-01-01,2.1517,2.2478,1.998,2.1325,2.1325,466400
1992-02-01,2.1316,2.2091,2.0734,2.1897,2.1897,865200
1992-03-01,2.2091,2.2478,2.0541,2.2091,2.2091,501800
1992-04-01,2.2285,2.4416,2.1703,2.4029,2.4029,639400
1992-05-01,2.4039,2.8339,2.3453,2.7752,2.7752,996000
1992-06-01,2.7557,2.7557,2.443,2.5407,2.5407,331800
1992-07-01,2.5407,2.8534,2.3844,2.7166,2.7166,1494400
1992-08-01,2.6978,2.7963,2.5797,2.6388,2.6388,504400
1992-09-01,2.5994,2.7175,2.5206,2.6782,2.6782,531400
1992-10-01,2.6585,2.7175,2.5206,2.7175,2.7175,383400
1992-11-01,2.7383,2.7383,2.5597,2.659,2.659,1240000
1992-12-01,2.659,3.1352,2.5994,3.1153,3.1153,2326200
1993-01-01,3.0757,3.4328,3.0161,3.3138,3.3138,1397000
1993-02-01,3.3187,3.3187,3.0988,3.2987,3.2987,1107000
1993-03-01,3.2987,3.6585,3.1987,3.4986,3.4986,1228800
