Date,Open,High,Low,Close,Adj Close,Volume
,TJX,TJX,TJX,TJX,,TJX
1987-06-01,0.0,0.4007,0.3632,0.3908,0.3908,67798400
1987-07-01,0.0,0.4422,0.377,0.3869,0.3869,69145600
1987-08-01,0.0,0.4106,0.3514,0.3928,0.3928,38668800
1987-09-01,0.0,0.4074,0.312,0.3458,0.3458,54435200
1987-10-01,0.0,0.3677,0.1789,0.2305,0.2305,46710400
1987-11-01,0.0,0.2504,0.1908,0.2166,0.2166,35113600
1987-12-01,0.0,0.2558,0.2119,0.2518,0.2518,22364800
1988-01-01,0.0,0.2878,0.2379,0.2698,0.2698,17353600
1988-02-01,0.2718,0.3058,0.2678,0.3058,0.3058,21353600
1988-03-01,0.3076,0.3096,0.2754,0.2794,0.2794,17968000
1988-04-01,0.2794,0.3116,0.2734,0.2794,0.2794,13612800
1988-05-01,0.2794,0.2794,0.2432,0.2533,0.2533,17091200
1988-06-01,0.253,0.3076,0.2429,0.3076,0.3076,40944000
1988-07-01,0.3036,0.3056,0.2833,0.2894,0.2894,19529600
1988-08-01,0.2914,0.3744,0.2914,0.3602,0.3602,38406400
1988-09-01,0.3641,0.4088,0.358,0.3986,0.3986,39180800
1988-10-01,0.3986,0.419,0.3864,0.3946,0.3946,16227200
1988-11-01,0.3905,0.4068,0.3661,0.4048,0.4048,14121600
1988-12-01,0.4024,0.4126,0.3452,0.3574,0.3574,38019200
1989-01-01,0.3574,0.3758,0.3472,0.3738,0.3738,25577600
1989-02-01,0.3738,0.384,0.3595,0.3717,0.3717,6665600
1989-03-01,0.3734,0.4041,0.3693,0.3713,0.3713,29472000
1989-04-01,0.3672,0.3898,0.3364,0.3816,0.3816,60432000
1989-05-01,0.3792,0.443,0.3627,0.4039,0.4039,75609600
1989-06-01,0.4039,0.4884,0.2782,0.2988,0.2988,290214400
1989-07-01,0.3365,0.3645,0.3178,0.3622,0.3622,198774400
1989-08-01,0.3669,0.3785,0.3271,0.3739,0.3739,260534400
1989-09-01,0.3781,0.3852,0.3429,0.3546,0.3546,210115200
1989-10-01,0.3523,0.3758,0.3006,0.3265,0.3265,312403200
1989-11-01,0.3265,0.3288,0.2701,0.2889,0.2889,293216000
1989-12-01,0.2883,0.3166,0.2623,0.2906,0.2906,177366400
1990-01-01,0.2883,0.3119,0.2552,0.2765,0.2765,127238400
1990-02-01,0.2741,0.2836,0.2552,0.2836,0.2836,105068800
1990-03-01,0.2832,0.3379,0.2832,0.3022,0.3022,147308800
1990-04-01,0.2975,0.326,0.238,0.2451,0.2451,379235200
1990-05-01,0.2427,0.2832,0.2261,0.2808,0.2808,163468800
1990-06-01,0.2834,0.2858,0.2473,0.2545,0.2545,153814400
1990-07-01,0.2521,0.3194,0.2473,0.2882,0.2882,127641600
1990-08-01,0.2882,0.2954,0.2473,0.2665,0.2665,84217600
1990-09-01,0.2711,0.2759,0.2106,0.2396,0.2396,91414400
1990-10-01,0.2469,0.2566,0.1694,0.1864,0.1864,203158400
1990-11-01,0.1888,0.2275,0.1864,0.2178,0.2178,70947200
1990-12-01,0.2252,0.2326,0.1836,0.213,0.213,109475200
1991-01-01,0.213,0.2424,0.1885,0.235,0.235,217398400
1991-02-01,0.2326,0.306,0.2228,0.3036,0.3036,147987200
1991-03-01,0.3041,0.356,0.2991,0.3362,0.3362,191644800
1991-04-01,0.3288,0.393,0.3065,0.3387,0.3387,133110400
1991-05-01,0.3362,0.3832,0.3288,0.3807,0.3807,115632000
1991-06-01,0.3782,0.3882,0.3409,0.3583,0.3583,138560000
1991-07-01,0.3558,0.4056,0.3533,0.4056,0.4056,109008000
1991-08-01,0.4056,0.4056,0.3484,0.3857,0.3857,138768000
1991-09-01,0.388,0.3905,0.3129,0.3279,0.3279,132393600
1991-10-01,0.3279,0.3479,0.2878,0.3029,0.3029,202448000
