Date,Open,High,Low,Close,Adj Close,Volume
,TKO,TKO,TKO,TKO,,TKO
1999-10-01,12.9123,14.394,8.5994,10.2134,10.2134,34534100
1999-11-01,10.3457,10.9278,8.2289,8.52,8.52,8807300
1999-12-01,8.6788,8.7317,5.9534,7.3029,7.3029,8516400
2000-01-01,7.2499,7.2764,6.0063,6.5355,6.5355,2457400
2000-02-01,6.6149,7.5674,4.1277,5.5036,5.5036,17546400
2000-03-01,6.0857,8.3348,5.1861,7.5079,7.5079,8181400
2000-04-01,7.6204,7.832,5.5565,7.2235,7.2235,3789200
2000-05-01,7.2499,7.832,6.8795,6.9324,6.9324,1615500
2000-06-01,7.1706,8.9169,6.8001,8.8111,8.8111,2949600
2000-07-01,8.6523,9.4196,8.3348,8.9963,8.9963,1921500
2000-08-01,8.9963,9.1815,7.7791,9.0492,9.0492,1973800
2000-09-01,9.0492,9.5255,5.9534,6.4297,6.4297,2872800
2000-10-01,6.6414,6.6678,6.0328,6.4032,6.4032,2482800
2000-11-01,6.3768,6.8795,5.5036,5.7417,5.7417,1121700
2000-12-01,5.7947,6.853,5.3978,6.7737,6.7737,1618000
2001-01-01,6.8001,9.3138,6.562,9.1402,9.1402,3215300
2001-02-01,9.1402,9.1402,5.7153,5.8423,5.8423,4157500
2001-03-01,5.7364,6.2233,4.8728,5.656,5.656,2646000
2001-04-01,5.6983,5.927,5.3173,5.7703,5.7703,683000
2001-05-01,5.6941,6.2402,5.0802,5.1692,5.1692,1290800
2001-06-01,5.1692,5.9058,5.1056,5.8423,5.8423,1044900
2001-07-01,5.8423,6.562,4.4452,4.4452,4.4452,1342200
2001-08-01,4.6992,5.3639,4.5595,4.7839,4.7839,2216400
2001-09-01,4.8262,5.5883,4.3648,5.5883,5.5883,1957700
2001-10-01,5.5036,5.5078,4.4875,4.7712,4.7712,1984200
2001-11-01,4.7289,5.5036,4.5553,5.4401,5.4401,1347100
2001-12-01,5.3978,5.7872,5.004,5.5671,5.5671,827800
2002-01-01,5.5883,6.1217,5.4824,6.0413,6.0413,782700
2002-02-01,6.0201,6.0455,5.4232,5.7364,5.7364,476500
2002-03-01,5.7788,6.7017,5.6094,6.181,6.181,934500
2002-04-01,6.2233,6.6001,5.7364,6.1175,6.1175,582700
2002-05-01,6.0963,6.4773,5.9312,6.2021,6.2021,516100
2002-06-01,6.1598,6.2614,5.5036,6.181,6.181,1088100
2002-07-01,6.1725,6.1725,3.5943,4.297,4.297,2590800
2002-08-01,4.3267,4.4029,4.0642,4.1065,4.1065,1841600
2002-09-01,4.0854,4.1912,3.463,3.5435,3.5435,534300
2002-10-01,3.5477,3.7551,2.8619,3.353,3.353,964800
2002-11-01,3.3233,3.8187,3.281,3.6832,3.6832,699800
2002-12-01,3.662,3.806,3.2175,3.408,3.408,503300
2003-01-01,3.3911,3.6408,3.3657,3.4249,3.4249,507900
2003-02-01,3.4673,3.5435,3.3233,3.5138,3.5138,355400
2003-03-01,3.535,3.5773,3.2133,3.2429,3.2429,989100
2003-04-01,3.2217,3.8949,3.1455,3.8441,3.8441,483400
