Date,Open,High,Low,Close,Adj Close,Volume
,TMO,TMO,TMO,TMO,,TMO
1985-01-01,0.0,2.347,1.9313,2.3336,2.3336,2748938
1985-02-01,0.0,2.5214,2.2665,2.4677,2.4677,2719324
1985-03-01,0.0,2.7896,2.2531,2.4945,2.4945,4433231
1985-04-01,0.0,2.6823,2.4141,2.4543,2.4543,1758715
1985-05-01,0.0,2.6823,2.4275,2.6689,2.6689,1098817
1985-06-01,0.0,3.0042,2.6823,2.9505,2.9505,2279642
1985-07-01,0.0,3.2456,2.8969,3.1517,3.1517,4067972
1985-08-01,0.0,3.715,3.2054,3.6748,3.6748,4970870
1985-09-01,0.0,3.6748,3.0578,3.2791,3.2791,3307333
1985-10-01,0.0,3.4199,3.0779,3.2188,3.2188,1551659
1985-11-01,0.0,3.601,3.1785,3.5809,3.5809,2912458
1985-12-01,0.0,3.7619,3.1383,3.2389,3.2389,3225827
1986-01-01,0.0,3.943,3.2188,3.7217,3.7217,3790297
1986-02-01,0.0,4.2045,3.7016,3.943,3.943,3475408
1986-03-01,0.0,4.0235,3.6613,3.7217,3.7217,2990928
1986-04-01,0.0,5.4115,3.6613,4.5465,4.5465,6674910
1986-05-01,0.0,5.0897,4.4862,4.808,4.808,2077145
1986-06-01,0.0,5.5524,4.6471,5.492,5.492,2738309
1986-07-01,0.0,5.5121,4.8281,5.1098,5.1098,2588458
1986-08-01,0.0,5.2908,4.8885,4.9086,4.9086,1576465
1986-09-01,0.0,4.969,3.9028,4.6069,4.6069,3459209
1986-10-01,0.0,4.7074,4.1643,4.4862,4.4862,1716191
1986-11-01,0.0,4.4962,4.0436,4.1643,4.1643,1326379
1986-12-01,0.0,4.3755,4.0436,4.1039,4.1039,2091157
1987-01-01,0.0,5.4317,4.1643,4.979,4.979,2325719
1987-02-01,0.0,6.4576,4.8583,6.3369,6.3369,2503918
1987-03-01,0.0,6.9103,5.7938,6.005,6.005,2137055
1987-04-01,0.0,5.9447,4.798,5.0394,5.0394,3491442
1987-05-01,0.0,6.0955,4.979,5.4317,5.4317,2550157
1987-06-01,0.0,5.8541,5.3411,5.6731,5.6731,2545767
1987-07-01,0.0,5.8541,5.5222,5.8541,5.8541,2978106
1987-08-01,0.0,6.4576,5.6127,6.2464,6.2464,2683803
1987-09-01,6.3671,6.3671,5.492,5.6429,5.6429,2616305
1987-10-01,5.7032,5.7334,2.4141,3.4099,3.4099,5896805
1987-11-01,3.4099,3.8022,3.0176,3.259,3.259,2610229
1987-12-01,3.259,3.6815,2.9572,3.2892,3.2892,3955171
1988-01-01,3.1685,3.5004,3.0779,3.1685,3.1685,1607181
1988-02-01,3.1986,4.3152,3.1383,3.953,3.953,1742516
1988-03-01,4.0134,4.2246,3.8323,4.0738,4.0738,1674343
1988-04-01,4.0436,4.1039,3.7418,4.0134,4.0134,1281154
1988-05-01,3.9229,3.9832,3.5306,3.6513,3.6513,1665568
1988-06-01,3.6815,4.3453,3.5909,4.3453,4.3453,1786056
1988-07-01,4.3453,4.4359,3.953,4.0436,4.0436,1032419
1988-08-01,4.0737,4.7678,4.0436,4.6169,4.6169,2125242
1988-09-01,4.6169,4.7376,4.5264,4.7376,4.7376,2022305
1988-10-01,4.7074,4.798,4.3453,4.4962,4.4962,814054
1988-11-01,4.466,4.6471,3.953,4.3152,4.3152,1370929
1988-12-01,4.285,5.0092,4.1341,4.8885,4.8885,1568365
1989-01-01,4.9489,5.0696,4.6169,4.798,4.798,1771206
1989-02-01,4.9187,5.2808,4.7678,5.2204,5.2204,1928481
1989-03-01,5.2204,5.492,4.7074,5.0092,5.0092,2151230
1989-04-01,4.9489,6.2464,4.9489,6.1559,6.1559,4498206
1989-05-01,6.0955,6.6387,5.6731,6.5784,6.5784,3152257
1989-06-01,6.6085,7.0612,6.3671,6.518,6.518,4038530
1989-07-01,6.518,7.4233,6.4576,7.3931,7.3931,3086444
1989-08-01,7.3629,8.0871,7.0612,7.8457,7.8457,3325054
1989-09-01,7.8759,9.083,7.7854,8.9019,8.9019,4917041
1989-10-01,8.8717,9.1433,7.1517,7.5138,7.5138,5291666
1989-11-01,7.544,8.057,7.3328,7.5742,7.5742,2628792
1989-12-01,7.6345,7.7854,7.1819,7.3931,7.3931,4072282
1990-01-01,7.3931,8.057,7.1819,7.212,7.212,3708793
1990-02-01,7.212,7.8759,7.1215,7.6345,7.6345,2226493
1990-03-01,7.6043,8.5096,7.5742,7.725,7.725,2620017
1990-04-01,7.6647,8.0871,7.4836,7.7854,7.7854,1316929
1990-05-01,7.7552,8.4794,7.5138,8.1777,8.1777,4895442
1990-06-01,8.1777,8.2682,7.212,7.3629,7.3629,3348679
1990-07-01,7.3026,7.725,6.9103,6.9405,6.9405,3838055
1990-08-01,6.9405,6.9706,5.4618,6.1257,6.1257,5329807
1990-09-01,6.0654,6.0654,5.492,5.5524,5.5524,3802278
1990-10-01,5.5222,5.824,5.2506,5.5825,5.5825,2236618
1990-11-01,5.5524,7.1517,5.4015,7.0913,7.0913,4240017
1990-12-01,7.0612,7.1517,6.8499,6.9706,6.9706,2283867
1991-01-01,6.9103,7.8457,6.2464,7.6647,7.6647,3577844
1991-02-01,7.6647,7.9061,7.2724,7.8457,7.8457,7211366
1991-03-01,7.8759,8.4191,7.725,8.2682,8.2682,5348705
1991-04-01,8.2079,8.8717,8.1777,8.3587,8.3587,7609280
1991-05-01,8.3587,9.6563,8.2984,9.5959,9.5959,8155019
1991-06-01,9.5959,9.6261,8.6303,8.751,8.751,4311907
1991-07-01,8.7812,9.2338,8.5096,8.8717,8.8717,3329782
1991-08-01,8.8114,9.5356,8.3587,9.3244,9.3244,6942043
1991-09-01,9.3545,9.8374,9.2942,9.7166,9.7166,5054741
1991-10-01,9.7468,10.2296,9.5054,9.9882,9.9882,3714531
1991-11-01,10.0486,10.7125,9.5959,9.8373,9.8373,4088144
1991-12-01,9.7166,11.3461,9.6865,11.2556,11.2556,4744916
1992-01-01,11.1651,11.2556,10.4107,10.8935,10.8935,3900492
1992-02-01,10.8935,11.4669,10.1391,10.2598,10.2598,6525903
1992-03-01,10.2598,10.5314,9.1131,9.264,9.264,6727057
1992-04-01,9.1433,10.5314,9.1433,10.1089,10.1089,4410454
1992-05-01,10.0788,10.3202,9.7166,10.1693,10.1693,2952455
1992-06-01,10.1089,10.4107,9.6865,9.8373,9.8373,2972029
1992-07-01,9.777,10.2598,9.0528,9.5959,9.5959,6313619
1992-08-01,9.5356,9.5658,9.1433,9.5054,9.5054,3857630
1992-09-01,9.4451,10.0788,9.4451,9.9882,9.9882,4365567
