Date,Open,High,Low,Close,Adj Close,Volume
,TPL,TPL,TPL,TPL,,TPL
1980-03-01,0.0,1.5871,1.0724,1.2869,1.2869,685500
1980-04-01,0.0,1.5014,1.2011,1.5014,1.5014,520500
1980-05-01,0.0,1.7158,1.3512,1.6086,1.6086,898500
1980-06-01,0.0,1.63,1.5067,1.5979,1.5979,811500
1980-07-01,0.0,2.0054,1.5764,1.9196,1.9196,1506000
1980-08-01,0.0,1.9303,1.7158,1.7158,1.7158,594000
1980-09-01,0.0,1.9518,1.7266,1.8445,1.8445,454500
1980-10-01,0.0,2.252,1.8338,2.1877,2.1877,879000
1980-11-01,0.0,3.0456,2.1877,2.8901,2.8901,774000
1980-12-01,0.0,2.9598,2.4665,2.5737,2.5737,1060500
1981-01-01,0.0,2.6381,2.0268,2.0804,2.0804,951000
1981-02-01,0.0,2.1019,1.7051,2.0804,2.0804,736500
1981-03-01,0.0,2.2306,1.8874,1.9947,1.9947,601500
1981-04-01,0.0,1.9947,1.7158,1.7158,1.7158,568500
1981-05-01,0.0,1.8231,1.7051,1.7373,1.7373,490500
1981-06-01,0.0,1.7266,1.5657,1.6515,1.6515,544500
1981-07-01,0.0,1.9947,1.6622,1.7319,1.7319,501000
1981-08-01,1.7319,1.748,1.5014,1.5014,1.5014,433500
1981-09-01,0.0,1.5442,1.1367,1.2279,1.2279,1333500
1981-10-01,0.0,1.3512,1.1796,1.2869,1.2869,762000
1981-11-01,0.0,1.4906,1.2225,1.4638,1.4638,862500
1981-12-01,0.0,1.4692,1.3083,1.3512,1.3512,513000
1982-01-01,0.0,1.3405,0.8901,1.0724,1.0724,1414500
1982-02-01,0.0,1.1689,0.9866,1.0295,1.0295,591000
1982-03-01,0.0,1.1153,0.8901,1.0724,1.0724,585000
1982-04-01,0.0,1.1957,1.0831,1.1046,1.1046,295500
1982-05-01,0.0,1.1046,1.0295,1.0402,1.0402,262500
1982-06-01,0.0,1.0402,0.7989,0.8954,0.8954,1660500
1982-07-01,0.0,0.8847,0.815,0.8365,0.8365,487500
1982-08-01,0.0,0.9544,0.7936,0.8686,0.8686,867000
1982-09-01,0.0,0.9223,0.8365,0.8954,0.8954,670500
1982-10-01,0.0,1.0295,0.8579,0.9866,0.9866,810000
1982-11-01,0.0,1.1046,0.9491,0.9866,0.9866,901500
1982-12-01,0.0,1.0295,0.8794,0.8954,0.8954,931500
1983-01-01,0.0,1.0778,0.8847,1.0295,1.0295,862500
1983-02-01,0.0,1.2386,1.0081,1.1796,1.1796,774000
1983-03-01,0.0,1.3512,1.1796,1.319,1.319,975000
1983-04-01,0.0,1.3083,1.244,1.2815,1.2815,996000
1983-05-01,0.0,1.437,1.2225,1.3941,1.3941,1345500
1983-06-01,0.0,1.4156,1.3298,1.3619,1.3619,490500
1983-07-01,0.0,1.3619,1.244,1.2601,1.2601,372000
1983-08-01,0.0,1.2761,1.2064,1.2601,1.2601,534000
1983-09-01,0.0,1.2869,1.244,1.2547,1.2547,538500
1983-10-01,1.2547,1.2761,1.2225,1.2547,1.2547,469500
1983-11-01,0.0,1.5871,1.2333,1.5335,1.5335,1230000
1983-12-01,0.0,1.6944,1.5442,1.5871,1.5871,700500
1984-01-01,0.0,1.6086,1.3995,1.5389,1.5389,1068000
1984-02-01,0.0,1.5442,1.4102,1.4156,1.4156,487500
1984-03-01,0.0,1.5014,1.4156,1.4799,1.4799,1707000
1984-04-01,0.0,1.5121,1.437,1.5067,1.5067,546000
1984-05-01,0.0,1.5657,1.4799,1.4906,1.4906,514500
1984-06-01,0.0,1.5764,1.4585,1.5657,1.5657,399000
1984-07-01,0.0,1.6729,1.5228,1.5228,1.5228,511500
1984-08-01,0.0,1.5335,1.4585,1.4799,1.4799,894000
1984-09-01,0.0,1.4745,1.4156,1.4477,1.4477,402000
1984-10-01,0.0,1.5121,1.4263,1.4585,1.4585,595500
1984-11-01,0.0,1.4799,1.4156,1.4156,1.4156,510000
1984-12-01,0.0,1.4156,1.3727,1.3834,1.3834,432000
1985-01-01,0.0,1.3834,1.2333,1.3298,1.3298,780000
1985-02-01,0.0,1.3619,1.2869,1.3137,1.3137,481500
1985-03-01,0.0,1.3941,1.3083,1.3727,1.3727,396000
1985-04-01,0.0,1.4156,1.3298,1.3512,1.3512,388500
1985-05-01,0.0,1.4906,1.3351,1.4745,1.4745,570000
1985-06-01,0.0,1.4853,1.3727,1.378,1.378,274500
1985-07-01,0.0,1.3727,1.2547,1.2976,1.2976,1141500
1985-08-01,0.0,1.3727,1.2601,1.3512,1.3512,480000
1985-09-01,0.0,1.3566,1.244,1.2601,1.2601,1054500
1985-10-01,0.0,1.2761,1.2333,1.244,1.244,492000
