Date,Open,High,Low,Close,Adj Close,Volume
,TPR,TPR,TPR,TPR,,TPR
2000-10-01,1.6674,1.9845,1.3094,1.9129,1.9129,36911200
2000-11-01,1.8924,2.0663,1.739,1.8106,1.8106,20092000
2000-12-01,1.7901,2.4039,1.6469,2.3528,2.3528,11434400
2001-01-01,2.3425,2.7824,1.8004,2.7619,2.7619,33825600
2001-02-01,2.766,3.1425,2.4665,2.4665,2.4665,28839200
2001-03-01,2.4559,2.4567,2.1473,2.3658,2.3658,57708000
2001-04-01,2.3568,2.6555,1.8871,2.6547,2.6547,187289600
2001-05-01,2.6801,3.0483,2.5041,2.8683,2.8683,96076000
2001-06-01,2.8683,3.2562,2.7128,3.1138,3.1138,66676800
2001-07-01,3.1261,3.4984,2.5991,3.0909,3.0909,89540000
2001-08-01,3.0868,3.1916,2.6359,2.9706,2.9706,48856800
2001-09-01,2.9714,3.0475,1.6367,2.1694,2.1694,81183200
2001-10-01,2.1113,2.5205,1.8249,2.2832,2.2832,81563200
2001-11-01,2.3037,2.8225,2.1973,2.7006,2.7006,68603200
2001-12-01,2.7161,3.2202,2.6187,3.1899,3.1899,73916800
2002-01-01,3.1523,3.8446,3.0664,3.7767,3.7767,77365600
2002-02-01,3.7439,4.1572,3.3961,4.0803,4.0803,63877600
2002-03-01,4.0631,4.3651,3.8012,4.1498,4.1498,56208000
2002-04-01,4.1408,4.7014,3.9305,4.5828,4.5828,59571200
2002-05-01,4.5623,4.9289,4.0345,4.2767,4.2767,97640800
2002-06-01,4.3364,4.6531,3.8462,4.4927,4.4927,115889600
2002-07-01,4.4919,4.4919,2.8135,3.7317,3.7317,111738000
2002-08-01,3.73,4.6237,3.5271,4.0312,4.0312,81646000
2002-09-01,4.2047,4.9052,4.0754,4.1899,4.1899,73033600
2002-10-01,4.1736,5.4158,3.6826,4.8692,4.8692,102658800
2002-11-01,4.8692,5.6564,4.5828,5.568,5.568,63051200
2002-12-01,5.8348,5.843,5.0459,5.388,5.388,64261600
2003-01-01,5.5059,5.7284,4.7513,5.2292,5.2292,107181200
2003-02-01,5.2423,5.8594,4.8774,5.8479,5.8479,74669200
2003-03-01,5.8921,6.5452,5.6433,6.2735,6.2735,94550800
2003-04-01,6.3013,7.2342,5.9085,7.1213,7.1213,93237600
2003-05-01,7.1213,8.0607,6.9969,8.0411,8.0411,77455200
2003-06-01,8.3455,8.7612,7.8561,8.1409,8.1409,83409200
2003-07-01,8.0231,9.3292,8.0198,8.6745,8.6745,76143200
2003-08-01,8.5927,9.5207,8.0607,9.4994,9.4994,57373600
2003-09-01,9.5632,9.7629,8.7154,8.9364,8.9364,75042000
2003-10-01,8.9364,12.0297,8.9364,11.6107,11.6107,73860600
2003-11-01,11.8661,13.0674,11.2932,13.0412,13.0412,66865000
2003-12-01,13.2703,13.3685,10.6385,12.3571,12.3571,92859800
2004-01-01,12.3571,12.8317,11.0477,11.5976,11.5976,78794400
2004-02-01,11.7482,13.1918,11.4176,12.9725,12.9725,55523400
2004-03-01,13.0936,14.511,12.835,13.4176,13.4176,61875200
2004-04-01,13.1754,14.8776,12.8317,13.9447,13.9447,66671200
2004-05-01,14.0952,14.5011,12.7531,14.2753,14.2753,50988000
2004-06-01,14.2687,15.0904,13.8694,14.7925,14.7925,44912800
