Date,Open,High,Low,Close,Adj Close,Volume
,TSLA,TSLA,TSLA,TSLA,,TSLA
2010-06-01,1.2667,2.028,1.1693,1.5887,1.5887,539301000
2010-07-01,1.6667,1.728,0.9987,1.3293,1.3293,968637000
2010-08-01,1.3667,1.4787,1.1593,1.2987,1.2987,225573000
2010-09-01,1.308,1.544,1.3,1.3607,1.3607,270688500
2010-10-01,1.3793,1.458,1.3333,1.456,1.456,98217000
2010-11-01,1.4627,2.4,1.4033,2.3553,2.3553,424726500
2010-12-01,2.3913,2.428,1.6667,1.7753,1.7753,553393500
2011-01-01,1.7893,1.914,1.4913,1.6067,1.6067,426301500
2011-02-01,1.6207,1.6993,1.4073,1.5927,1.5927,439552500
2011-03-01,1.6033,1.914,1.4513,1.85,1.85,488449500
2011-04-01,1.83,1.8787,1.6133,1.84,1.84,448423500
2011-05-01,1.84,2.0187,1.7013,2.0093,2.0093,455232000
2011-06-01,2.0,2.1,1.7,1.942,1.942,595909500
2011-07-01,1.938,2.0293,1.7753,1.878,1.878,316531500
2011-08-01,1.9113,1.9467,1.4333,1.6493,1.6493,408235500
2011-09-01,1.644,1.7993,1.486,1.626,1.626,270322500
2011-10-01,1.6633,2.0,1.5287,1.958,1.958,324939000
2011-11-01,1.8927,2.3333,1.8667,2.1827,2.1827,387702000
2011-12-01,2.1713,2.3333,1.7353,1.904,1.904,316927500
2012-01-01,1.9293,2.0,1.5093,1.938,1.938,384148500
2012-02-01,1.938,2.3313,1.9333,2.2273,2.2273,347904000
2012-03-01,2.234,2.6633,2.1747,2.4827,2.4827,332452500
2012-04-01,2.4887,2.5647,2.0667,2.2087,2.2087,341293500
2012-05-01,2.2087,2.312,1.7887,1.9667,1.9667,512779500
2012-06-01,1.902,2.3,1.8073,2.086,2.086,391906500
2012-07-01,2.09,2.4,1.814,1.828,1.828,488151000
2012-08-01,1.866,2.0867,1.7013,1.9013,1.9013,367231500
2012-09-01,1.9013,2.1853,1.82,1.952,1.952,499426500
2012-10-01,1.9667,2.0067,1.7907,1.8753,1.8753,264313500
2012-11-01,1.8833,2.286,1.88,2.2547,2.2547,356413500
2012-12-01,2.2593,2.3867,2.1833,2.258,2.258,325714500
2013-01-01,2.3333,2.5807,2.1407,2.5007,2.5007,426969000
2013-02-01,2.5447,2.6667,2.2533,2.322,2.322,663840000
2013-03-01,2.3333,2.6327,2.2833,2.526,2.526,444825000
2013-04-01,2.824,3.8787,2.6807,3.5993,3.5993,1223221500
2013-05-01,3.7327,7.66,3.5333,6.5173,6.5173,4968313500
2013-06-01,6.508,7.35,5.8833,7.1573,7.1573,2686720500
2013-07-01,7.2907,9.166,6.9667,8.952,8.952,3442923000
2013-08-01,9.0,11.5333,8.824,11.2667,11.2667,3888999000
2013-09-01,11.56,12.9667,10.5673,12.8913,12.8913,2568159000
2013-10-01,12.9307,12.9487,10.2,10.6627,10.6627,3876822000
2013-11-01,10.8667,12.0953,7.74,8.4853,8.4853,4625827500
2013-12-01,8.4233,10.5333,8.262,10.0287,10.0287,2964568500
2014-01-01,9.9867,12.4,9.1113,12.094,12.094,2758984500
2014-02-01,12.1927,17.6667,11.2907,16.3207,16.3207,3389311500
2014-03-01,15.8173,17.3333,13.5333,13.8967,13.8967,2500284000
2014-04-01,13.9347,15.7153,12.288,13.8593,13.8593,2478117000
2014-05-01,13.8053,14.5773,11.8147,13.8513,13.8513,2022151500
2014-06-01,13.822,16.2993,13.2833,16.004,16.004,1850440500
2014-07-01,16.164,16.2293,14.24,14.8867,14.8867,1619290500
2014-08-01,15.0727,18.1333,15.0667,17.98,17.98,1722708000
2014-09-01,18.3667,19.428,16.008,16.1787,16.1787,1992724500
2014-10-01,16.1467,17.7027,14.488,16.1133,16.1133,2280787500
2014-11-01,16.2,17.3327,15.2333,16.3013,16.3013,1615827000
2014-12-01,16.0773,16.1647,12.8433,14.8273,14.8273,1904193000
2015-01-01,14.858,14.8833,12.3333,13.5733,13.5733,1353076500
2015-02-01,13.598,15.032,12.8853,13.556,13.556,1600762500
2015-03-01,13.5133,13.746,12.0933,12.5847,12.5847,1844851500
2015-04-01,12.58,15.9167,12.4033,15.07,15.07,1484176500
2015-05-01,15.3293,16.858,14.6833,16.72,16.72,1336917000
2015-06-01,16.7607,18.094,16.3787,17.884,17.884,982096500
2015-07-01,18.074,19.11,16.7193,17.7433,17.7433,1200915000
2015-08-01,17.7527,18.0667,13.0,16.604,16.604,1728961500
2015-09-01,16.0227,18.1047,15.798,16.56,16.56,1204321500
2015-10-01,16.5007,16.656,13.4667,13.7953,13.7953,1512180000
2015-11-01,13.928,15.6387,13.72,15.3507,15.3507,1177326000
2015-12-01,15.404,16.242,14.3247,16.0007,16.0007,897682500
2016-01-01,15.3813,15.4253,12.1607,12.7467,12.7467,1188708000
2016-02-01,12.584,13.3013,9.4033,12.7953,12.7953,2005587000
2016-03-01,12.95,15.992,12.1,15.318,15.318,1543830000
2016-04-01,16.322,17.956,15.55,16.0507,16.0507,2032609500
2016-05-01,16.1,16.2127,13.5773,14.882,14.882,1549612500
2016-06-01,14.7653,16.0567,12.5247,14.152,14.152,1825092000
2016-07-01,13.7427,15.6853,13.7333,15.6527,15.6527,1110958500
2016-08-01,15.7,15.7753,13.91,14.134,14.134,934366500
2016-09-01,13.934,14.0733,12.8967,13.602,13.602,1059478500
