Date,Open,High,Low,Close,Adj Close,Volume
,TT,TT,TT,TT,,TT
1985-01-01,0.0,0.9052,0.8258,0.8888,0.8888,19416772
1985-02-01,0.0,0.9332,0.8748,0.9098,0.9098,23171341
1985-03-01,0.0,0.9366,0.8468,0.8704,0.8704,22120739
1985-04-01,0.0,0.8917,0.8586,0.8704,0.8704,13539209
1985-05-01,0.0,0.9272,0.842,0.9248,0.9248,18114411
1985-06-01,0.0,0.9668,0.9212,0.9332,0.9332,15187738
1985-07-01,0.9332,1.0268,0.9332,1.01,1.01,31844862
1985-08-01,1.01,1.0172,0.9644,0.9932,0.9932,22290193
1985-09-01,1.0059,1.018,0.9767,0.9913,0.9913,10607693
1985-10-01,0.9937,1.0059,0.9524,0.9913,0.9913,12912238
1985-11-01,0.9913,1.1031,0.9864,1.0958,1.0958,23536875
1985-12-01,1.1095,1.1169,1.016,1.0529,1.0529,20087317
1986-01-01,1.0529,1.1538,1.0234,1.1316,1.1316,30082562
1986-02-01,1.139,1.2964,1.139,1.2694,1.2694,24110590
1986-03-01,1.283,1.37,1.2482,1.3178,1.3178,23771687
1986-04-01,1.3227,1.3227,1.2133,1.2183,1.2183,25032893
1986-05-01,1.2183,1.3476,1.1935,1.3203,1.3203,20498843
1986-06-01,1.3339,1.3515,1.1455,1.1505,1.1505,17078333
1986-07-01,1.1455,1.1606,1.0224,1.1103,1.1103,33992059
1986-08-01,1.1078,1.2158,1.0902,1.1957,1.1957,17632686
1986-09-01,1.209,1.2801,1.0566,1.0668,1.0668,27925679
1986-10-01,1.0668,1.1531,1.0515,1.143,1.143,23735378
1986-11-01,1.143,1.2039,1.1125,1.1658,1.1658,20707026
1986-12-01,1.1766,1.2537,1.1406,1.1458,1.1458,21150025
1987-01-01,1.156,1.5157,1.156,1.4874,1.4874,42024082
1987-02-01,1.4926,1.6339,1.4926,1.5825,1.5825,34197824
1987-03-01,1.5911,1.7466,1.5859,1.6481,1.6481,28155649
1987-04-01,1.6377,1.7258,1.5263,1.6092,1.6092,23875779
1987-05-01,1.6041,1.7906,1.5445,1.5652,1.5652,21803622
1987-06-01,1.5775,1.6976,1.5644,1.6454,1.6454,23824944
1987-07-01,1.6506,2.1938,1.6323,2.1677,2.1677,47026788
1987-08-01,2.1677,2.2069,2.011,2.011,2.011,34298040
1987-09-01,2.0236,2.4047,1.9579,2.3587,2.3587,49723979
1987-10-01,2.3719,2.4047,1.1826,1.59,1.59,65419100
1987-11-01,1.5506,1.7608,1.4192,1.636,1.636,37512788
1987-12-01,1.6826,1.9475,1.4971,1.8813,1.8813,45962144
1988-01-01,1.9012,1.9873,1.6428,1.8018,1.8018,37838135
1988-02-01,1.8018,2.0601,1.7091,2.0336,2.0336,32091291
1988-03-01,2.0552,2.2153,1.9484,2.0685,2.0685,34825762
1988-04-01,2.0685,2.1686,1.9684,2.1019,2.1019,22709462
1988-05-01,2.1085,2.1819,2.0018,2.1753,2.1753,20740915
1988-06-01,2.2034,2.3982,2.2034,2.2504,2.2504,42095735
1988-07-01,2.237,2.2907,2.0691,2.1564,2.1564,23886912
1988-08-01,2.1429,2.1833,1.881,1.9414,1.9414,30623355
1988-09-01,1.9552,2.0499,1.8943,1.9078,1.9078,27720401
1988-10-01,1.8943,2.0296,1.7725,1.7861,1.7861,65859676
1988-11-01,1.7928,1.8537,1.6913,1.8267,1.8267,36794309
1988-12-01,1.8345,1.8822,1.78,1.8686,1.8686,27967318
1989-01-01,1.855,2.1346,1.8345,2.1141,2.1141,48551369
1989-02-01,2.1073,2.1346,1.9845,2.0186,2.0186,23947917
1989-03-01,2.0329,2.1908,1.9917,2.0191,2.0191,27863708
1989-04-01,2.0466,2.1908,2.0397,2.1702,2.1702,23444400
1989-05-01,2.1565,2.3763,2.1496,2.2801,2.2801,26727898
1989-06-01,2.2901,2.4769,2.2417,2.2832,2.2832,32659682
1989-07-01,2.2832,2.6499,2.2694,2.643,2.643,27320495
1989-08-01,2.643,2.7606,2.5669,2.7468,2.7468,27951820
1989-09-01,2.7573,2.7782,2.4997,2.5972,2.5972,18993142
1989-10-01,2.5902,2.7712,2.2769,2.3743,2.3743,36793342
1989-11-01,2.3743,2.7225,2.3047,2.625,2.625,24922992
1989-12-01,2.6429,2.8182,2.5237,2.8182,2.8182,19316551
1990-01-01,2.7901,2.9584,2.5868,2.7481,2.7481,43653723
1990-02-01,2.7621,3.0776,2.692,3.0706,3.0706,37068340
1990-03-01,3.0748,3.2088,3.0043,3.1101,3.1101,37390779
1990-04-01,3.0466,3.1242,2.8774,2.9691,2.9691,19620598
1990-05-01,2.9832,3.4134,2.9761,3.3005,3.3005,28464053
1990-06-01,3.3318,3.3743,3.112,3.2467,3.2467,28253933
1990-07-01,3.2467,3.4027,2.949,2.9703,2.9703,25254148
1990-08-01,2.9773,2.9844,2.2614,2.4528,2.4528,50836551
1990-09-01,2.4632,2.5274,2.2632,2.3132,2.3132,23792020
1990-10-01,2.3132,2.3489,1.6278,1.6778,1.6778,51659600
1990-11-01,1.7135,2.0276,1.6564,1.9277,1.9277,46954650
1990-12-01,1.9461,2.1912,1.9461,2.1479,2.1479,24597643
1991-01-01,2.1623,2.5516,2.0182,2.4939,2.4939,35129806
1991-02-01,2.4795,3.0417,2.4218,2.9984,2.9984,43462970
1991-03-01,3.0052,3.1214,2.5116,2.6931,2.6931,44624925
1991-04-01,2.7221,2.9181,2.5552,2.6132,2.6132,30740518
1991-05-01,2.6132,3.0198,2.6132,3.0198,3.0198,18281444
1991-06-01,3.0343,3.144,2.8515,2.9539,2.9539,25213481
1991-07-01,2.9758,3.1074,2.9173,2.9539,2.9539,20043741
1991-08-01,2.9612,3.0416,2.6176,2.8077,2.8077,30775377
1991-09-01,2.7968,3.0176,2.7821,2.9219,2.9219,17578462
1991-10-01,2.9219,3.0912,2.7453,2.9955,2.9955,23874326
1991-11-01,3.0103,3.1427,2.5319,2.6496,2.6496,22367655
1991-12-01,2.674,3.2592,2.4963,3.2592,3.2592,27307907
1992-01-01,3.2444,3.5555,3.1111,3.5111,3.5111,34132465
1992-02-01,3.474,3.9333,3.3703,3.6518,3.6518,27196552
1992-03-01,3.672,3.9103,3.5156,3.7092,3.7092,28727429
1992-04-01,3.6645,3.7986,3.3294,3.6348,3.6348,26059770
1992-05-01,3.605,3.8433,3.5454,3.6273,3.6273,13287938
1992-06-01,3.6476,3.7749,3.0409,3.2956,3.2956,21618194
1992-07-01,3.3255,3.4154,2.996,3.3255,3.3255,18693937
1992-08-01,3.3555,3.4753,2.996,3.0559,3.0559,17062841
1992-09-01,3.0769,3.6501,3.0618,3.5143,3.5143,26578295
1992-10-01,3.4992,3.9065,3.1825,3.6651,3.6651,21732939
1992-11-01,3.635,4.1327,3.4842,3.8311,3.8311,30275736
1992-12-01,3.8224,3.8831,3.519,3.5342,3.5342,23300611
1993-01-01,3.5039,4.2016,3.4887,4.0651,4.0651,26519227
1993-02-01,4.0347,4.4139,3.7921,4.1864,4.1864,31161728
1993-03-01,4.1771,4.2076,3.6588,3.796,3.796,33425123
1993-04-01,3.7655,4.1161,3.5978,3.9789,3.9789,30684842
1993-05-01,4.0094,4.2229,3.9027,4.1161,4.1161,21628845
1993-06-01,4.1376,4.3368,4.0456,4.1529,4.1529,22842121
1993-07-01,4.1682,4.2295,3.8005,4.0457,4.0457,27960055
1993-08-01,3.9844,4.7659,3.9384,4.628,4.628,28857182
1993-09-01,4.6508,4.8972,4.4044,4.6662,4.6662,25213966
1993-10-01,4.6508,4.6816,4.312,4.4968,4.4968,29772704
1993-11-01,4.466,4.7278,4.4198,4.7124,4.7124,22522582
1993-12-01,4.7347,4.9359,4.4717,4.7347,4.7347,20189473
1994-01-01,4.8276,5.1525,4.4717,4.7347,4.7347,48686448
1994-02-01,4.7347,4.9359,4.611,4.7502,4.7502,19343181
1994-03-01,4.7714,4.9734,4.3051,4.6315,4.6315,23819136
1994-04-01,4.5693,4.6936,4.072,4.3517,4.3517,26071876
1994-05-01,4.5382,4.5382,4.2274,4.3517,4.3517,22325051
1994-06-01,4.3895,4.8581,4.327,4.3895,4.3895,19699028
1994-07-01,4.3895,4.6081,4.3895,4.5457,4.5457,12523467
1994-08-01,4.5613,4.8425,4.4363,4.7644,4.7644,18484786
1994-09-01,4.7886,4.7886,4.3176,4.4432,4.4432,16931639
1994-10-01,4.4589,4.5531,4.1763,4.4746,4.4746,19233281
1994-11-01,4.4589,4.506,3.8623,4.0507,4.0507,24473703
1994-12-01,4.0884,4.12,3.7253,3.9779,3.9779,26418041
1995-01-01,3.9937,4.2936,3.8832,4.0095,4.0095,26980621
1995-02-01,4.0726,4.1673,3.8516,4.0253,4.0253,19490846
1995-03-01,4.0491,4.1762,3.6045,4.1762,4.1762,41310446
1995-04-01,4.1762,4.6049,4.1444,4.5414,4.5414,35806647
1995-05-01,4.5414,4.9225,4.5096,4.7319,4.7319,34058387
1995-06-01,4.7398,5.0271,4.5962,4.8835,4.8835,38096671
1995-07-01,4.8994,5.3782,4.8196,5.3303,5.3303,33052328
1995-08-01,5.3144,5.4101,4.8037,4.8356,4.8356,24155616
1995-09-01,4.8901,5.2429,4.5695,4.81,4.81,28596227
1995-10-01,4.81,4.826,4.4252,4.5374,4.5374,24593772
1995-11-01,4.6336,4.9543,4.4091,4.9222,4.9222,31063444
1995-12-01,4.9312,4.9473,4.3349,4.5283,4.5283,28198740
1996-01-01,4.6411,5.2534,4.5283,5.1729,5.1729,36194452
1996-02-01,5.1406,5.5113,5.0278,5.2696,5.2696,24996582
1996-03-01,5.293,5.552,5.1797,5.2768,5.2768,26240843
1996-04-01,5.3092,5.3578,4.8236,5.0178,5.0178,29846297
1996-05-01,5.0502,5.7301,4.8722,5.4549,5.4549,36792855
1996-06-01,5.4469,5.7721,5.2192,5.6908,5.6908,26172577
1996-07-01,5.6745,5.7395,4.9266,5.5444,5.5444,29961039
1996-08-01,5.5282,6.1135,5.4143,5.5607,5.5607,32233632
1996-09-01,5.4881,6.2067,5.4391,6.2067,6.2067,23989067
1996-10-01,6.2067,6.2231,5.3411,5.4391,5.4391,30878985
1996-11-01,5.4391,6.1251,5.3084,6.0761,6.0761,33437227
1996-12-01,6.0882,6.2523,5.6943,5.842,5.842,20876479
1997-01-01,5.842,6.0882,5.6287,5.9897,5.9897,32549295
1997-02-01,5.9897,6.482,5.8913,6.2359,6.2359,24529377
1997-03-01,6.2624,6.3942,5.735,5.735,5.735,36175085
1997-04-01,5.6691,6.5096,5.5043,6.4766,6.4766,44729018
1997-05-01,6.4437,7.2512,6.3778,7.2018,7.2018,33123011
1997-06-01,7.2632,8.2889,7.1804,8.1731,8.1731,40294703
1997-07-01,8.1731,9.05,8.0408,9.0086,9.0086,29138474
1997-08-01,9.0169,9.05,7.9415,7.958,7.958,34200726
1997-09-01,7.9698,8.7045,7.4717,8.58,8.58,28722910
1997-10-01,8.6173,9.2151,7.1354,7.7581,7.7581,31812102
1997-11-01,7.8702,8.1939,6.9113,8.1441,8.1441,47286775
1997-12-01,8.1768,8.4893,7.6767,8.1018,8.1018,27585162
1998-01-01,8.1518,8.3268,7.3016,7.9767,7.9767,34517521
1998-02-01,8.1018,9.5521,8.1018,9.5271,9.5271,33040546
1998-03-01,9.5096,9.8859,9.2336,9.6225,9.6225,26532302
1998-04-01,9.6225,10.8394,9.1834,9.2461,9.2461,39573647
1998-05-01,9.2838,9.635,8.945,9.0454,9.0454,25868694
1998-06-01,9.0998,9.1375,8.2565,8.8732,8.8732,33192890
1998-07-01,8.911,9.4522,8.0803,8.911,8.911,56376500
1998-08-01,8.9362,9.5906,8.0048,8.0048,8.0048,37406271
1998-09-01,8.0317,8.4863,7.0467,7.6655,7.6655,39984201
1998-10-01,7.6276,10.229,6.8699,10.2164,10.2164,49125570
1998-11-01,10.2164,10.5321,8.9662,9.4713,9.4713,40081034
1998-12-01,9.4261,9.6668,8.2479,9.5782,9.5782,35431270
1999-01-01,9.4768,10.1103,9.046,9.6542,9.6542,27273372
1999-02-01,9.7809,10.4143,9.4768,9.6542,9.6542,35868298
1999-03-01,9.6579,10.6618,9.5308,10.09,10.09,38041801
1999-04-01,10.3695,14.436,10.1408,14.0675,14.0675,57598490
1999-05-01,14.0167,15.0079,12.9111,12.9492,12.9492,42680588
1999-06-01,12.9266,14.251,12.57,13.1685,13.1685,38651506
1999-07-01,13.1685,13.194,12.2261,13.1048,13.1048,37041549
1999-08-01,13.0539,13.7926,11.7167,12.9648,12.9648,40422843
1999-09-01,12.9496,13.0901,10.8297,11.2256,11.2256,42172554
1999-10-01,11.1362,11.9535,9.4504,10.6764,10.6764,50090640
1999-11-01,10.8297,10.8297,9.3482,9.8974,9.8974,61600138
1999-12-01,9.8946,11.3301,9.2025,11.2917,11.2917,58987027
2000-01-01,11.1891,11.8428,9.1256,9.6511,9.6511,54892099
2000-02-01,9.587,9.8177,7.2031,7.8567,7.8567,69989138
2000-03-01,7.8515,9.8594,7.0277,9.1129,9.1129,71512268
2000-04-01,9.1644,10.001,8.4822,9.6664,9.6664,52412289
2000-05-01,9.6149,10.5802,9.2287,9.3832,9.3832,37865892
2000-06-01,9.4698,10.4646,8.1391,8.32,8.32,42469497
2000-07-01,8.2166,9.5085,7.7515,8.1133,8.1133,55012814
2000-08-01,8.152,9.586,7.829,9.4213,9.4213,66703062
2000-09-01,9.4701,10.1187,6.6161,7.0442,7.0442,93895740
2000-10-01,6.9274,7.9004,6.1231,7.8355,7.8355,65028551
2000-11-01,7.7318,8.575,7.4982,8.3544,8.3544,45850144
2000-12-01,8.4974,9.3445,7.8067,8.732,8.732,59668064
2001-01-01,8.6017,9.3628,7.937,9.2398,9.2398,68872369
2001-02-01,9.2335,9.4983,8.8623,9.0396,9.0396,43494602
2001-03-01,9.0223,10.226,7.9024,8.3127,8.3127,81691651
2001-04-01,8.3315,9.8387,7.9966,9.8387,9.8387,54647441
2001-05-01,9.7131,10.5253,9.5771,10.3307,10.3307,55355595
2001-06-01,10.3682,10.5047,8.5614,8.6559,8.6559,64020556
2001-07-01,8.6559,9.4963,8.5362,9.1769,9.1769,52419072
2001-08-01,9.1791,9.1791,8.1937,8.5236,8.5236,49013894
2001-09-01,8.5582,8.786,6.4128,7.13,7.13,59120651
2001-10-01,7.13,8.6489,6.8558,7.8684,7.8684,66553945
2001-11-01,7.9485,9.0686,7.7544,8.8366,8.8366,47313566
2001-12-01,8.8447,9.671,8.7494,8.8575,8.8575,61381947
2002-01-01,8.9464,9.4061,8.3511,9.3701,9.3701,101125045
2002-02-01,9.3701,10.6052,8.8977,10.5925,10.5925,88171814
2002-03-01,10.5261,11.5149,10.356,10.6367,10.6367,95883332
2002-04-01,10.6367,11.0152,9.8244,10.6218,10.6218,81853677
2002-05-01,10.5899,11.5681,10.2199,10.7069,10.7069,78414611
2002-06-01,10.7428,10.9946,9.4693,9.7402,9.7402,74179927
2002-07-01,9.7936,9.8874,6.9927,8.1894,8.1894,109195153
2002-08-01,8.1553,8.3835,7.2401,8.0102,8.0102,75426127
2002-09-01,8.0471,8.4435,7.072,7.3806,7.3806,73992723
2002-10-01,7.3806,8.7843,6.3627,8.3578,8.3578,96908757
2002-11-01,8.3257,9.9437,8.1735,9.9008,9.9008,66711776
