Date,Open,High,Low,Close,Adj Close,Volume
,TYL,TYL,TYL,TYL,,TYL
1985-01-01,0.0,2.2647,1.9189,2.2318,2.2318,2269800
1985-02-01,0.0,2.3389,2.1742,2.1906,2.1906,3907800
1985-03-01,0.0,2.24,1.9271,1.9765,1.9765,1315800
1985-04-01,0.0,2.1412,1.8118,1.8941,1.8941,1586400
1985-05-01,0.0,2.0259,1.7624,2.0259,2.0259,2948100
1985-06-01,0.0,2.0094,1.8777,1.9436,1.9436,1450500
1985-07-01,0.0,2.1412,1.9106,2.0424,2.0424,1144500
1985-08-01,0.0,2.0753,1.8447,1.8447,1.8447,1689000
1985-09-01,0.0,1.9271,1.7294,1.7789,1.7789,1455900
1985-10-01,0.0,1.9436,1.713,1.713,1.713,1055100
1985-11-01,0.0,1.8941,1.6636,1.8118,1.8118,866700
1985-12-01,0.0,2.1577,1.8118,1.9436,1.9436,2145000
1986-01-01,0.0,2.0094,1.7459,1.7953,1.7953,1353900
1986-02-01,0.0,2.0259,1.7789,1.993,1.993,1651200
1986-03-01,0.0,2.24,1.96,2.0424,2.0424,3776700
1986-04-01,0.0,2.3389,2.0424,2.1742,2.1742,1887900
1986-05-01,0.0,2.24,2.0424,2.1906,2.1906,1659000
1986-06-01,0.0,2.2565,2.0918,2.1412,2.1412,1715700
1986-07-01,0.0,2.1083,1.6306,1.6636,1.6636,1512900
1986-08-01,0.0,1.6471,1.4824,1.5977,1.5977,1524300
1986-09-01,0.0,1.8118,1.5483,1.7294,1.7294,2494200
1986-10-01,0.0,1.7459,1.4988,1.5812,1.5812,1247100
1986-11-01,0.0,1.68,1.5318,1.6141,1.6141,903900
1986-12-01,0.0,1.8118,1.4988,1.5812,1.5812,1343700
1987-01-01,0.0,1.9106,1.5977,1.6636,1.6636,3096300
1987-02-01,0.0,1.993,1.6306,1.7789,1.7789,1478100
1987-03-01,0.0,1.8759,1.7929,1.8427,1.8427,952200
1987-04-01,0.0,2.0585,1.5771,1.6269,1.6269,2946000
1987-05-01,0.0,1.7742,1.6068,1.6738,1.6738,1377000
1987-06-01,0.0,1.7407,1.6068,1.724,1.724,2530800
