Date,Open,High,Low,Close,Adj Close,Volume
,T,T,T,T,,T
1983-11-01,0.0,0.2675,0.2535,0.254,0.254,29608877
1983-12-01,0.0,0.2573,0.2503,0.2535,0.2535,130701045
1984-01-01,0.0,0.2842,0.254,0.2707,0.2707,94222195
1984-02-01,0.0,0.2723,0.254,0.2589,0.2589,86750070
1984-03-01,0.0,0.2643,0.2443,0.2465,0.2465,100130942
1984-04-01,0.0,0.2657,0.2468,0.2645,0.2645,77682787
1984-05-01,0.0,0.269,0.2445,0.2462,0.2462,75726974
1984-06-01,0.0,0.2618,0.2468,0.2484,0.2484,87994099
1984-07-01,0.0,0.2847,0.2549,0.279,0.279,57341380
1984-08-01,0.2778,0.2979,0.2772,0.2916,0.2916,55647722
1984-09-01,0.291,0.3031,0.2881,0.2968,0.2968,113060597
1984-10-01,0.3054,0.3272,0.2989,0.3095,0.3095,54143126
1984-11-01,0.3083,0.3278,0.3018,0.3148,0.3148,50951228
1984-12-01,0.3154,0.3379,0.3119,0.3343,0.3343,40320568
1985-01-01,0.3343,0.3467,0.3231,0.3438,0.3438,107121663
1985-02-01,0.3512,0.3664,0.3482,0.3591,0.3591,35673327
1985-03-01,0.3591,0.3646,0.3512,0.3628,0.3628,30797300
1985-04-01,0.3628,0.3785,0.3531,0.3652,0.3652,47268390
1985-05-01,0.3744,0.3999,0.3669,0.3993,0.3993,38679338
1985-06-01,0.3999,0.4186,0.3918,0.4186,0.4186,50209258
1985-07-01,0.4211,0.441,0.3987,0.4055,0.4055,64743601
1985-08-01,0.4152,0.4248,0.3993,0.4184,0.4184,34651729
1985-09-01,0.4178,0.4191,0.3929,0.398,0.398,23889199
1985-10-01,0.398,0.405,0.3853,0.3987,0.3987,60113835
1985-11-01,0.4103,0.4279,0.407,0.4201,0.4201,58733168
1985-12-01,0.4207,0.4508,0.4142,0.4476,0.4476,68744201
1986-01-01,0.4489,0.4541,0.4135,0.4469,0.4469,73810883
1986-02-01,0.4575,0.4756,0.4515,0.4729,0.4729,46016414
1986-03-01,0.4743,0.5111,0.4716,0.4977,0.4977,62651150
1986-04-01,0.4957,0.5091,0.4729,0.4917,0.4917,75723797
1986-05-01,0.5023,0.5482,0.4968,0.5469,0.5469,44362472
1986-06-01,0.5455,0.6017,0.5208,0.6003,0.6003,51221325
1986-07-01,0.577,0.5791,0.5462,0.5729,0.5729,95364543
1986-08-01,0.5862,0.6513,0.5806,0.6485,0.6485,50565149
1986-09-01,0.6485,0.6506,0.5708,0.5932,0.5932,73030782
1986-10-01,0.5953,0.6191,0.5834,0.6002,0.6002,58385221
1986-11-01,0.6105,0.639,0.6048,0.6383,0.6383,42425728
1986-12-01,0.6369,0.6633,0.629,0.6405,0.6405,64368644
1987-01-01,0.6412,0.7004,0.6397,0.6654,0.6654,78227745
1987-02-01,0.6795,0.6904,0.6409,0.6758,0.6758,48900087
1987-03-01,0.6758,0.694,0.6649,0.6809,0.6809,55573045
1987-04-01,0.6795,0.6824,0.5872,0.625,0.625,84343037
1987-05-01,0.636,0.6679,0.5908,0.6627,0.6627,47940451
1987-06-01,0.6671,0.7138,0.6493,0.6916,0.6916,42918253
1987-07-01,0.6938,0.7005,0.6204,0.6738,0.6738,58598122
