Date,Open,High,Low,Close,Adj Close,Volume
,UBER,UBER,UBER,UBER,,UBER
2019-05-01,42.0,45.0,36.08,40.41,40.41,552988400
2019-06-01,40.744,47.08,40.24,46.38,46.38,249869200
2019-07-01,46.98,47.04,41.84,42.14,42.14,154674400
2019-08-01,42.14,43.0,32.04,32.57,32.57,276537200
2019-09-01,32.1,35.14,30.13,30.47,30.47,173402700
2019-10-01,30.37,33.89,28.31,31.5,31.5,213119100
2019-11-01,31.45,31.75,25.58,29.6,29.6,826538900
2019-12-01,29.32,31.06,27.605,29.74,29.74,616988800
2020-01-01,29.94,37.95,29.79,36.29,36.29,531749800
2020-02-01,36.75,41.86,30.67,33.87,33.87,776946900
2020-03-01,34.05,35.34,13.71,27.92,27.92,1095827100
2020-04-01,26.5,32.0,21.67,30.27,30.27,622160700
2020-05-01,29.13,36.45,26.58,36.32,36.32,735614700
2020-06-01,35.64,38.783,28.39,31.08,31.08,544845500
2020-07-01,30.96,34.46,29.785,30.26,30.26,391720600
2020-08-01,30.24,34.795,28.48,33.63,33.63,490648300
2020-09-01,33.45,38.52,31.55,36.48,36.48,502755600
2020-10-01,36.86,38.35,32.9,33.41,33.41,350013800
2020-11-01,34.15,52.15,34.06,49.66,49.66,539055400
2020-12-01,50.0,56.02,48.53,51.0,51.0,421650600
2021-01-01,52.22,60.03,47.15,50.93,50.93,481529200
2021-02-01,52.12,64.05,50.61,51.75,51.75,412660500
2021-03-01,53.67,61.02,50.81,54.51,54.51,407985900
2021-04-01,55.61,61.5,53.11,54.77,54.77,347744800
2021-05-01,55.12,56.13,43.17,50.83,50.83,552187700
2021-06-01,51.62,52.36,47.75,50.12,50.12,388205700
2021-07-01,50.88,52.03,43.34,43.46,43.46,387287500
2021-08-01,44.1,44.935,38.84,39.14,39.14,572478200
2021-09-01,39.98,47.43,38.08,44.8,44.8,619980500
2021-10-01,45.915,48.88,43.57,43.82,43.82,389229300
2021-11-01,44.07,48.74,37.035,38.0,38.0,639972800
2021-12-01,39.45,44.35,34.88,41.93,41.93,685493900
2022-01-01,42.48,45.9,32.81,37.4,37.4,578000400
2022-02-01,37.63,42.56,29.71,36.03,36.03,739852500
2022-03-01,35.45,37.45,28.278,35.68,35.68,789743600
2022-04-01,35.68,36.93,30.16,31.48,31.48,497782500
2022-05-01,31.24,31.35,21.275,23.2,23.2,969529700
2022-06-01,23.53,26.69,19.895,20.46,20.46,701868200
2022-07-01,20.7,24.81,20.43,23.45,23.45,469783800
2022-08-01,23.43,33.36,22.885,28.76,28.76,715870700
2022-09-01,28.17,34.325,26.0,26.5,26.5,560016400
2022-10-01,26.76,30.24,22.94,26.57,26.57,546880300
2022-11-01,30.07,31.815,26.44,29.14,29.14,545288600
2022-12-01,29.22,29.6,23.9,24.73,24.73,416461600
2023-01-01,25.37,31.2,25.02,30.93,30.93,369525000
2023-02-01,30.88,37.58,30.64,33.26,33.26,656098400
2023-03-01,33.43,35.11,29.97,31.7,31.7,483453300
2023-04-01,31.5,32.93,29.22,31.05,31.05,362771500
2023-05-01,32.0,40.5,31.76,37.93,37.93,659794200
2023-06-01,37.5,45.24,37.265,43.17,43.17,482271200
2023-07-01,43.17,49.49,41.746,49.46,49.46,420476300
2023-08-01,48.67,49.03,42.95,47.23,47.23,483763900
2023-09-01,47.51,49.188,43.93,45.99,45.99,330505100
2023-10-01,45.57,47.275,40.09,43.28,43.28,359699400
2023-11-01,43.25,57.13,42.91,56.38,56.38,569486900
2023-12-01,56.67,63.53,56.25,61.57,61.57,948790100
2024-01-01,60.73,67.69,57.22,65.27,65.27,459831600
2024-02-01,66.12,81.865,65.59,79.5,79.5,487869400
2024-03-01,79.5,82.14,73.66,76.99,76.99,290516600
2024-04-01,77.0,78.85,66.07,66.27,66.27,401221400
2024-05-01,66.04,73.82,62.91,64.56,64.56,472704300
2024-06-01,64.78,73.6,62.935,72.68,72.68,300482800
2024-07-01,72.2,75.4,62.61,64.47,64.47,337659300
2024-08-01,64.86,74.48,54.84,73.13,73.13,367757900
2024-09-01,72.57,78.45,67.12,75.16,75.16,277697100
2024-10-01,75.77,87.0,69.87,72.05,72.05,408881300
2024-11-01,73.94,76.4,67.8,71.96,71.96,406299900
2024-12-01,71.93,73.44,59.33,60.32,60.32,627574500
2025-01-01,62.19,69.675,61.31,66.85,66.85,504393600
2025-02-01,65.3,82.1,63.5,76.01,76.01,570995200
2025-03-01,77.06,77.74,69.36,72.86,72.86,365749900
2025-04-01,72.6,81.219,60.63,81.01,81.01,425247000
2025-05-01,81.0,93.6,80.12,83.56,83.56,496546740
