Date,Open,High,Low,Close,Adj Close,Volume
,UHS,UHS,UHS,UHS,,UHS
1985-01-01,0.0,1.5382,1.0987,1.4832,1.4832,16478400
1985-02-01,0.0,1.6755,1.4558,1.5931,1.5931,25321600
1985-03-01,0.0,1.6618,1.5107,1.6206,1.6206,19093600
1985-04-01,0.0,1.6481,1.5382,1.5656,1.5656,9777600
1985-05-01,0.0,1.9227,1.5382,1.8678,1.8678,30279200
1985-06-01,0.0,2.1425,1.8403,2.0875,2.0875,22026400
1985-07-01,0.0,2.2111,1.9365,1.9639,1.9639,28287200
1985-08-01,0.0,1.9914,1.703,1.7442,1.7442,9840000
1985-09-01,0.0,1.7854,1.5382,1.6481,1.6481,15967200
1985-10-01,0.0,1.703,1.2635,1.3459,1.3459,27074400
1985-11-01,0.0,1.6481,1.3184,1.5244,1.5244,20364000
1985-12-01,0.0,1.7579,1.3871,1.5931,1.5931,20055200
1986-01-01,0.0,1.6618,1.3596,1.4283,1.4283,24341600
1986-02-01,0.0,1.6343,1.4146,1.5794,1.5794,16638400
1986-03-01,0.0,1.7717,1.5107,1.6068,1.6068,15700000
1986-04-01,0.0,1.6618,1.3871,1.5382,1.5382,27309600
1986-05-01,0.0,1.5794,1.3871,1.497,1.497,19064000
1986-06-01,0.0,1.8403,1.3459,1.7854,1.7854,51703200
1986-07-01,0.0,1.7991,1.6618,1.6618,1.6618,25040800
1986-08-01,0.0,1.8129,1.6343,1.7854,1.7854,25274400
1986-09-01,0.0,1.8815,1.7854,1.8129,1.8129,20462400
1986-10-01,0.0,1.8541,0.9888,1.0987,1.0987,64923200
1986-11-01,0.0,1.1536,0.9339,0.9888,0.9888,28088000
1986-12-01,0.0,1.0026,0.7279,0.7691,0.7691,46089600
1987-01-01,0.0,0.9202,0.7691,0.8103,0.8103,18492000
1987-02-01,0.0,0.879,0.7966,0.8515,0.8515,17323200
1987-03-01,0.0,1.03,0.7828,1.0163,1.0163,19656800
1987-04-01,0.0,1.085,0.9476,1.03,1.03,14684800
1987-05-01,0.0,1.03,0.8515,0.8927,0.8927,9566400
1987-06-01,0.0,0.8927,0.824,0.8652,0.8652,6836800
