Date,Open,High,Low,Close,Adj Close,Volume
,UNH,UNH,UNH,UNH,,UNH
1985-01-01,0.0,0.1601,0.0954,0.1539,0.1539,15328000
1985-02-01,0.0,0.2186,0.1539,0.2124,0.2124,20419200
1985-03-01,0.0,0.2217,0.1847,0.1847,0.1847,10515200
1985-04-01,0.0,0.2278,0.1447,0.2124,0.2124,23760000
1985-05-01,0.0,0.2617,0.2124,0.2525,0.2525,15494400
1985-06-01,0.0,0.2925,0.2586,0.2771,0.2771,16995200
1985-07-01,0.0,0.2986,0.2586,0.2863,0.2863,11088000
1985-08-01,0.0,0.2925,0.2278,0.2586,0.2586,13907200
1985-09-01,0.0,0.2586,0.1909,0.1909,0.1909,20899200
1985-10-01,0.0,0.2679,0.1909,0.2371,0.2371,29081600
1985-11-01,0.0,0.2494,0.2217,0.2463,0.2463,20131200
1985-12-01,0.0,0.2555,0.2248,0.2525,0.2525,33152000
1986-01-01,0.0,0.3202,0.234,0.314,0.314,150361600
1986-02-01,0.0,0.351,0.3048,0.3418,0.3418,79449600
1986-03-01,0.0,0.3849,0.3264,0.3695,0.3695,40144000
1986-04-01,0.0,0.391,0.3325,0.3479,0.3479,30406400
1986-05-01,0.0,0.3602,0.2894,0.351,0.351,39059200
1986-06-01,0.0,0.3725,0.2802,0.311,0.311,48480000
1986-07-01,0.0,0.3479,0.274,0.2771,0.2771,35801600
1986-08-01,0.0,0.2802,0.2248,0.2432,0.2432,64665600
1986-09-01,0.0,0.2525,0.2124,0.2278,0.2278,54512000
1986-10-01,0.0,0.2309,0.1847,0.2124,0.2124,46243200
1986-11-01,0.0,0.2186,0.2001,0.2032,0.2032,21926400
1986-12-01,0.0,0.2309,0.197,0.2063,0.2063,44803200
1987-01-01,0.0,0.2186,0.1601,0.1724,0.1724,80489600
1987-02-01,0.0,0.2124,0.1724,0.1878,0.1878,34198400
1987-03-01,0.0,0.2217,0.1724,0.194,0.194,56057600
1987-04-01,0.0,0.197,0.1108,0.1232,0.1232,55945600
1987-05-01,0.0,0.1693,0.1139,0.1385,0.1385,67558400
1987-06-01,0.0,0.1724,0.1385,0.1632,0.1632,41001600
1987-07-01,0.0,0.1724,0.1355,0.1447,0.1447,31347200
1987-08-01,0.0,0.1447,0.1108,0.1201,0.1201,57401600
1987-09-01,0.0,0.1663,0.1201,0.1478,0.1478,110329600
1987-10-01,0.0,0.1539,0.0708,0.0985,0.0985,38681600
1987-11-01,0.0,0.0985,0.0647,0.0924,0.0924,62457600
1987-12-01,0.0,0.1047,0.0708,0.0893,0.0893,62752000
1988-01-01,0.0,0.1232,0.0862,0.1139,0.1139,39552000
1988-02-01,0.0,0.1262,0.1016,0.1139,0.1139,31417600
1988-03-01,0.0,0.1324,0.0985,0.1201,0.1201,32224000
1988-04-01,0.0,0.1262,0.1078,0.1139,0.1139,31120000
1988-05-01,0.0,0.1232,0.1078,0.1108,0.1108,21068800
