Date,Open,High,Low,Close,Adj Close,Volume
,UNP,UNP,UNP,UNP,,UNP
1985-01-01,1.3872,1.6318,1.3408,1.5854,1.5854,65976206
1985-02-01,1.5643,1.6697,1.5643,1.6529,1.6529,55350388
1985-03-01,1.6529,1.7035,1.5643,1.6739,1.6739,56180844
1985-04-01,1.6852,1.7065,1.5533,1.6384,1.6384,50635336
1985-05-01,1.6384,1.7874,1.6214,1.7023,1.7023,65986913
1985-06-01,1.7065,1.715,1.5576,1.6257,1.6257,47702558
1985-07-01,1.6234,1.8123,1.6234,1.7651,1.7651,62948243
1985-08-01,1.7522,1.7608,1.6234,1.7178,1.7178,32518740
1985-09-01,1.7264,1.7307,1.5547,1.632,1.632,27574061
1985-10-01,1.6382,1.7422,1.6078,1.7205,1.7205,45966689
1985-11-01,1.7162,1.7985,1.6685,1.7682,1.7682,80070196
1985-12-01,1.7754,1.9329,1.6836,1.8848,1.8848,93775133
1986-01-01,1.876,1.9241,1.5918,1.7404,1.7404,103615708
1986-02-01,1.7317,1.7929,1.6268,1.7492,1.7492,73005353
1986-03-01,1.7579,1.9547,1.7142,1.9154,1.9154,85476503
1986-04-01,1.9367,1.95,1.8132,1.8176,1.8176,77300415
1986-05-01,1.822,1.9191,1.7603,1.9015,1.9015,61978586
1986-06-01,1.8882,2.025,1.8485,2.0073,2.0073,75553837
1986-07-01,2.0243,2.0644,1.8019,1.8419,1.8419,69798927
1986-08-01,1.8419,2.1444,1.8197,2.1222,2.1222,50835219
1986-09-01,2.1133,2.2156,1.8731,2.0199,2.0199,68340274
1986-10-01,2.0444,2.1744,2.013,2.1564,2.1564,40167757
1986-11-01,2.1564,2.3044,2.1116,2.2865,2.2865,50251041
1986-12-01,2.2864,2.4355,2.2322,2.2503,2.2503,75531231
1987-01-01,2.2412,2.6027,2.2412,2.4762,2.4762,72693634
1987-02-01,2.4672,2.8422,2.4446,2.6389,2.6389,65439621
1987-03-01,2.666,2.91,2.6072,2.7202,2.7202,50899467
1987-04-01,2.7112,2.8977,2.4473,2.5975,2.5975,61167161
1987-05-01,2.5747,2.9022,2.5611,2.5747,2.5747,81700179
1987-06-01,2.5747,2.884,2.5201,2.8522,2.8522,50769779
1987-07-01,2.863,3.1333,2.7668,3.1058,3.1058,51290896
1987-08-01,3.0875,3.1745,2.918,2.9226,2.9226,66976802
1987-09-01,2.9341,3.0673,2.7092,2.9433,2.9433,57528852
1987-10-01,2.9575,2.9899,1.6682,1.9594,1.9594,99720403
1987-11-01,1.9686,2.1719,1.8115,1.83,1.83,70895898
1987-12-01,1.8657,2.1408,1.791,2.0149,2.0149,66185604
1988-01-01,2.0056,2.2388,1.903,2.0429,2.0429,52762640
1988-02-01,2.0429,2.2481,2.0429,2.1642,2.1642,63375371
1988-03-01,2.1919,2.5117,2.1684,2.3988,2.3988,103839381
1988-04-01,2.3941,2.6387,2.333,2.4835,2.4835,54795955
1988-05-01,2.4741,2.4929,2.1919,2.3988,2.3988,62104700
1988-06-01,2.3988,2.5211,2.38,2.4412,2.4412,61921475
1988-07-01,2.4743,2.4743,2.2184,2.3179,2.3179,43192148
1988-08-01,2.3179,2.3369,2.1188,2.1662,2.1662,45595479
1988-09-01,2.1331,2.2753,2.0951,2.2658,2.2658,57790599
1988-10-01,2.2785,2.47,2.1732,2.4413,2.4413,81772755
1988-11-01,2.4365,2.4604,2.3073,2.336,2.336,48446163
1988-12-01,2.3669,2.5311,2.3427,2.4828,2.4828,45127900
1989-01-01,2.4828,2.705,2.4538,2.7002,2.7002,69211184
1989-02-01,2.6954,2.8016,2.5987,2.6084,2.6084,73672812
1989-03-01,2.6181,2.705,2.4442,2.5553,2.5553,56521120
1989-04-01,2.5859,2.8002,2.4982,2.7515,2.7515,71689471
1989-05-01,2.7466,2.8927,2.732,2.8489,2.8489,101005355
1989-06-01,2.8391,2.8489,2.7125,2.7271,2.7271,44820941
1989-07-01,2.7576,3.1011,2.7527,3.0373,3.0373,40542536
1989-08-01,3.0422,3.1796,2.9342,3.1452,3.1452,52951813
1989-09-01,3.1354,3.1501,2.9637,3.0177,3.0177,40372397
1989-10-01,3.0487,3.1525,2.8362,2.9252,2.9252,45378940
1989-11-01,2.9153,2.9598,2.7918,2.8708,2.8708,31137420
1989-12-01,2.8807,3.0882,2.8758,3.0289,3.0289,47560973
1990-01-01,3.058,3.1775,2.8587,2.9633,2.9633,43881023
1990-02-01,2.9633,3.048,2.8886,3.0281,3.0281,39017252
1990-03-01,2.9982,3.043,2.7193,2.8886,2.8886,73537182
1990-04-01,2.8908,2.9058,2.675,2.7302,2.7302,58680547
1990-05-01,2.7302,2.8807,2.7151,2.8556,2.8556,43837003
1990-06-01,2.8707,3.0062,2.7703,2.8155,2.8155,54109460
1990-07-01,2.838,3.0757,2.7773,3.0302,3.0302,65277810
1990-08-01,3.0352,3.187,2.7975,2.8936,2.8936,63119570
1990-09-01,2.9018,2.9681,2.6621,2.7131,2.7131,36205829
1990-10-01,2.7539,2.8253,2.5449,2.5551,2.5551,46424748
1990-11-01,2.5296,2.8253,2.5041,2.7335,2.7335,39063651
1990-12-01,2.7437,2.9018,2.7386,2.8814,2.8814,38621060
1991-01-01,2.882,3.0673,2.6865,3.0622,3.0622,39026769
1991-02-01,3.0776,3.2423,3.021,3.1754,3.1754,39959548
1991-03-01,3.1651,3.2835,2.9387,3.0056,3.0056,66700771
1991-04-01,3.0505,3.4759,2.9934,3.3151,3.3151,60678168
1991-05-01,3.3151,3.6419,3.3047,3.6419,3.6419,46496134
1991-06-01,3.6211,3.7716,3.424,3.4655,3.4655,53766805
1991-07-01,3.4794,3.7615,3.4794,3.7615,3.7615,31651401
1991-08-01,3.772,3.772,3.4272,3.704,3.704,35708505
1991-09-01,3.6988,3.9862,3.6205,3.9078,3.9078,48876860
1991-10-01,3.9479,4.2847,3.8531,4.1163,4.1163,45725757
1991-11-01,4.1374,4.3269,3.7373,3.7899,3.7899,44017250
1991-12-01,3.7759,4.3666,3.6388,4.3666,4.3666,47633550
1992-01-01,4.3033,4.3033,3.7443,3.8392,3.8392,66286139
1992-02-01,3.8709,4.2506,3.8392,4.008,4.008,40767401
1992-03-01,4.008,4.124,3.9025,3.9658,3.9658,32569303
1992-04-01,3.9622,4.589,3.8879,4.5252,4.5252,47671625
1992-05-01,4.5465,4.6952,4.4084,4.5252,4.5252,32848900
1992-06-01,4.5252,4.6208,4.2065,4.2597,4.2597,32185606
1992-07-01,4.276,4.4471,4.105,4.4364,4.4364,35220703
1992-08-01,4.415,4.5326,4.2119,4.4257,4.4257,32586559
1992-09-01,4.4043,4.7464,4.3081,4.6502,4.6502,36691255
1992-10-01,4.6843,4.8782,4.3613,4.7812,4.7812,41696014
1992-11-01,4.792,5.2012,4.7812,5.1904,5.1904,29500298
1992-12-01,5.1474,5.212,4.9428,5.0397,5.0397,43941105
1993-01-01,5.0935,5.3753,4.9418,5.061,5.061,53531231
1993-02-01,5.0827,5.4078,4.9309,5.1152,5.1152,40913741
1993-03-01,5.0935,5.3861,5.0068,5.2561,5.2561,39072576
1993-04-01,5.3209,5.7352,5.2119,5.3645,5.3645,39263534
1993-05-01,5.3972,5.5608,5.2555,5.3863,5.3863,27238553
1993-06-01,5.3972,5.5281,5.1247,5.3209,5.3209,37951814
1993-07-01,5.3741,5.6264,5.1218,5.5825,5.5825,27984534
1993-08-01,5.6263,5.8786,5.4289,5.8128,5.8128,34869124
1993-09-01,5.7689,5.7689,5.2864,5.4838,5.4838,40222488
1993-10-01,5.5612,5.6274,5.1088,5.5833,5.5833,56182036
1993-11-01,5.5392,5.7267,5.4178,5.6054,5.6054,32664483
1993-12-01,5.6164,5.6385,5.2854,5.5281,5.5281,45336704
1994-01-01,5.5415,5.9635,5.4527,5.808,5.808,51411658
1994-02-01,5.808,5.808,5.2417,5.3083,5.3083,47391434
1994-03-01,5.2972,5.3749,4.9307,5.0418,5.0418,59699585
1994-04-01,5.0762,5.311,4.9867,5.2775,5.2775,43733493
1994-05-01,5.2551,5.3445,4.9979,5.2775,5.2775,32797738
1994-06-01,5.2775,5.3334,4.9532,5.065,5.065,40857824
1994-07-01,5.1677,5.3703,4.9988,5.314,5.314,37152885
1994-08-01,5.314,5.4153,5.0213,5.1902,5.1902,37589532
1994-09-01,5.1564,5.224,4.7511,4.8299,4.8299,40659728
1994-10-01,4.8663,4.8776,4.3558,4.4352,4.4352,88980963
1994-11-01,4.4466,4.5827,4.0723,4.2197,4.2197,93801308
1994-12-01,4.197,4.3332,3.9702,4.1176,4.1176,69719216
1995-01-01,4.1917,4.6956,4.1803,4.604,4.604,75609755
1995-02-01,4.6269,4.8674,4.5468,4.7873,4.7873,58123140
1995-03-01,4.8102,5.1423,4.5926,5.0278,5.0278,50616895
1995-04-01,5.0937,5.1746,4.9436,5.0013,5.0013,39299822
1995-05-01,5.0822,5.2439,4.8165,5.1168,5.1168,43163593
1995-06-01,5.0937,5.2208,4.7819,5.1168,5.1168,60624032
1995-07-01,5.1359,6.2073,5.1359,6.0676,6.0676,83640095
1995-08-01,6.0559,6.4286,5.8114,6.1025,6.1025,86945863
1995-09-01,6.1375,6.4752,6.0909,6.1724,6.1724,57071979
1995-10-01,6.2343,6.3046,5.7656,6.1289,6.1289,88656751
1995-11-01,6.1171,6.4687,5.9296,6.3515,6.3515,59462820
1995-12-01,6.375,6.5742,6.0468,6.1875,6.1875,78226057
1996-01-01,6.2875,6.4998,6.0516,6.2875,6.2875,87226055
1996-02-01,6.2757,6.5824,6.1931,6.2285,6.2285,70174899
1996-03-01,6.2521,6.9009,6.1695,6.4762,6.4762,85789411
1996-04-01,6.5414,6.7195,6.2209,6.4702,6.4702,79865556
1996-05-01,6.4464,6.8501,6.3396,6.6601,6.6601,54311719
1996-06-01,6.6601,6.862,6.4939,6.6364,6.6364,49620463
1996-07-01,6.6768,7.071,6.3663,6.5454,6.5454,77820345
1996-08-01,6.4977,7.0113,6.4977,6.9635,6.9635,49432480
1996-09-01,6.9396,7.1068,6.7007,6.9993,6.9993,85631765
1996-10-01,7.0299,8.364,6.9578,8.0244,8.0244,70487179
1996-11-01,8.0066,8.4891,7.9172,8.3283,8.3283,33784400
1996-12-01,8.3104,8.9002,7.9708,8.5963,8.5963,42173600
1997-01-01,8.6793,9.2195,8.4272,8.6432,8.6432,47710400
1997-02-01,8.6432,8.8953,8.5532,8.6793,8.6793,40256400
1997-03-01,8.6432,9.0214,8.1751,8.1751,8.1751,36659600
1997-04-01,8.2321,9.3381,8.1595,9.2475,9.2475,42603600
1997-05-01,9.2475,10.0453,9.048,9.8277,9.8277,38176000
1997-06-01,9.8277,10.4442,9.7189,10.1269,10.1269,38227200
1997-07-01,10.4012,10.6543,10.1092,10.465,10.465,34478400
1997-08-01,10.4285,10.6019,9.434,9.4797,9.4797,38218000
1997-09-01,9.4797,9.7078,8.8957,9.1421,9.1421,97735600
1997-10-01,9.2779,9.6178,8.8921,9.0023,9.0023,101822800
1997-11-01,9.0942,9.1401,8.4787,8.8002,8.8002,60748800
1997-12-01,8.9656,9.5351,8.5798,9.2044,9.2044,47390800
1998-01-01,9.2304,9.3783,8.4904,8.8789,8.8789,48424400
1998-02-01,8.9529,9.4338,7.2511,7.5656,7.5656,94410800
1998-03-01,7.4916,8.3332,7.2511,8.3332,8.3332,162911600
1998-04-01,8.357,8.6541,7.9206,8.1341,8.1341,79054400
1998-05-01,8.162,8.6355,6.9456,7.187,7.187,65245200
1998-06-01,7.1127,7.122,6.2956,6.537,6.537,112839200
1998-07-01,6.5838,6.5931,5.8844,6.2667,6.2667,99301600
1998-08-01,6.2387,6.5558,5.5673,5.9403,5.9403,89946400
1998-09-01,5.903,7.1247,5.6326,6.36,6.36,90990800
1998-10-01,6.4016,7.2357,6.2329,7.142,7.142,75571600
1998-11-01,7.1982,7.4232,6.9546,7.292,7.292,67948800
1998-12-01,7.2545,7.4138,6.4391,6.7577,6.7577,59488800
1999-01-01,6.8232,7.8585,6.7197,7.7455,7.7455,64398800
1999-02-01,7.7361,8.0749,6.9644,7.0585,7.0585,58538400
1999-03-01,7.0585,8.282,6.8609,8.0467,8.0467,84840400
1999-04-01,7.8059,9.1951,7.6925,9.0533,9.0533,86623600
1999-05-01,9.11,10.263,8.5052,8.6281,8.6281,104210800
1999-06-01,8.5052,9.4124,8.4674,8.8171,8.8171,64337200
1999-07-01,8.9228,9.2073,8.1832,8.2401,8.2401,61413200
1999-08-01,8.2686,8.4772,7.3677,7.3867,7.3867,56254000
1999-09-01,7.4531,8.2022,7.1212,7.2919,7.2919,68255200
1999-10-01,7.3027,8.6071,7.0552,8.4929,8.4929,71583200
1999-11-01,8.5024,8.5119,7.1694,7.1694,7.1694,49638000
1999-12-01,7.1599,7.1885,5.9412,6.6553,6.6553,75595600
2000-01-01,6.7508,7.2863,6.0815,6.158,6.158,81308800
2000-02-01,6.1197,6.2536,5.4886,5.8137,5.8137,85811200
2000-03-01,5.8329,6.2249,5.24,5.9858,5.9858,98253200
2000-04-01,6.0202,7.1261,5.7798,6.4818,6.4818,77445600
2000-05-01,6.4433,7.0684,6.2414,6.5395,6.5395,55201200
2000-06-01,6.5106,7.0396,5.7124,5.7221,5.7221,74979600
2000-07-01,5.7881,6.8607,5.7881,6.6771,6.6771,73496800
2000-08-01,6.6771,7.112,6.107,6.1481,6.1481,55737200
2000-09-01,6.1167,6.2326,5.7978,6.02,6.02,66724000
2000-10-01,6.0514,7.2947,5.8863,7.285,7.285,70201600
2000-11-01,7.285,7.8678,7.217,7.2267,7.2267,67594000
2000-12-01,7.2655,8.2077,7.013,7.8872,7.8872,76964800
2001-01-01,7.9211,8.3796,7.6187,8.2692,8.2692,106276800
2001-02-01,8.2723,8.739,8.085,8.5751,8.5751,67505600
2001-03-01,8.5767,8.9122,7.7728,8.7796,8.7796,83816800
2001-04-01,8.8497,9.3353,8.4973,8.9108,8.9108,127592400
2001-05-01,8.8027,9.5076,8.4268,9.0064,9.0064,98507200
2001-06-01,9.0064,9.1693,7.8316,8.6007,8.6007,86354400
2001-07-01,8.6373,9.1545,8.1249,8.4393,8.4393,73749600
2001-08-01,8.4566,8.7709,8.0416,8.3732,8.3732,51904000
2001-09-01,8.3732,8.6577,6.8203,7.372,7.372,67546400
2001-10-01,7.3998,8.3086,7.0369,8.2061,8.2061,93580400
2001-11-01,8.1903,8.8356,8.0798,8.6857,8.6857,63776000
2001-12-01,8.6778,9.0723,8.3812,8.9934,8.9934,65396400
2002-01-01,8.986,9.8252,8.8688,9.8252,9.8252,108944800
2002-02-01,9.8173,9.879,9.2631,9.6067,9.6067,82930000
2002-03-01,9.6067,10.316,9.3407,9.8394,9.8394,122443600
2002-04-01,9.7302,9.7349,8.6642,9.0232,9.0232,135444400
2002-05-01,9.1027,9.8334,8.9915,9.7286,9.7286,85058000
2002-06-01,9.673,10.3211,9.5205,10.0527,10.0527,94078000
2002-07-01,10.0962,10.3384,8.4451,9.3503,9.3503,134859600
2002-08-01,9.3232,10.2157,8.8611,9.65,9.65,85130000
2002-09-01,9.634,9.7408,8.9503,9.2228,9.2228,94696800
2002-10-01,9.35,9.8761,8.7871,9.4428,9.4428,123691600
2002-11-01,9.4028,9.9385,8.9311,9.2589,9.2589,91132800
2002-12-01,9.3548,9.8506,9.2589,9.5739,9.5739,80946400
2003-01-01,9.6507,9.9509,8.808,9.1595,9.1595,103306400
2003-02-01,9.113,9.1916,8.6202,8.8593,8.8593,70342800
2003-03-01,8.9252,9.3522,8.1707,8.8288,8.8288,107041200
