Date,Open,High,Low,Close,Adj Close,Volume
,USB,USB,USB,USB,,USB
1985-01-01,0.4626,0.4647,0.443,0.4582,0.4582,2336400
1985-02-01,0.4582,0.4582,0.443,0.4474,0.4474,2120400
1985-03-01,0.4474,0.4626,0.4376,0.4626,0.4626,3448800
1985-04-01,0.4626,0.5212,0.4604,0.5125,0.5125,3087000
1985-05-01,0.5125,0.6124,0.5082,0.6124,0.6124,2498400
1985-06-01,0.6124,0.6645,0.6102,0.6645,0.6645,2538000
1985-07-01,0.6645,0.7427,0.595,0.595,0.595,4174200
1985-08-01,0.6081,0.6298,0.595,0.6037,0.6037,3009600
1985-09-01,0.6037,0.6515,0.595,0.6385,0.6385,1873800
1985-10-01,0.6385,0.6602,0.6254,0.6493,0.6493,1542600
1985-11-01,0.6515,0.6993,0.6515,0.6689,0.6689,2266200
1985-12-01,0.6689,0.6819,0.6341,0.645,0.645,3450600
1986-01-01,0.645,0.6471,0.6341,0.6471,0.6471,4012200
1986-02-01,0.6471,0.6993,0.6428,0.6971,0.6971,1351800
1986-03-01,0.6971,0.7514,0.6949,0.7427,0.7427,2539800
1986-04-01,0.7427,0.7905,0.7427,0.7557,0.7557,1945800
1986-05-01,0.7557,0.7644,0.7514,0.7601,0.7601,1897200
1986-06-01,0.7601,0.8339,0.747,0.8209,0.8209,2887200
1986-07-01,0.8252,0.8686,0.8078,0.8165,0.8165,2746800
1986-08-01,0.8165,0.8165,0.721,0.7297,0.7297,3616200
1986-09-01,0.7253,0.7253,0.6341,0.6689,0.6689,4199400
1986-10-01,0.6689,0.6732,0.5907,0.645,0.645,5423400
1986-11-01,0.645,0.6645,0.6254,0.6385,0.6385,3852000
1986-12-01,0.6385,0.6385,0.5994,0.6081,0.6081,9741600
1987-01-01,0.6081,0.7644,0.6081,0.6428,0.6428,9754200
1987-02-01,0.6428,0.6993,0.6385,0.6862,0.6862,4818600
1987-03-01,0.6862,0.7383,0.6819,0.7123,0.7123,4615200
1987-04-01,0.7123,0.7514,0.6602,0.7079,0.7079,4172400
1987-05-01,0.7079,0.734,0.6493,0.6558,0.6558,5781600
1987-06-01,0.6558,0.6862,0.6515,0.6862,0.6862,8236800
1987-07-01,0.6862,0.7383,0.6775,0.7362,0.7362,5896800
1987-08-01,0.7362,0.8078,0.7297,0.7774,0.7774,7687800
1987-09-01,0.7774,0.86,0.7297,0.8296,0.8296,8703000
1987-10-01,0.8339,0.8686,0.582,0.6124,0.6124,13073400
1987-11-01,0.6124,0.6471,0.6015,0.6385,0.6385,9541800
