Date,Open,High,Low,Close,Adj Close,Volume
,VLTO,VLTO,VLTO,VLTO,,VLTO
2023-10-01,76.2078,80.1339,65.115,68.584,68.584,99087800
2023-11-01,67.7491,77.152,66.2879,76.7843,76.7843,52446100
2023-12-01,76.7047,83.3793,73.8222,81.7641,81.7641,38682700
2024-01-01,80.6983,81.5939,73.5439,76.3102,76.3102,29094100
2024-02-01,76.3699,88.3701,74.6783,85.992,85.992,30108600
2024-03-01,85.2755,90.2408,85.2755,88.2209,88.2209,31970500
2024-04-01,88.2402,95.1827,85.5708,93.3101,93.3101,43239200
2024-05-01,93.2703,102.175,92.7423,98.1908,98.1908,34891800
2024-06-01,100.4518,101.3084,95.0831,95.093,95.093,31352100
2024-07-01,95.7291,107.5332,93.4859,106.2372,106.2372,30999700
2024-08-01,106.3967,112.4284,101.3022,112.0894,112.0894,27106100
2024-09-01,110.7634,111.9399,107.1345,111.5211,111.5211,36460600
2024-10-01,112.2999,114.7444,101.9429,101.9629,101.9629,31935700
2024-11-01,102.6813,108.7168,100.9551,107.9496,107.9496,27079500
2024-12-01,107.76,107.76,99.7778,101.6236,101.6236,26143500
2025-01-01,102.4325,104.66,99.6557,103.2716,103.2716,26013500
2025-02-01,101.9032,103.2616,95.4106,99.6457,99.6457,31930500
2025-03-01,99.6957,102.3227,94.2419,97.3384,97.3384,30154200
2025-04-01,97.05,98.78,83.865,95.9,95.9,36314300
2025-05-01,96.295,102.66,93.536,101.13,101.13,22932650
