Date,Open,High,Low,Close,Adj Close,Volume
,VMC,VMC,VMC,VMC,,VMC
1985-01-01,0.0,3.0933,2.7427,3.0624,3.0624,2188800
1985-02-01,0.0,3.1861,3.0469,3.1809,3.1809,1998000
1985-03-01,0.0,3.217,3.0624,3.1758,3.1758,916800
1985-04-01,0.0,3.1758,3.0366,3.0624,3.0624,1728000
1985-05-01,0.0,3.0624,2.8974,3.052,3.052,1882800
1985-06-01,0.0,3.2273,3.0417,3.2222,3.2222,913200
1985-07-01,0.0,3.449,3.1861,3.4181,3.4181,1856400
1985-08-01,0.0,3.5057,3.3768,3.4645,3.4645,1590000
1985-09-01,0.0,3.4645,3.2789,3.3614,3.3614,2287200
1985-10-01,0.0,3.516,3.3717,3.4954,3.4954,1844400
1985-11-01,0.0,3.6088,3.449,3.5367,3.5367,4213200
1985-12-01,0.0,3.7532,3.547,3.7532,3.7532,1737600
1986-01-01,0.0,3.7635,3.6398,3.7171,3.7171,1752000
1986-02-01,0.0,4.3925,3.681,4.3203,4.3203,2734800
1986-03-01,0.0,4.4801,4.145,4.2069,4.2069,2082000
1986-04-01,0.0,4.4956,4.2069,4.4337,4.4337,3048000
1986-05-01,0.0,4.4646,4.2687,4.3718,4.3718,5011200
1986-06-01,0.0,4.4595,4.3718,4.4079,4.4079,1150800
1986-07-01,0.0,4.4698,4.1656,4.2069,4.2069,2185200
1986-08-01,0.0,4.5368,4.1759,4.5368,4.5368,1642800
1986-09-01,0.0,4.743,4.5162,4.5781,4.5781,976800
1986-10-01,0.0,5.1142,4.5781,5.073,5.073,1424400
1986-11-01,0.0,5.1349,4.9286,5.0214,5.0214,2334000
1986-12-01,0.0,5.1761,4.9802,5.1349,5.1349,2732400
1987-01-01,0.0,5.9391,5.1349,5.6504,5.6504,1149600
1987-02-01,0.0,5.7948,5.3617,5.7535,5.7535,1089600
1987-03-01,0.0,5.852,5.6029,5.7067,5.7067,1678800
1987-04-01,0.0,5.8104,5.5407,5.8104,5.8104,1269600
1987-05-01,0.0,5.8935,5.4784,5.5666,5.5666,1410000
1987-06-01,0.0,6.1185,5.492,6.0663,6.0663,1286400
1987-07-01,0.0,6.3899,6.0558,6.2646,6.2646,784800
1987-08-01,0.0,6.8493,6.2646,6.4317,6.4317,1335600
1987-09-01,0.0,6.509,5.9211,6.488,6.488,940800
1987-10-01,0.0,6.572,3.9894,5.0393,5.0393,3312000
1987-11-01,0.0,5.3332,4.9973,5.2492,5.2492,1666800
1987-12-01,0.0,5.602,5.158,5.5385,5.5385,1599600
1988-01-01,0.0,5.7711,5.2426,5.5597,5.5597,1875600
1988-02-01,5.5597,5.9508,5.5597,5.9191,5.9191,1275600
1988-03-01,5.9823,6.5145,5.9823,6.3868,6.3868,1234800
1988-04-01,6.4081,6.6636,6.2165,6.4294,6.4294,1234800
1988-05-01,6.4294,6.472,6.2165,6.3016,6.3016,1002000
1988-06-01,6.3864,6.665,6.3864,6.5578,6.5578,1269600
1988-07-01,6.5578,6.6275,6.4935,6.5364,6.5364,600000
1988-08-01,6.5578,6.7721,6.2042,6.3006,6.3006,1088400
1988-09-01,6.3531,6.6875,6.3531,6.6228,6.6228,1341600
1988-10-01,6.5797,6.9248,6.4934,6.9248,6.9248,1125600
1988-11-01,6.9032,6.968,6.7307,6.8601,6.8601,577200
1988-12-01,6.8588,7.2061,6.8588,7.2061,7.2061,662400
1989-01-01,7.1844,7.4666,7.0325,7.2278,7.2278,1185600
1989-02-01,7.2061,7.6402,7.2061,7.3146,7.3146,1130400
1989-03-01,7.3568,7.5533,7.335,7.466,7.466,996600
1989-04-01,7.5096,8.4702,7.4223,7.7279,7.7279,1901400
1989-05-01,7.7279,8.2082,7.5096,7.7716,7.7716,1520400
1989-06-01,7.8197,8.1931,7.6,7.6,7.6,1479900
1989-07-01,7.5561,8.0833,7.5342,7.7758,7.7758,1221900
1989-08-01,7.8197,8.3029,7.6001,8.1931,8.1931,1784100
1989-09-01,8.2883,8.4873,7.9568,8.2441,8.2441,3748200
1989-10-01,8.2441,8.3988,7.8242,7.9126,7.9126,1882800
1989-11-01,7.8905,7.9347,7.5369,7.8021,7.8021,1954800
1989-12-01,7.8304,8.3198,7.8081,7.9194,7.9194,1020300
1990-01-01,7.9194,8.2975,7.341,7.4745,7.4745,2369700
1990-02-01,7.5189,7.8304,7.3855,7.6079,7.6079,1538100
1990-03-01,7.6615,8.1992,7.6615,8.132,8.132,1836000
1990-04-01,8.132,8.2216,7.9752,7.9976,7.9976,1178100
1990-05-01,8.0424,8.3784,7.9304,8.1096,8.1096,1725000
1990-06-01,8.1851,8.2302,7.8018,7.8694,7.8694,1848300
1990-07-01,7.8694,8.1851,7.8694,8.1174,8.1174,869100
1990-08-01,8.1174,8.1174,6.539,7.0351,7.0351,2306700
1990-09-01,7.0225,7.0225,6.3635,6.6816,6.6816,1674000
1990-10-01,6.7271,6.818,5.3408,5.5226,5.5226,965700
1990-11-01,5.4999,6.1817,5.3408,5.8635,5.8635,1139100
1990-12-01,5.9619,6.3059,5.7556,6.2371,6.2371,1848600
1991-01-01,6.2371,6.2371,5.5721,6.0995,6.0995,3451800
1991-02-01,6.1912,6.925,6.1912,6.6728,6.6728,2319300
1991-03-01,6.7524,6.8217,6.1974,6.3361,6.3361,1820700
1991-04-01,6.3361,7.3074,6.2668,7.0992,7.0992,3725400
1991-05-01,7.053,7.3999,6.7061,6.7986,6.7986,2133600
1991-06-01,6.8515,7.4341,6.8515,7.0379,7.0379,1507800
1991-07-01,7.0379,7.1078,6.6651,6.8748,6.8748,1337100
1991-08-01,6.8515,7.1311,6.3388,7.0612,7.0612,2027400
1991-09-01,7.1437,7.3786,7.0497,7.3081,7.3081,983100
1991-10-01,7.2611,7.4726,7.1437,7.3316,7.3316,1521600
1991-11-01,7.3316,7.4256,6.8852,6.9087,6.9087,2012700
1991-12-01,6.964,6.964,6.3718,6.8219,6.8219,2191500
1992-01-01,6.8219,7.6272,6.8219,7.5562,7.5562,2437500
1992-02-01,7.5088,7.5325,7.0351,7.2719,7.2719,945000
1992-03-01,7.3529,7.6155,7.2574,7.4962,7.4962,1698300
1992-04-01,7.4484,7.5917,7.1858,7.5917,7.5917,2346600
1992-05-01,7.5678,8.4033,7.3529,8.2124,8.2124,2262000
1992-06-01,8.2944,8.9917,8.1742,8.9436,8.9436,2046000
1992-07-01,8.9195,8.9436,8.1742,8.2223,8.2223,2310900
1992-08-01,8.2464,8.4627,8.1021,8.1021,8.1021,1297200
1992-09-01,8.1582,8.1824,7.6982,7.8919,7.8919,1491000
1992-10-01,7.8677,8.4971,7.6498,8.3519,8.3519,1529700
1992-11-01,8.3035,8.9813,8.3035,8.9813,8.9813,1029600
1992-12-01,9.0162,9.6741,8.9431,9.4061,9.4061,1624800
1993-01-01,9.4548,9.5279,9.1624,9.5279,9.5279,629100
1993-02-01,9.5279,10.9413,9.5279,10.3564,10.3564,2496600
1993-03-01,10.4158,10.5139,9.9257,10.1462,10.1462,1674300
1993-04-01,10.1462,10.2198,8.5777,8.6268,8.6268,2458200
1993-05-01,8.6758,8.7248,7.8915,7.9405,7.9405,3484800
1993-06-01,8.0501,9.1366,8.0501,9.1366,9.1366,3206700
1993-07-01,9.1366,9.1366,8.6428,8.9885,8.9885,1284900
