Date,Open,High,Low,Close,Adj Close,Volume
,VRSN,VRSN,VRSN,VRSN,,VRSN
1998-01-01,4.393,5.5574,4.3401,5.3986,5.3986,18256800
1998-02-01,5.7956,7.8862,5.4251,6.0602,6.0602,35233200
1998-03-01,6.0602,9.9239,5.6103,9.3153,9.3153,24191600
1998-04-01,9.3947,10.3738,7.0129,8.1244,8.1244,17524800
1998-05-01,8.0979,8.7066,6.7483,6.7615,6.7615,12809600
1998-06-01,6.6953,9.13,5.5045,7.9127,7.9127,22714000
1998-07-01,8.1509,9.5005,6.563,6.563,6.563,16618400
1998-08-01,6.563,7.2775,5.5309,6.0073,6.0073,16520400
1998-09-01,5.9279,6.616,4.6312,5.7691,5.7691,14321200
1998-10-01,5.5574,6.8277,4.1019,6.4969,6.4969,22418400
1998-11-01,6.5366,9.7254,6.1131,8.4949,8.4949,54048000
1998-12-01,8.4155,16.4076,7.6745,12.5174,12.5174,55026000
1999-01-01,12.782,20.9064,11.4324,20.1654,20.1654,57471200
1999-02-01,20.483,23.6057,16.9368,20.7476,20.7476,50272800
1999-03-01,20.9593,33.0268,19.742,32.6034,32.6034,57267200
1999-04-01,34.4956,39.8545,21.1446,24.3467,24.3467,99136400
1999-05-01,24.5055,30.6716,19.3715,25.0877,25.0877,95373600
1999-06-01,25.8287,36.8376,20.3242,36.5201,36.5201,53862000
1999-07-01,35.9114,40.966,30.698,31.3861,31.3861,38572000
1999-08-01,31.1214,48.27,23.0764,45.8618,45.8618,60527800
1999-09-01,46.3646,49.8578,40.4367,45.0943,45.0943,41991600
1999-10-01,44.3533,56.7119,41.3365,52.2925,52.2925,57412200
1999-11-01,52.7159,85.7427,52.5042,78.6769,78.6769,65846800
1999-12-01,79.1797,179.5305,75.0249,161.6939,161.6939,50633100
2000-01-01,171.9089,182.3356,124.1682,136.6591,136.6591,62366800
2000-02-01,137.5589,218.9086,131.578,214.251,214.251,49134200
2000-03-01,213.8276,218.9086,119.4047,126.6029,126.6029,102859400
2000-04-01,125.1209,152.0081,77.0626,118.0286,118.0286,112108000
2000-05-01,121.9452,124.4857,84.2608,114.6412,114.6412,71298700
2000-06-01,117.8169,169.7918,117.2876,149.4676,149.4676,116813300
2000-07-01,148.1973,165.1342,127.4497,134.3832,134.3832,66244900
2000-08-01,133.3776,169.0508,115.4881,168.4157,168.4157,84268600
2000-09-01,169.1566,181.5417,135.4947,171.5384,171.5384,97236500
2000-10-01,174.9787,176.0372,98.0749,111.7831,111.7831,144660300
2000-11-01,109.0309,124.0094,63.9895,73.4106,73.4106,140413400
2000-12-01,75.6865,101.8857,55.3623,62.8251,62.8251,114259200
2001-01-01,57.9028,82.7788,49.2756,62.2429,62.2429,166559100
2001-02-01,62.7192,64.36,38.8489,40.3838,40.3838,141835500
2001-03-01,41.2835,46.047,25.2994,30.01,30.01,195037300
2001-04-01,29.8776,46.3222,22.2296,43.426,43.426,213721600
2001-05-01,43.2228,57.5344,41.2412,47.8466,47.8466,175084700
2001-06-01,48.6087,51.2339,40.5468,50.819,50.819,142591500
2001-07-01,49.5233,53.5373,34.8475,46.246,46.246,188007200
2001-08-01,47.2961,49.0575,32.6458,34.7629,34.7629,130225600
2001-09-01,34.7883,36.5666,27.5478,35.4827,35.4827,218959600
2001-10-01,34.4665,45.2637,32.3494,32.7812,32.7812,304234100
2001-11-01,33.2301,39.8778,29.9613,31.638,31.638,243310600
2001-12-01,31.2485,37.5066,30.0968,32.2139,32.2139,153185800
2002-01-01,32.5103,33.2131,25.7525,26.1335,26.1335,276015200
2002-02-01,26.1335,26.9804,18.1817,20.0956,20.0956,211112000
2002-03-01,20.2395,28.3692,20.2056,22.8647,22.8647,150263300
2002-04-01,22.399,23.2035,6.7409,7.8333,7.8333,294419600
2002-05-01,7.7147,9.9589,6.8679,8.1974,8.1974,163527100
2002-06-01,8.1212,8.3922,5.7585,6.0888,6.0888,78146200
2002-07-01,5.9279,6.8764,3.8955,5.4198,5.4198,138175700
2002-08-01,5.352,7.4437,4.3104,6.0803,6.0803,102440700
2002-09-01,5.9618,6.6901,4.2427,4.2766,4.2766,55765800
2002-10-01,4.3866,7.1643,3.3196,6.8171,6.8171,100318900
2002-11-01,6.8764,9.3407,6.6985,8.9003,8.9003,93915200
2002-12-01,9.129,9.2814,6.707,6.7917,6.7917,81194500
2003-01-01,6.9864,9.4931,6.7747,6.9864,6.9864,128595600
2003-02-01,6.9695,7.3167,5.5468,6.5292,6.5292,70653800
2003-03-01,6.6223,7.774,5.9279,7.4014,7.4014,61701300
2003-04-01,7.5369,10.5855,7.2744,10.5093,10.5093,86454300
2003-05-01,10.2976,12.7026,9.4846,12.6857,12.6857,109426900
2003-06-01,12.8805,13.7188,10.9666,11.6779,11.6779,99394600
2003-07-01,11.4239,13.6342,9.7556,11.3138,11.3138,96626600
2003-08-01,11.0174,12.8466,10.3399,12.6857,12.6857,52894200
2003-09-01,12.8212,14.2269,10.8057,11.3985,11.3985,80714400
2003-10-01,11.4832,13.7188,11.136,13.4648,13.4648,67862800
2003-11-01,13.4478,14.8621,12.5925,13.7273,13.7273,55736400
2003-12-01,13.8035,14.3709,12.6518,13.8035,13.8035,40081400
2004-01-01,13.8797,17.8599,13.8289,14.8028,14.8028,87241700
2004-02-01,14.7774,16.09,14.5064,14.7435,14.7435,45456200
2004-03-01,14.9044,15.2432,12.6518,14.0491,14.0491,47919200
2004-04-01,13.9814,15.0992,12.8889,13.7273,13.7273,59636200
2004-05-01,13.685,15.946,13.6596,15.3617,15.3617,66843500
2004-06-01,15.2008,16.903,14.4217,16.8522,16.8522,49514700
