Date,Open,High,Low,Close,Adj Close,Volume
,VRTX,VRTX,VRTX,VRTX,,VRTX
1991-07-01,4.5625,4.625,4.5,4.5,4.5,5118400
1991-08-01,4.5,5.1875,4.1875,5.1875,5.1875,2159000
1991-09-01,5.1875,7.625,4.875,7.375,7.375,4106800
1991-10-01,7.375,8.0,6.625,7.25,7.25,2788000
1991-11-01,7.375,7.8125,5.5625,5.6875,5.6875,1943400
1991-12-01,5.75,8.0,5.5625,7.375,7.375,4802000
1992-01-01,7.25,8.75,6.375,6.75,6.75,3014800
1992-02-01,6.375,6.75,5.875,6.0,6.0,3424800
1992-03-01,6.0,6.625,5.375,5.875,5.875,3826200
1992-04-01,5.875,6.125,5.3125,5.875,5.875,3376000
1992-05-01,5.875,6.0,4.75,4.875,4.875,1742800
1992-06-01,4.75,5.125,3.3125,3.75,3.75,2396400
1992-07-01,3.75,4.625,3.375,4.25,4.25,2381800
1992-08-01,4.25,5.25,4.0,4.75,4.75,1010400
1992-09-01,4.75,5.75,4.625,5.3125,5.3125,1956200
1992-10-01,5.0,5.375,4.5,4.5,4.5,354400
1992-11-01,4.875,6.375,4.5,5.625,5.625,1562200
1992-12-01,5.625,6.0,4.875,4.875,4.875,1409200
1993-01-01,5.125,5.375,4.75,5.0,5.0,829800
1993-02-01,4.875,5.125,3.25,3.75,3.75,1302400
1993-03-01,3.875,4.375,3.625,4.0,4.0,1447000
1993-04-01,4.0,4.25,3.75,4.125,4.125,845800
1993-05-01,4.25,6.25,3.875,5.75,5.75,2837800
1993-06-01,6.125,6.125,4.75,4.75,4.75,1812000
1993-07-01,4.75,5.625,4.25,4.875,4.875,1347000
1993-08-01,4.875,5.5,4.75,5.0,5.0,1221400
1993-09-01,4.875,6.625,4.875,6.375,6.375,1374400
1993-10-01,6.125,9.5,6.0,7.5,7.5,3874000
1993-11-01,7.75,8.375,7.5,8.0,8.0,2118000
1993-12-01,8.0,9.25,7.5,9.25,9.25,2533800
1994-01-01,9.125,10.0,8.625,9.5,9.5,6063800
1994-02-01,9.5,9.625,8.25,8.5,8.5,3426600
1994-03-01,8.75,8.75,6.0625,6.6875,6.6875,4135200
1994-04-01,6.5,7.75,6.125,6.8125,6.8125,1650600
1994-05-01,6.875,7.125,5.9375,6.375,6.375,3414800
1994-06-01,6.0,6.875,5.75,6.125,6.125,1777000
1994-07-01,5.875,6.125,5.25,5.625,5.625,1288800
1994-08-01,5.75,7.5625,5.5,7.1875,7.1875,2664600
1994-09-01,6.875,7.75,6.875,7.125,7.125,2639400
1994-10-01,7.25,7.25,6.5,6.5625,6.5625,981600
1994-11-01,6.375,7.25,6.375,6.875,6.875,713400
1994-12-01,6.875,7.625,5.5,7.5,7.5,1950800
1995-01-01,7.5,8.375,6.5,7.75,7.75,2384400
1995-02-01,8.125,8.375,7.5,8.125,8.125,2131200
1995-03-01,8.125,8.125,6.1875,6.75,6.75,3974600
1995-04-01,6.5,7.25,6.375,7.125,7.125,1649600
1995-05-01,7.5,8.875,7.125,7.875,7.875,2480400
1995-06-01,7.875,8.375,7.875,8.1875,8.1875,2324600
1995-07-01,8.375,8.625,6.625,8.4375,8.4375,2861800
1995-08-01,8.1875,10.75,8.1875,10.375,10.375,4283200
1995-09-01,10.375,11.625,9.0,9.375,9.375,2758000
1995-10-01,9.3125,9.5,8.0,8.25,8.25,1413200
1995-11-01,8.375,10.75,8.125,10.3125,10.3125,3701200
1995-12-01,10.0,13.25,8.75,13.25,13.25,4647400
1996-01-01,12.75,14.5,11.0,13.5,13.5,4578400
1996-02-01,13.6875,14.75,11.5,13.875,13.875,4327200
1996-03-01,14.125,15.375,12.625,13.25,13.25,4063600
1996-04-01,13.5,15.75,12.75,14.625,14.625,5234600
1996-05-01,14.875,19.5,14.625,18.625,18.625,7974800
1996-06-01,18.375,19.25,13.625,15.1875,15.1875,3957400
1996-07-01,15.5,17.25,11.375,12.375,12.375,6281400
1996-08-01,12.5,16.125,12.0,15.875,15.875,8682200
1996-09-01,15.75,18.625,14.25,14.75,14.75,8778800
1996-10-01,14.625,17.375,14.375,16.625,16.625,5153600
1996-11-01,16.625,16.75,14.5,16.125,16.125,3466000
