Date,Open,High,Low,Close,Adj Close,Volume
,VZ,VZ,VZ,VZ,,VZ
1985-01-01,1.3537,1.3938,1.3136,1.3896,1.3896,33320184
1985-02-01,1.3875,1.4339,1.3685,1.4044,1.4044,26217060
1985-03-01,1.4044,1.4382,1.3769,1.4044,1.4044,23696055
1985-04-01,1.4331,1.5171,1.4223,1.502,1.502,14820045
1985-05-01,1.502,1.5667,1.474,1.5494,1.5494,19313198
1985-06-01,1.5494,1.6119,1.5494,1.5968,1.5968,33997134
1985-07-01,1.5998,1.6753,1.5069,1.5285,1.5285,27071033
1985-08-01,1.5307,1.5825,1.4983,1.5739,1.5739,19822916
1985-09-01,1.5739,1.6084,1.4789,1.4854,1.4854,35388407
1985-10-01,1.5139,1.6327,1.5051,1.5997,1.5997,23112503
1985-11-01,1.5997,1.7559,1.5975,1.7515,1.7515,28922209
1985-12-01,1.7515,1.8901,1.7427,1.8747,1.8747,29308279
1986-01-01,1.9057,1.9818,1.7894,1.9684,1.9684,24748402
1986-02-01,1.9952,2.0713,1.9326,2.0534,2.0534,22952385
1986-03-01,2.0534,2.2636,2.0377,2.2234,2.2234,31275089
1986-04-01,2.2562,2.4151,2.1609,2.3153,2.3153,22194034
1986-05-01,2.2971,2.4787,2.1972,2.4696,2.4696,22801603
1986-06-01,2.4651,2.6149,2.3697,2.5241,2.5241,30655511
1986-07-01,2.552,2.7038,2.506,2.7038,2.7038,22511607
1986-08-01,2.7405,2.8325,2.5888,2.7773,2.7773,28399147
1986-09-01,2.7589,2.7957,2.2807,2.3681,2.3681,38029506
1986-10-01,2.4181,2.4973,2.3575,2.4926,2.4926,21272005
1986-11-01,2.5066,2.5998,2.4274,2.5765,2.5765,18652260
1986-12-01,2.5672,2.7209,2.5159,2.5159,2.5159,44211495
1987-01-01,2.5951,2.8452,2.5857,2.8169,2.8169,26624924
1987-02-01,2.8263,2.8546,2.5951,2.732,2.732,30443797
1987-03-01,2.7414,2.7414,2.5385,2.5479,2.5479,34912940
1987-04-01,2.5635,2.6304,2.353,2.5252,2.5252,34222642
1987-05-01,2.53,2.5826,2.353,2.5539,2.5539,23218361
1987-06-01,2.5635,2.7644,2.5252,2.6065,2.6065,29003604
1987-07-01,2.6275,2.676,2.4966,2.6469,2.6469,25854123
1987-08-01,2.6469,3.0008,2.613,2.9281,2.9281,33188973
1987-09-01,2.9426,3.0929,2.7827,2.9717,2.9717,37436171
1987-10-01,3.0278,3.1211,2.3752,2.8315,2.8315,46371338
1987-11-01,2.7972,2.9346,2.5077,2.5715,2.5715,25040621
1987-12-01,2.5616,2.753,2.488,2.5518,2.5518,40662154
1988-01-01,2.5777,2.8962,2.4782,2.8962,2.8962,25217643
1988-02-01,2.9062,2.9261,2.7569,2.8763,2.8763,21460593
1988-03-01,2.8763,2.8863,2.5877,2.6325,2.6325,26672515
1988-04-01,2.6617,2.798,2.591,2.7223,2.7223,17057724
1988-05-01,2.7273,2.9041,2.6263,2.9041,2.9041,15813235
1988-06-01,2.9293,3.0102,2.8485,2.9041,2.9041,31293770
1988-07-01,2.9704,3.0011,2.7962,2.914,2.914,17409548
1988-08-01,2.9191,2.9601,2.7911,2.8167,2.8167,18191021
1988-09-01,2.8116,2.9806,2.7758,2.9499,2.9499,34357854
1988-10-01,2.9925,3.0808,2.9509,3.06,3.06,17228522
1988-11-01,3.06,3.0704,2.8886,2.9405,2.9405,16673433
1988-12-01,2.9301,3.0704,2.9042,2.9561,2.9561,31439657
1989-01-01,2.9829,3.1938,2.925,3.1621,3.1621,18688284
1989-02-01,3.1727,3.1885,3.0567,3.0831,3.0831,18557964
1989-03-01,3.0936,3.2201,3.0515,3.2148,3.2148,21354291
1989-04-01,3.2148,3.5205,3.1569,3.5152,3.5152,22537402
1989-05-01,3.5609,3.7748,3.4486,3.716,3.716,22342588
1989-06-01,3.6999,3.9512,3.6465,3.7427,3.7427,25645965
1989-07-01,3.716,4.1009,3.6999,4.1009,4.1009,25341293
1989-08-01,4.1694,4.3102,4.0828,4.229,4.229,21086089
1989-09-01,4.2181,4.3481,4.1261,4.321,4.321,23357577
1989-10-01,4.321,4.5322,4.1802,4.4293,4.4293,31147438
1989-11-01,4.5061,4.5499,4.4294,4.5115,4.5115,17618590
1989-12-01,4.5334,4.9167,4.5334,4.8729,4.8729,17148460
1990-01-01,4.8948,5.0043,4.1119,4.2816,4.2816,32038774
1990-02-01,4.3455,4.3676,3.8037,3.9751,3.9751,19154861
1990-03-01,3.9751,4.2128,3.8811,4.1741,4.1741,20446053
