Date,Open,High,Low,Close,Adj Close,Volume
,WAB,WAB,WAB,WAB,,WAB
1995-06-01,6.7875,7.24,6.335,6.4481,6.4481,11834600
1995-07-01,6.3916,8.5975,6.3916,8.3713,8.3713,4340800
1995-08-01,8.3147,8.3147,7.1834,7.3531,7.3531,371600
1995-09-01,7.24,7.3531,6.3916,6.5047,6.5047,1035400
1995-10-01,6.5047,6.8441,3.9028,3.9594,3.9594,4400600
1995-11-01,3.9594,4.8078,3.9028,4.1856,4.1856,2947000
1995-12-01,4.1902,4.8697,3.9071,4.8131,4.8131,3660200
1996-01-01,4.8131,4.8697,4.0203,4.1902,4.1902,1824000
1996-02-01,4.1902,5.4926,4.077,5.2095,5.2095,3050800
1996-03-01,5.2095,5.3793,4.5866,4.8697,4.8697,2184400
1996-04-01,4.9306,6.4041,4.8172,6.4041,6.4041,2112000
1996-05-01,6.3474,6.3474,5.554,5.6673,5.6673,2089800
1996-06-01,5.615,6.1255,5.1613,5.9553,5.9553,932400
1996-07-01,5.9553,6.012,4.5374,5.0479,5.0479,851800
1996-08-01,4.9911,5.615,4.9344,5.615,5.615,289800
1996-09-01,5.4495,5.7333,4.9954,5.1089,5.1089,1043000
1996-10-01,5.1657,5.2792,4.7116,4.9386,4.9386,1801200
1996-11-01,5.0521,5.1657,4.9386,5.0521,5.0521,2155600
1996-12-01,4.9999,6.0226,4.9999,5.7385,5.7385,695400
1997-01-01,5.7385,5.9089,5.5112,5.7385,5.7385,1721600
1997-02-01,5.7385,6.0226,5.568,5.7385,5.7385,528800
1997-03-01,5.7431,6.4824,5.6294,5.9137,5.9137,894600
1997-04-01,5.9137,6.7098,5.7431,6.5392,6.5392,1181000
1997-05-01,6.5961,8.1882,6.4824,7.5059,7.5059,1785200
1997-06-01,7.5109,9.1041,7.1126,9.1041,9.1041,1485000
1997-07-01,9.0472,9.3317,8.6489,8.8765,8.8765,1834600
1997-08-01,8.8765,9.0757,8.023,8.7627,8.7627,1092800
1997-09-01,8.8242,10.5321,8.8242,10.5321,10.5321,1266600
1997-10-01,10.646,13.1794,10.2474,11.3007,11.3007,1283800
1997-11-01,11.3291,11.9269,10.4752,10.4752,10.4752,686400
1997-12-01,10.5932,11.8747,9.7389,11.6753,11.6753,1245400
1998-01-01,11.7323,11.7323,10.1091,11.2767,11.2767,1434000
1998-02-01,11.2767,11.8747,10.878,11.5045,11.5045,849400
1998-03-01,11.5092,13.5888,11.2528,13.4464,13.4464,1153200
1998-04-01,13.5888,13.5888,12.5347,12.7911,12.7911,1014800
1998-05-01,12.8481,12.9051,11.908,12.5917,12.5917,905800
1998-06-01,12.5394,12.5394,10.9435,11.9694,11.9694,768400
1998-07-01,11.7984,12.1974,9.9745,9.9745,9.9745,1011800
1998-08-01,10.0315,10.2025,8.6636,9.205,9.205,1718400
1998-09-01,9.1242,9.5804,7.8126,9.0102,9.0102,1001200
1998-10-01,9.0672,10.5499,8.7821,9.8085,9.8085,1269200
1998-11-01,9.7515,10.6354,9.4664,10.0366,10.0366,1120400
1998-12-01,10.0981,11.3247,9.0712,11.1535,11.1535,942400
1999-01-01,10.7542,10.7827,8.1298,8.6718,8.6718,1801400
1999-02-01,8.7003,9.2423,8.1013,9.0426,9.0426,717000
1999-03-01,9.0474,9.761,8.9618,9.5326,9.5326,1097600
1999-04-01,9.5326,10.5601,9.2187,10.1891,10.1891,1079200
1999-05-01,10.0749,10.5316,9.1331,10.4459,10.4459,982000
1999-06-01,10.5935,11.8498,10.1366,11.8498,11.8498,3120800
1999-07-01,11.6214,11.7642,9.7939,10.8504,10.8504,1412400
1999-08-01,10.8504,11.1931,8.1378,9.2229,9.2229,3112600
1999-09-01,9.2269,9.484,8.2271,8.3128,8.3128,1938000
1999-10-01,8.3128,8.5699,7.4272,8.3985,8.3985,4098200
1999-11-01,8.4556,8.8841,7.6272,8.2842,8.2842,2275600
1999-12-01,8.2033,8.4034,7.403,8.1176,8.1176,5238800
2000-01-01,8.0318,8.0318,5.0592,5.0878,5.0878,6929800
2000-02-01,5.1449,5.9739,4.116,4.3446,4.3446,6301000
2000-03-01,4.4053,5.4923,3.8618,4.863,4.863,8610200
2000-04-01,4.8344,5.6067,4.6341,5.1776,5.1776,4179800
2000-05-01,5.1204,5.8356,5.006,5.0704,5.0704,2513200
2000-06-01,5.2106,5.3251,4.2372,4.7525,4.7525,3135600
2000-07-01,4.6952,5.0101,4.3803,4.6093,4.6093,2604200
2000-08-01,4.638,5.096,4.5235,4.7525,4.7525,3288200
2000-09-01,4.7569,5.0434,4.2411,4.6136,4.6136,2487400
2000-10-01,4.5276,4.7282,3.582,4.6422,4.6422,4142600
2000-11-01,4.5849,4.9288,4.0405,4.1264,4.1264,2767400
2000-12-01,4.0445,5.8804,4.0445,5.3927,5.3927,4479600
2001-01-01,5.3353,6.3565,4.9338,6.3565,6.3565,2658400
2001-02-01,6.3106,6.5171,5.9205,6.4254,6.4254,3448000
2001-03-01,6.4531,6.6598,5.1671,5.833,5.833,2789800
2001-04-01,5.7871,6.4209,5.5115,6.1362,6.1362,2605000
2001-05-01,6.1729,6.522,5.879,5.9938,5.9938,2932200
2001-06-01,6.0444,6.8947,5.9754,6.8947,6.8947,3724000
2001-07-01,6.8488,7.005,6.2512,6.6649,6.6649,2971600
2001-08-01,6.7109,6.7109,5.9754,6.3845,6.3845,3330600
2001-09-01,6.371,6.3848,5.014,5.014,5.014,2750400
2001-10-01,5.014,5.75,4.968,5.612,5.612,3912600
2001-11-01,5.612,6.095,5.497,5.52,5.52,2926800
2001-12-01,5.5475,6.0769,5.4324,5.6626,5.6626,4491800
2002-01-01,5.6672,6.3301,5.4554,6.3301,6.3301,6621800
2002-02-01,6.3762,6.7675,5.7961,6.4867,6.4867,3460600
2002-03-01,6.5101,7.1321,6.4732,6.9063,6.9063,5701400
2002-04-01,6.8879,7.367,6.5884,7.0445,7.0445,4807800
2002-05-01,6.9294,7.0261,6.2198,6.312,6.312,3304200
2002-06-01,6.3165,6.9158,5.7632,6.57,6.57,5492800
2002-07-01,6.5239,6.5239,5.4405,5.7678,5.7678,5460800
2002-08-01,5.7724,6.5009,5.5004,5.943,5.943,3397000
2002-09-01,5.9337,6.5013,5.7215,6.4966,6.4966,4099200
2002-10-01,6.4828,6.5935,5.9291,6.5705,6.5705,3679200
2002-11-01,6.3444,6.7966,6.2982,6.6028,6.6028,2199600
2002-12-01,6.6122,6.7368,6.0488,6.4829,6.4829,3095400
2003-01-01,6.4644,6.5937,5.3239,5.5409,5.5409,3014400
2003-02-01,5.5871,5.7395,4.816,5.0792,5.0792,4797000
2003-03-01,5.0746,5.4489,4.6956,5.3658,5.3658,5264200
2003-04-01,5.3611,5.7725,5.1532,5.6662,5.6662,4592000
2003-05-01,5.7124,6.3363,5.6338,6.3363,6.3363,3592200
2003-06-01,6.2949,6.9239,6.0683,6.4337,6.4337,3974000
2003-07-01,6.4799,7.1228,6.1515,6.8268,6.8268,4478800
2003-08-01,6.7806,7.4327,6.3597,7.2385,7.2385,6426400
2003-09-01,7.2666,7.7897,6.9704,7.3361,7.3361,6357200
2003-10-01,7.4055,8.5348,6.9056,7.0815,7.0815,11698800
2003-11-01,7.0584,7.4009,6.6835,7.2435,7.2435,17522000
2003-12-01,7.3178,8.1747,7.2762,7.8921,7.8921,9094400
2004-01-01,7.9199,8.0774,7.341,7.5355,7.5355,5063600
2004-02-01,7.5355,7.8273,7.0585,7.341,7.341,6096000
2004-03-01,7.3133,7.6006,6.3585,6.5995,6.5995,7618000
2004-04-01,6.6691,7.6006,6.3076,7.5543,7.5543,13634000
2004-05-01,7.5543,7.8787,7.2113,7.6423,7.6423,8393800
2004-06-01,7.6517,8.5328,7.559,8.3659,8.3659,9581400
2004-07-01,8.3659,8.7554,7.9995,8.4401,8.4401,8123200
2004-08-01,8.3937,8.4865,7.7398,7.9346,7.9346,5581400
2004-09-01,7.8976,8.7746,7.6795,8.6725,8.6725,8658600
2004-10-01,8.6261,9.5077,8.5008,9.4056,9.4056,8825200
2004-11-01,9.5031,10.5332,9.285,9.5448,9.5448,10684400
2004-12-01,9.4472,10.0275,8.7973,9.8975,9.8975,10675200
2005-01-01,9.865,9.995,8.3562,8.6533,8.6533,8142800
2005-02-01,8.6348,8.7833,7.6738,8.5466,8.5466,12000400
2005-03-01,8.5235,9.9867,8.4492,9.5175,9.5175,16612200
2005-04-01,9.564,10.0749,8.8254,9.2899,9.2899,12558400
2005-05-01,9.3364,9.7312,8.6257,9.6151,9.6151,9245000
2005-06-01,9.62,10.4054,9.2063,9.9825,9.9825,15003600
2005-07-01,9.8988,11.4185,9.6478,11.3534,11.3534,12907000
2005-08-01,11.3859,12.255,11.1257,12.083,12.083,13851400
