Date,Open,High,Low,Close,Adj Close,Volume
,WDC,WDC,WDC,WDC,,WDC
1978-10-01,0.7797,0.953,0.7797,0.7797,0.7797,17993
1978-11-01,0.8231,1.2562,0.7364,0.7364,0.7364,317254
1978-12-01,0.7364,0.9097,0.4765,0.6498,0.6498,290267
1979-01-01,0.6498,1.2562,0.6498,0.9963,0.9963,583971
1979-02-01,0.9963,1.1696,0.7797,0.7797,0.7797,537668
1979-03-01,0.7797,1.3862,0.7364,1.1696,1.1696,688490
1979-04-01,1.1696,1.3862,0.953,1.083,1.083,404574
1979-05-01,1.083,1.2129,0.9963,1.0396,1.0396,370176
1979-06-01,1.0396,1.2129,0.8664,0.9097,0.9097,281535
1979-07-01,0.9097,1.083,0.7364,0.7797,0.7797,191835
1979-08-01,0.7797,1.1696,0.7797,0.9963,0.9963,365942
1979-09-01,0.9963,1.2996,0.953,0.953,0.953,1216895
1979-10-01,0.953,1.2129,0.8231,0.9097,0.9097,559893
1979-11-01,1.0396,1.2129,0.953,0.953,0.953,941447
1979-12-01,1.0396,1.3429,0.9963,1.0396,1.0396,3078887
1980-01-01,1.0396,2.1659,0.953,1.7327,1.7327,4698240
1980-02-01,1.7327,1.906,1.3862,1.5161,1.5161,1613797
1980-03-01,1.5161,1.7761,1.2129,1.3429,1.3429,1670683
1980-04-01,1.3429,1.5595,1.2129,1.2996,1.2996,1117937
1980-05-01,1.2996,1.7761,1.2129,1.5161,1.5161,1165564
1980-06-01,1.5161,1.6894,1.2996,1.4728,1.4728,1164503
1980-07-01,1.4728,2.1226,1.3862,2.036,2.036,6807365
1980-08-01,2.0793,3.3788,2.0793,3.2922,3.2922,9872756
1980-09-01,3.2922,5.0683,3.2922,3.942,3.942,7850151
1980-10-01,4.0286,5.1116,4.0286,4.1586,4.1586,5390964
1980-11-01,4.2452,4.8517,4.2452,4.3752,4.3752,4155543
1980-12-01,4.2019,4.2019,3.2489,3.4222,3.4222,3767638
1981-01-01,3.7687,4.2452,3.5088,3.5088,3.5088,4250006
1981-02-01,3.3788,3.7254,3.1623,3.2056,3.2056,2974897
1981-03-01,3.1189,3.7687,3.0756,3.6821,3.6821,3279451
1981-04-01,3.9853,4.6784,3.6388,3.7254,3.7254,5073176
1981-05-01,3.812,4.0719,3.5088,3.8987,3.8987,1992704
1981-06-01,3.8987,4.7217,3.5954,3.5954,3.5954,2560268
1981-07-01,3.5954,3.5954,3.2056,3.2056,3.2056,1947192
1981-08-01,3.2056,3.2489,2.6424,2.7291,2.7291,1984501
1981-09-01,2.7724,2.9023,2.1226,2.859,2.859,3302209
1981-10-01,3.0756,3.2489,2.859,2.859,2.859,2042711
1981-11-01,2.9023,2.9457,2.5125,2.5125,2.5125,1894007
1981-12-01,2.5125,2.8157,2.2526,2.2959,2.2959,2381400
1982-01-01,2.2959,2.7724,2.2959,2.6857,2.6857,1943485
