Date,Open,High,Low,Close,Adj Close,Volume
,WELL,WELL,WELL,WELL,,WELL
1985-01-01,0.0,0.9123,0.8075,0.8389,0.8389,212700
1985-02-01,0.0,0.8966,0.8022,0.8704,0.8704,307500
1985-03-01,0.0,0.9071,0.8389,0.8913,0.8913,125850
1985-04-01,0.0,0.9228,0.8599,0.8651,0.8651,92100
1985-05-01,0.0,0.9385,0.8494,0.9385,0.9385,142500
1985-06-01,0.0,1.0067,0.9438,0.9752,0.9752,180900
1985-07-01,0.0,1.0749,0.9595,1.0591,1.0591,335700
1985-08-01,0.0,1.0801,1.0277,1.0486,1.0486,238350
1985-09-01,0.0,1.0618,0.9752,1.0224,1.0224,158500
1985-10-01,0.0,1.0382,0.873,1.0224,1.0224,171200
1985-11-01,0.0,1.0303,0.7786,0.8966,0.8966,434400
1985-12-01,0.0,0.9281,0.8415,0.9202,0.9202,127700
1986-01-01,0.0,0.9595,0.8258,0.8573,0.8573,100100
1986-02-01,0.0,0.9674,0.8101,0.9674,0.9674,159900
1986-03-01,0.0,1.0618,0.9674,1.0382,1.0382,121700
1986-04-01,0.0,1.1404,1.0382,1.0775,1.0775,121000
1986-05-01,0.0,1.1011,1.0303,1.0618,1.0618,88300
1986-06-01,0.0,1.0618,0.991,1.0303,1.0303,234700
1986-07-01,0.0,1.2033,0.9988,1.1247,1.1247,128500
1986-08-01,0.0,1.164,1.0853,1.1483,1.1483,454800
1986-09-01,0.0,1.1876,1.0382,1.1011,1.1011,208300
1986-10-01,0.0,1.1089,1.0539,1.0853,1.0853,127000
1986-11-01,0.0,1.0932,0.9438,1.0224,1.0224,148000
1986-12-01,0.0,1.046,0.9831,1.0382,1.0382,173900
1987-01-01,0.0,1.1011,1.0146,1.0539,1.0539,232600
1987-02-01,0.0,1.1264,1.0379,1.0861,1.0861,169800
1987-03-01,0.0,1.1746,1.062,1.1103,1.1103,169600
1987-04-01,0.0,1.1827,1.0942,1.1425,1.1425,153800
1987-05-01,0.0,1.1701,1.0383,1.0877,1.0877,178500
1987-06-01,0.0,1.1537,1.0795,1.1289,1.1289,141600
1987-07-01,0.0,1.2031,1.1207,1.1372,1.1372,148700
1987-08-01,0.0,1.1736,1.0892,1.1483,1.1483,140600
1987-09-01,0.0,1.1483,1.0807,1.1314,1.1314,147000
1987-10-01,0.0,1.1651,0.9203,0.9794,0.9794,201200
1987-11-01,0.0,1.1289,0.9987,1.0942,1.0942,81000
1987-12-01,0.0,1.1029,1.0334,1.0421,1.0421,110300
1988-01-01,0.0,1.1811,1.0421,1.1376,1.1376,83000
1988-02-01,0.0,1.2305,1.1413,1.1948,1.1948,123000
1988-03-01,0.0,1.3108,1.2038,1.2929,1.2929,139200
1988-04-01,0.0,1.3108,1.2483,1.2573,1.2573,83700
1988-05-01,0.0,1.3155,1.2059,1.215,1.215,90900
1988-06-01,0.0,1.2424,1.1602,1.2333,1.2333,142300
1988-07-01,0.0,1.2607,1.1693,1.1693,1.1693,74600
1988-08-01,0.0,1.2288,1.1068,1.1631,1.1631,102800
1988-09-01,0.0,1.1819,1.135,1.1631,1.1631,78500
1988-10-01,0.0,1.1725,0.8536,0.8911,0.8911,248600
1988-11-01,0.0,0.9281,0.8895,0.9088,0.9088,244000
1988-12-01,0.0,0.9281,0.8315,0.9185,0.9185,225000
1989-01-01,0.0,0.9668,0.8798,0.9088,0.9088,168500
1989-02-01,0.0,1.0081,0.9282,0.9981,0.9981,122100
1989-03-01,0.0,1.1079,0.9881,1.0879,1.0879,86200
1989-04-01,0.0,1.1179,1.0181,1.028,1.028,118300
1989-05-01,0.0,1.2021,1.0583,1.2021,1.2021,138200
1989-06-01,0.0,1.2124,1.1507,1.1713,1.1713,222400
1989-07-01,0.0,1.3151,1.1507,1.2124,1.2124,135700
1989-08-01,0.0,1.2673,1.2039,1.2673,1.2673,218200
1989-09-01,0.0,1.2673,1.2145,1.2356,1.2356,64700
