Date,Open,High,Low,Close,Adj Close,Volume
,WFC,WFC,WFC,WFC,,WFC
1985-01-01,0.2795,0.3221,0.278,0.319,0.319,49488000
1985-02-01,0.3248,0.345,0.3094,0.3217,0.3217,39096000
1985-03-01,0.3248,0.331,0.3063,0.3264,0.3264,37610400
1985-04-01,0.3264,0.345,0.3156,0.3187,0.3187,49761600
1985-05-01,0.3187,0.331,0.3094,0.3187,0.3187,33753600
1985-06-01,0.3228,0.3511,0.3212,0.3433,0.3433,28339200
1985-07-01,0.3433,0.3606,0.3401,0.3559,0.3559,61332000
1985-08-01,0.3559,0.3622,0.3149,0.3149,0.3149,25670400
1985-09-01,0.3215,0.3311,0.3007,0.3087,0.3087,35592000
1985-10-01,0.3071,0.3263,0.2863,0.3199,0.3199,37425600
1985-11-01,0.3103,0.3631,0.3055,0.3551,0.3551,26121600
1985-12-01,0.3618,0.4107,0.357,0.4075,0.4075,38299200
1986-01-01,0.4026,0.4238,0.3651,0.3993,0.3993,43725600
1986-02-01,0.3961,0.4417,0.383,0.4238,0.4238,50464800
1986-03-01,0.4367,0.5029,0.4301,0.488,0.488,62524800
1986-04-01,0.4897,0.5112,0.4367,0.4979,0.4979,64245600
1986-05-01,0.4946,0.5161,0.4516,0.4996,0.4996,21907200
1986-06-01,0.5092,0.5126,0.4791,0.5042,0.5042,31123200
1986-07-01,0.5427,0.5427,0.4958,0.5143,0.5143,54672000
1986-08-01,0.5143,0.5394,0.4958,0.5293,0.5293,44320800
1986-09-01,0.5424,0.5611,0.4628,0.495,0.495,40212000
1986-10-01,0.4933,0.5034,0.4577,0.4967,0.4967,46202400
1986-11-01,0.495,0.5356,0.4763,0.5272,0.5272,22317600
1986-12-01,0.5303,0.5543,0.4942,0.4994,0.4994,35169600
1987-01-01,0.5028,0.5869,0.5028,0.5732,0.5732,39148800
1987-02-01,0.556,0.5835,0.5423,0.556,0.556,29616000
1987-03-01,0.576,0.5864,0.5309,0.5482,0.5482,25435200
1987-04-01,0.5447,0.569,0.4649,0.5205,0.5205,31994400
1987-05-01,0.5205,0.5656,0.5135,0.5534,0.5534,31581600
1987-06-01,0.5637,0.6322,0.5602,0.5971,0.5971,23541600
1987-07-01,0.5988,0.6111,0.5725,0.5918,0.5918,23037600
1987-08-01,0.5655,0.6743,0.5655,0.6392,0.6392,34668000
1987-09-01,0.6532,0.6674,0.6177,0.6621,0.6621,41222400
1987-10-01,0.6621,0.6745,0.4509,0.5112,0.5112,29630400
1987-11-01,0.5041,0.5432,0.4828,0.5077,0.5077,28106400
1987-12-01,0.5177,0.5716,0.4853,0.5321,0.5321,22473600
1988-01-01,0.5392,0.6183,0.5285,0.6004,0.6004,35918400
1988-02-01,0.5932,0.6507,0.5896,0.6399,0.6399,46730400
1988-03-01,0.6505,0.6541,0.5996,0.6142,0.6142,31879200
1988-04-01,0.6105,0.6342,0.596,0.6051,0.6051,25934400
1988-05-01,0.5978,0.6178,0.5905,0.6142,0.6142,25478400
1988-06-01,0.6216,0.7044,0.6216,0.6989,0.6989,47306400
1988-07-01,0.698,0.7283,0.6731,0.7118,0.7118,23769600
1988-08-01,0.7035,0.778,0.7007,0.7476,0.7476,44755200
1988-09-01,0.7526,0.7861,0.7275,0.7526,0.7526,32324800
1988-10-01,0.7582,0.7721,0.7052,0.7164,0.7164,40699200
1988-11-01,0.721,0.7492,0.7069,0.7295,0.7295,28792000
1988-12-01,0.7295,0.7492,0.7069,0.7238,0.7238,36088000
1989-01-01,0.7238,0.8168,0.7182,0.8111,0.8111,32851200
1989-02-01,0.8254,0.8282,0.7912,0.8055,0.8055,28980800
1989-03-01,0.8083,0.8539,0.7969,0.8368,0.8368,52531200
1989-04-01,0.8368,0.8738,0.8169,0.8652,0.8652,19443200
1989-05-01,0.8539,0.9051,0.8226,0.8823,0.8823,38396800
1989-06-01,0.8967,1.0491,0.8939,0.9686,0.9686,35731200
1989-07-01,0.9657,1.0175,0.96,0.9772,0.9772,28192800
1989-08-01,0.9917,1.0786,0.9685,1.0323,1.0323,30849600
1989-09-01,1.0207,1.0786,1.0033,1.067,1.067,18259200
1989-10-01,1.0612,1.1192,0.9859,1.0091,1.0091,22582400
