Date,Open,High,Low,Close,Adj Close,Volume
,WMB,WMB,WMB,WMB,,WMB
1985-01-01,0.8229,0.8298,0.7743,0.8055,0.8055,19166875
1985-02-01,0.7986,0.8229,0.7291,0.7743,0.7743,25367689
1985-03-01,0.7673,0.8402,0.7361,0.8333,0.8333,20484970
1985-04-01,0.8406,0.8652,0.7526,0.7737,0.7737,28592366
1985-05-01,0.7737,0.8933,0.7667,0.8722,0.8722,30935909
1985-06-01,0.8864,0.8864,0.7939,0.8117,0.8117,20424836
1985-07-01,0.8117,0.8793,0.7796,0.7974,0.7974,15734541
1985-08-01,0.7939,0.9398,0.7796,0.8793,0.8793,44465611
1985-09-01,0.8962,0.907,0.7847,0.8134,0.8134,21289132
1985-10-01,0.8134,0.9646,0.8026,0.8746,0.8746,46711341
1985-11-01,0.8602,0.8782,0.799,0.8458,0.8458,22288128
1985-12-01,0.8278,0.8566,0.7954,0.8566,0.8566,21613847
1986-01-01,0.856,0.8597,0.6338,0.7067,0.7067,23686398
1986-02-01,0.6994,0.7249,0.6557,0.7213,0.7213,20911506
1986-03-01,0.7213,0.7249,0.6448,0.6848,0.6848,25018920
1986-04-01,0.6948,0.717,0.6689,0.6985,0.6985,31299908
1986-05-01,0.7022,0.7281,0.6726,0.6985,0.6985,17787847
1986-06-01,0.7125,0.72,0.675,0.705,0.705,10827769
1986-07-01,0.705,0.705,0.5587,0.5625,0.5625,11911748
1986-08-01,0.5662,0.6225,0.5287,0.6225,0.6225,24326202
1986-09-01,0.6334,0.6869,0.5647,0.5647,0.5647,20871418
1986-10-01,0.5647,0.6067,0.5419,0.5724,0.5724,15616681
1986-11-01,0.5724,0.7708,0.5533,0.767,0.767,41571258
1986-12-01,0.7823,0.7861,0.6907,0.7098,0.7098,15553344
1987-01-01,0.7275,0.9287,0.7198,0.9094,0.9094,48826383
1987-02-01,0.9017,0.9984,0.8978,0.9597,0.9597,44201031
1987-03-01,0.9597,1.0758,0.9365,0.9907,0.9907,36350998
1987-04-01,0.9901,1.0254,0.9549,0.9823,0.9823,21851969
1987-05-01,0.9823,1.0215,0.9393,1.0215,1.0215,22701033
1987-06-01,1.0249,1.1357,1.0011,1.0882,1.0882,28854540
1987-07-01,1.0803,1.1673,1.0486,1.1159,1.1159,33543233
1987-08-01,1.108,1.1357,1.0447,1.0605,1.0605,29547261
1987-09-01,1.0674,1.1314,1.0155,1.1234,1.1234,37151956
1987-10-01,1.1234,1.2114,0.6716,0.8635,0.8635,39590108
1987-11-01,0.8556,0.8875,0.6317,0.6836,0.6836,19611852
1987-12-01,0.7143,0.7914,0.6656,0.7589,0.7589,17564960
1988-01-01,0.767,0.8604,0.7183,0.7914,0.7914,23465110
1988-02-01,0.7914,0.9172,0.763,0.8928,0.8928,15605458
1988-03-01,0.9045,0.9456,0.851,0.9045,0.9045,37031690
1988-04-01,0.9127,1.0607,0.9003,1.0483,1.0483,27632660
1988-05-01,1.0483,1.0483,0.9373,0.999,0.999,16509041
1988-06-01,1.0106,1.1229,0.9898,1.0397,1.0397,25803845
1988-07-01,1.0397,1.0979,0.9773,1.0023,1.0023,11069097
1988-08-01,1.0064,1.0605,0.9565,0.9607,0.9607,23619849
1988-09-01,0.9762,1.1698,0.9594,1.0941,1.0941,32094455
1988-10-01,1.0857,1.2792,1.0688,1.1488,1.1488,45556005
1988-11-01,1.1404,1.1488,0.9931,1.052,1.052,21580975
1988-12-01,1.0601,1.0814,1.026,1.0388,1.0388,11914154
1989-01-01,1.0388,1.1538,1.0133,1.1367,1.1367,24545081
1989-02-01,1.1453,1.1453,1.0218,1.0771,1.0771,22740323
1989-03-01,1.0934,1.1365,1.0246,1.0375,1.0375,20885046
1989-04-01,1.0332,1.1107,1.0289,1.0805,1.0805,33784563
1989-05-01,1.0848,1.2441,1.059,1.2398,1.2398,51537934
1989-06-01,1.2524,1.4089,1.2219,1.3002,1.3002,55588429
1989-07-01,1.2959,1.3959,1.2828,1.3872,1.3872,25834310
1989-08-01,1.3872,1.4872,1.3263,1.4872,1.4872,30006669
1989-09-01,1.5051,1.5315,1.413,1.4656,1.4656,24537863
1989-10-01,1.4656,1.571,1.2901,1.413,1.413,36622794
1989-11-01,1.413,1.4174,1.2594,1.3559,1.3559,26206328
1989-12-01,1.3689,1.4442,1.3379,1.3689,1.3689,33960149
1990-01-01,1.3689,1.4398,1.0632,1.1873,1.1873,31442622
1990-02-01,1.1828,1.2626,1.0544,1.0987,1.0987,20076070
1990-03-01,1.1159,1.21,1.1025,1.1562,1.1562,25188094
1990-04-01,1.1473,1.1876,1.0442,1.0756,1.0756,33054159
1990-05-01,1.0756,1.2414,1.0352,1.1473,1.1473,34393100
1990-06-01,1.1593,1.1774,1.0868,1.0868,1.0868,25130366
1990-07-01,1.0914,1.0914,0.9464,1.0415,1.0415,28476912
1990-08-01,1.0506,1.1049,0.8378,0.9238,0.9238,31049764
1990-09-01,0.9462,0.9645,0.9232,0.9554,0.9554,15593433
1990-10-01,0.9462,1.084,0.9462,1.0334,1.0334,16982079
1990-11-01,1.0334,1.1253,0.9783,1.0197,1.0197,15902912
1990-12-01,1.0371,1.0417,0.9533,0.9626,0.9626,13767822
1991-01-01,0.958,1.0743,0.944,0.9766,0.9766,13815929
1991-02-01,0.9905,1.1905,0.9533,1.158,1.158,25444656
1991-03-01,1.1758,1.2275,1.1429,1.1946,1.1946,16716697
1991-04-01,1.1899,1.284,1.1664,1.284,1.284,24555505
1991-05-01,1.2793,1.3404,1.2651,1.3169,1.3169,27171648
1991-06-01,1.3255,1.335,1.202,1.2067,1.2067,13924968
1991-07-01,1.2067,1.3493,1.1972,1.2685,1.2685,22921518
1991-08-01,1.2685,1.3113,1.202,1.278,1.278,23303155
1991-09-01,1.3011,1.3875,1.2819,1.3731,1.3731,15511651
1991-10-01,1.3779,1.4115,1.2578,1.3779,1.3779,15424260
1991-11-01,1.3731,1.4499,1.3155,1.3251,1.3251,17695646
1991-12-01,1.3332,1.5223,1.3041,1.4884,1.4884,17229822
1992-01-01,1.4787,1.4932,1.3478,1.3866,1.3866,24794427
