Date,Open,High,Low,Close,Adj Close,Volume
,WSM,WSM,WSM,WSM,,WSM
1983-07-01,0.3321,0.3637,0.3321,0.3427,0.3427,67025475
1983-08-01,0.3427,0.3506,0.3163,0.3163,0.3163,15491250
1983-09-01,0.3163,0.369,0.3005,0.3479,0.3479,6512400
1983-10-01,0.3479,0.3637,0.3427,0.3558,0.3558,2891700
1983-11-01,0.3558,0.3637,0.2847,0.3031,0.3031,18796050
1983-12-01,0.3058,0.311,0.145,0.145,0.145,47403225
1984-01-01,0.145,0.1529,0.1265,0.1265,0.1265,10959300
1984-02-01,0.1265,0.1265,0.1133,0.1186,0.1186,23953725
1984-03-01,0.1186,0.1212,0.1054,0.1107,0.1107,3456675
1984-04-01,0.1107,0.1212,0.1081,0.1133,0.1133,4665600
1984-05-01,0.1212,0.1239,0.1133,0.116,0.116,12617775
1984-06-01,0.116,0.1397,0.116,0.1344,0.1344,19348875
1984-07-01,0.1344,0.1555,0.116,0.1226,0.1226,7581600
1984-08-01,0.1226,0.1423,0.1186,0.1344,0.1344,5613300
1984-09-01,0.141,0.1423,0.1318,0.1371,0.1371,5455350
1984-10-01,0.1371,0.1397,0.1292,0.1318,0.1318,1002375
1984-11-01,0.1292,0.1292,0.1028,0.1054,0.1054,2551500
1984-12-01,0.1028,0.1107,0.0923,0.1107,0.1107,5491800
1985-01-01,0.1081,0.1502,0.1054,0.1476,0.1476,21742425
1985-02-01,0.1476,0.1555,0.1423,0.1502,0.1502,20448450
1985-03-01,0.1476,0.1502,0.145,0.145,0.145,4143150
1985-04-01,0.145,0.1581,0.145,0.1581,0.1581,2600100
1985-05-01,0.1581,0.1845,0.1555,0.1819,0.1819,3505275
1985-06-01,0.1792,0.1871,0.1792,0.1792,0.1792,2855250
1985-07-01,0.1792,0.1819,0.1661,0.1766,0.1766,22854150
1985-08-01,0.1766,0.1819,0.174,0.1819,0.1819,4149225
1985-09-01,0.174,0.1766,0.1687,0.1713,0.1713,1701000
1985-10-01,0.1713,0.1766,0.17,0.1713,0.1713,4896450
1985-11-01,0.174,0.2003,0.174,0.1924,0.1924,8444250
1985-12-01,0.1951,0.203,0.1898,0.2003,0.2003,3165075
1986-01-01,0.2003,0.2056,0.1951,0.2003,0.2003,6475950
1986-02-01,0.2003,0.2583,0.2003,0.2583,0.2583,5759100
1986-03-01,0.2583,0.2768,0.253,0.2768,0.2768,3304800
1986-04-01,0.2768,0.2847,0.232,0.2425,0.2425,6056775
1986-05-01,0.2346,0.253,0.2293,0.253,0.253,4768875
1986-06-01,0.253,0.2807,0.2451,0.2807,0.2807,23911200
1986-07-01,0.2807,0.3361,0.2768,0.3123,0.3123,19970550
1986-08-01,0.3123,0.3598,0.3005,0.3479,0.3479,14413950
1986-09-01,0.3479,0.3598,0.3044,0.3123,0.3123,4276800
1986-10-01,0.3084,0.3123,0.3005,0.3084,0.3084,5103000
1986-11-01,0.3084,0.3163,0.2926,0.3044,0.3044,10181700
1986-12-01,0.3084,0.3084,0.2807,0.2886,0.2886,15944850
1987-01-01,0.2886,0.3598,0.2807,0.3558,0.3558,11250900
1987-02-01,0.3637,0.4151,0.3637,0.4151,0.4151,13178700
1987-03-01,0.4191,0.4349,0.4151,0.4191,0.4191,5957550
1987-04-01,0.4191,0.423,0.2728,0.2965,0.2965,8100000
1987-05-01,0.2965,0.3479,0.2926,0.3479,0.3479,12530700
1987-06-01,0.3321,0.4112,0.3242,0.3954,0.3954,8379450
1987-07-01,0.3954,0.3993,0.3677,0.3677,0.3677,5115150
1987-08-01,0.3677,0.3796,0.3637,0.3677,0.3677,1526850
1987-09-01,0.3677,0.3756,0.3123,0.3203,0.3203,13680900
1987-10-01,0.3203,0.3242,0.2491,0.253,0.253,4892400
1987-11-01,0.253,0.2689,0.2372,0.2372,0.2372,1818450
1987-12-01,0.2372,0.2926,0.2254,0.2847,0.2847,10230300
1988-01-01,0.2847,0.2926,0.2768,0.2787,0.2787,4313250
1988-02-01,0.2787,0.2847,0.2728,0.2768,0.2768,1620000
1988-03-01,0.2728,0.3163,0.2728,0.3163,0.3163,1522800
1988-04-01,0.3163,0.3163,0.2965,0.3064,0.3064,2381400
1988-05-01,0.3064,0.3282,0.3005,0.3123,0.3123,3373650
1988-06-01,0.3123,0.3163,0.3044,0.3163,0.3163,2571750
1988-07-01,0.3163,0.3558,0.3084,0.3519,0.3519,2547450
1988-08-01,0.3479,0.3558,0.3321,0.3479,0.3479,4977450
1988-09-01,0.3479,0.3479,0.3282,0.3479,0.3479,5009850
1988-10-01,0.3479,0.3519,0.3321,0.34,0.34,3543750
1988-11-01,0.34,0.34,0.3084,0.3321,0.3321,8201250
1988-12-01,0.3321,0.3321,0.2886,0.3064,0.3064,1563300
1989-01-01,0.3064,0.3242,0.3005,0.3044,0.3044,4078350
1989-02-01,0.3044,0.3163,0.3044,0.3104,0.3104,2118150
1989-03-01,0.3104,0.3875,0.3084,0.3756,0.3756,4438800
1989-04-01,0.3716,0.4349,0.3558,0.427,0.427,12607650
1989-05-01,0.427,0.5061,0.4191,0.5061,0.5061,13316400
1989-06-01,0.5061,0.5654,0.5061,0.5219,0.5219,10692000
1989-07-01,0.5219,0.5575,0.51,0.5575,0.5575,4679100
1989-08-01,0.5575,0.6168,0.5456,0.5931,0.5931,3761100
1989-09-01,0.5931,0.6702,0.5693,0.6583,0.6583,11493900
1989-10-01,0.6583,0.6939,0.5871,0.6109,0.6109,6693300
1989-11-01,0.5931,0.6761,0.5931,0.6464,0.6464,2683800
1989-12-01,0.6464,0.6702,0.6464,0.6642,0.6642,3105000
1990-01-01,0.6642,0.6702,0.6049,0.6286,0.6286,5089500
1990-02-01,0.6286,0.6761,0.6227,0.6702,0.6702,3901500
1990-03-01,0.6702,0.771,0.6642,0.7295,0.7295,10635300
1990-04-01,0.7295,0.7947,0.7057,0.765,0.765,5154300
1990-05-01,0.771,0.937,0.7532,0.9133,0.9133,8478000
1990-06-01,0.9133,0.943,0.8362,0.8421,0.8421,7171200
1990-07-01,0.8629,1.0052,0.854,0.9074,0.9074,40123800
1990-08-01,0.9163,0.9163,0.6316,0.7117,0.7117,27999000
1990-09-01,0.7117,0.7561,0.4448,0.4982,0.4982,26978400
1990-10-01,0.4893,0.596,0.4893,0.5249,0.5249,14155200
1990-11-01,0.5249,0.6538,0.516,0.6494,0.6494,20910600
1990-12-01,0.6583,0.7739,0.6494,0.7117,0.7117,18253800
1991-01-01,0.7028,0.7917,0.5871,0.7739,0.7739,14785200
1991-02-01,0.7917,0.9341,0.7739,0.8095,0.8095,21313800
1991-03-01,0.8362,1.0141,0.8095,1.0141,1.0141,9291600
1991-04-01,1.0141,1.0141,0.8896,0.9608,0.9608,12981600
1991-05-01,0.9697,1.0052,0.8451,0.8985,0.8985,23743800
1991-06-01,0.9074,0.9074,0.6227,0.6405,0.6405,28962000
1991-07-01,0.6405,0.9074,0.6316,0.9074,0.9074,29550600
1991-08-01,0.8896,0.9341,0.6761,0.6983,0.6983,43763400
1991-09-01,0.7117,0.8006,0.5782,0.6227,0.6227,39187800
1991-10-01,0.6227,0.6583,0.5071,0.5916,0.5916,37229400
1991-11-01,0.596,0.596,0.4537,0.4804,0.4804,27205200
1991-12-01,0.4804,0.6049,0.4715,0.596,0.596,28746000
1992-01-01,0.5871,0.6405,0.5249,0.5782,0.5782,23050800
1992-02-01,0.5693,0.6494,0.5338,0.6227,0.6227,24381000
1992-03-01,0.6494,0.6494,0.5426,0.5426,0.5426,14554800
1992-04-01,0.516,0.5604,0.4715,0.5071,0.5071,12303000
1992-05-01,0.516,0.516,0.4092,0.4448,0.4448,23734800
1992-06-01,0.4448,0.4448,0.3825,0.4181,0.4181,20574000
1992-07-01,0.4448,0.4448,0.3114,0.3469,0.3469,17789400
1992-08-01,0.3647,0.427,0.3291,0.4003,0.4003,12907800
1992-09-01,0.3825,0.4893,0.3825,0.4403,0.4403,16318800
1992-10-01,0.4537,0.4715,0.3736,0.4448,0.4448,11107800
1992-11-01,0.4537,0.4537,0.3914,0.4403,0.4403,21326400
1992-12-01,0.4448,0.4804,0.3469,0.4626,0.4626,56181600
1993-01-01,0.4537,0.5338,0.4448,0.4715,0.4715,42183000
1993-02-01,0.4626,0.4804,0.4092,0.4137,0.4137,18311400
1993-03-01,0.4092,0.4893,0.3558,0.4715,0.4715,27379800
1993-04-01,0.4626,0.5071,0.4537,0.4937,0.4937,14387400
1993-05-01,0.4893,0.5871,0.4759,0.5782,0.5782,16115400
1993-06-01,0.5515,0.6049,0.5338,0.5871,0.5871,20680200
1993-07-01,0.5782,0.6583,0.5693,0.5916,0.5916,16081200
1993-08-01,0.5871,0.8273,0.5871,0.7873,0.7873,39774600
