Date,Open,High,Low,Close,Adj Close,Volume
,WYNN,WYNN,WYNN,WYNN,,WYNN
2002-10-01,7.0034,7.0842,6.4862,6.7933,6.7933,22912200
2002-11-01,6.7825,7.1327,5.7966,6.9064,6.9064,8332400
2002-12-01,6.971,7.7522,6.6317,7.0626,7.0626,3004700
2003-01-01,7.0088,7.9731,6.8741,7.4074,7.4074,2315700
2003-02-01,7.4236,7.8923,7.1919,7.6606,7.6606,1776800
2003-03-01,7.596,8.3502,7.4451,8.2963,8.2963,2520500
2003-04-01,8.2155,9.3899,7.9084,9.1583,9.1583,3398600
2003-05-01,9.1583,10.295,8.8242,10.1441,10.1441,4501200
2003-06-01,10.1818,10.2357,9.1852,9.5569,9.5569,5321000
2003-07-01,8.835,9.697,8.5657,9.1852,9.1852,14917800
2003-08-01,9.2067,9.3037,8.0754,8.9697,8.9697,7182500
2003-09-01,8.9966,9.9663,8.7488,9.7939,9.7939,7785800
2003-10-01,9.7993,12.3367,9.7993,10.8606,10.8606,7253700
2003-11-01,10.9091,13.4626,10.3758,13.4088,13.4088,9703500
2003-12-01,13.4626,15.4128,13.1771,15.0896,15.0896,8010100
2004-01-01,15.095,16.2424,14.8148,15.9084,15.9084,6547100
2004-02-01,15.8815,19.8626,15.8115,19.5771,19.5771,12145200
2004-03-01,19.367,21.6889,18.1333,18.8552,18.8552,12818500
2004-04-01,18.9522,22.0337,18.6397,21.5111,21.5111,10552700
2004-05-01,21.8505,22.7125,19.297,20.827,20.827,17368100
2004-06-01,20.8754,23.5798,19.8896,20.8108,20.8108,14834700
2004-07-01,20.9024,20.9024,18.5266,19.2754,19.2754,7619400
2004-08-01,19.103,21.1286,18.4135,20.7946,20.7946,7171500
2004-09-01,20.7515,28.536,20.6061,27.8465,27.8465,15235200
2004-10-01,28.035,31.6498,27.2108,31.3266,31.3266,18741000
2004-11-01,31.2512,34.6398,30.4377,31.2943,31.2943,28647500
2004-12-01,31.2943,39.3212,31.068,36.0512,36.0512,40665400
2005-01-01,36.0135,37.4303,32.5387,35.3185,35.3185,25215000
2005-02-01,35.5394,40.431,35.2808,38.5563,38.5563,20743000
2005-03-01,38.7825,41.1852,36.3206,36.4929,36.4929,26428400
2005-04-01,36.5199,36.633,27.8519,28.5199,28.5199,50707300
