Date,Open,High,Low,Close,Adj Close,Volume
,WY,WY,WY,WY,,WY
1985-01-01,1.7963,2.0791,1.7581,1.9109,1.9109,10207650
1985-02-01,1.9301,2.0382,1.8529,1.8992,1.8992,6254700
1985-03-01,1.8915,1.9224,1.6676,1.7448,1.7448,9164400
1985-04-01,1.7448,1.8683,1.683,1.7294,1.7294,5724150
1985-05-01,1.7414,1.8898,1.6477,1.8039,1.8039,6225000
1985-06-01,1.8117,1.8585,1.7414,1.7961,1.7961,4892850
1985-07-01,1.7805,1.8664,1.757,1.8117,1.8117,6191250
1985-08-01,1.8242,1.8557,1.6978,1.8084,1.8084,4630050
1985-09-01,1.8242,1.832,1.6504,1.6741,1.6741,4361550
1985-10-01,1.6741,1.7215,1.5636,1.6662,1.6662,4843950
1985-11-01,1.6793,2.0072,1.6713,1.9752,1.9752,9335850
1985-12-01,1.9592,2.0711,1.9112,1.9672,1.9672,8305350
1986-01-01,1.9592,2.1191,1.8952,2.0871,2.0871,8604600
1986-02-01,2.1096,2.3683,2.1015,2.3683,2.3683,11003700
1986-03-01,2.3683,2.5057,2.2309,2.4895,2.4895,13166250
1986-04-01,2.4814,2.6027,2.2794,2.3764,2.3764,9395250
1986-05-01,2.389,2.4706,2.1444,2.4217,2.4217,7460100
1986-06-01,2.4135,2.4298,2.2097,2.2749,2.2749,7458300
1986-07-01,2.2667,2.2749,1.9895,2.1444,2.1444,8491500
1986-08-01,2.1665,2.4713,2.0594,2.4301,2.4301,10086450
1986-09-01,2.4137,2.5537,2.2242,2.2901,2.2901,11862750
1986-10-01,2.2901,2.5867,2.2736,2.5784,2.5784,11799450
1986-11-01,2.6177,2.6759,2.4432,2.6177,2.6177,9745800
1986-12-01,2.6094,2.7424,2.4931,2.5097,2.5097,11130000
1987-01-01,2.518,3.3324,2.518,3.1662,3.1662,25596450
1987-02-01,3.1716,3.5482,3.0461,3.4896,3.4896,12538350
1987-03-01,3.4896,3.975,3.3725,3.7993,3.7993,22038000
1987-04-01,3.7156,4.0168,3.3139,3.6737,3.6737,18165300
1987-05-01,3.7055,3.8065,3.0149,3.3013,3.3013,15439200
1987-06-01,3.3686,3.6129,3.3013,3.3855,3.3855,12545550
1987-07-01,3.3686,3.5202,3.1834,3.436,3.436,17095650
1987-08-01,3.4085,3.9003,3.4085,3.7392,3.7392,18400350
1987-09-01,3.6968,3.7307,3.3746,3.5357,3.5357,14770650
1987-10-01,3.5441,3.6289,2.0264,2.5521,2.5521,22212900
1987-11-01,2.5453,2.7338,2.3482,2.4082,2.4082,11084850
1987-12-01,2.4339,2.8624,2.2796,2.6567,2.6567,12402900
1988-01-01,2.6738,2.811,2.3825,2.6053,2.6053,11110950
1988-02-01,2.6664,2.9954,2.5625,2.9867,2.9867,11305800
1988-03-01,2.9954,3.0646,2.6664,2.6837,2.6837,9888450
1988-04-01,2.6664,2.8742,2.4673,2.5971,2.5971,11543100
1988-05-01,2.6372,2.6986,2.4971,2.5759,2.5759,8218200
1988-06-01,2.5759,3.0227,2.5759,2.8782,2.8782,10240900
1988-07-01,2.865,2.9308,2.5365,2.6153,2.6153,9903800
1988-08-01,2.6735,2.7533,2.5006,2.5937,2.5937,8463300
1988-09-01,2.5804,2.7134,2.5139,2.5804,2.5804,8536600
1988-10-01,2.5804,2.7001,2.474,2.5937,2.5937,8309500
1988-11-01,2.6248,2.6921,2.5844,2.6786,2.6786,6429300
1988-12-01,2.6786,2.7594,2.5171,2.7055,2.7055,7223300
1989-01-01,2.6921,2.9478,2.6382,2.9074,2.9074,10853200
1989-02-01,2.9135,3.0088,2.7501,2.8182,2.8182,12089700
1989-03-01,2.8318,2.9816,2.7501,2.8999,2.8999,6154000
1989-04-01,2.8999,3.2947,2.8046,3.1858,3.1858,13877400
1989-05-01,3.1914,3.3978,3.1227,3.274,3.274,10519500
1989-06-01,3.2327,3.3015,2.9988,3.0401,3.0401,8766300
1989-07-01,3.0539,3.4941,3.0126,3.4941,3.4941,7639200
1989-08-01,3.5584,3.6418,3.3499,3.4889,3.4889,11238800
1989-09-01,3.4611,3.5445,3.2387,3.2804,3.2804,6571000
1989-10-01,3.2804,3.5306,2.8773,3.0302,3.0302,11667700
1989-11-01,3.0629,3.105,2.8521,3.0769,3.0769,7240300
