Date,Open,High,Low,Close,Adj Close,Volume
,XOM,XOM,XOM,XOM,,XOM
1985-01-01,1.3001,1.4051,1.2784,1.3907,1.3907,170295200
1985-02-01,1.3834,1.4015,1.3363,1.3762,1.3762,149500800
1985-03-01,1.4045,1.5003,1.3971,1.4819,1.4819,132103200
1985-04-01,1.4708,1.5962,1.4598,1.5187,1.5187,107101600
1985-05-01,1.5224,1.5998,1.4524,1.5925,1.5925,129675200
1985-06-01,1.6188,1.6338,1.4951,1.6151,1.6151,126180000
1985-07-01,1.6076,1.6151,1.5364,1.5738,1.5738,141728800
1985-08-01,1.5776,1.5851,1.5139,1.5813,1.5813,103317600
1985-09-01,1.6079,1.6079,1.4745,1.5812,1.5812,108110400
1985-10-01,1.585,1.6765,1.5507,1.6765,1.6765,135417600
1985-11-01,1.6612,1.7031,1.5926,1.6269,1.6269,105299200
1985-12-01,1.6538,1.708,1.5182,1.708,1.708,224056800
1986-01-01,1.7041,1.739,1.5337,1.6034,1.6034,193724800
1986-02-01,1.6034,1.6964,1.4989,1.6189,1.6189,195362400
1986-03-01,1.6476,1.8013,1.6279,1.758,1.758,170290400
1986-04-01,1.7658,1.8486,1.7067,1.7856,1.7856,143535200
1986-05-01,1.7658,1.8959,1.758,1.888,1.888,140169600
1986-06-01,1.9209,1.9729,1.8729,1.9489,1.9489,108103200
1986-07-01,1.9409,1.9689,1.8409,1.9449,1.9449,116440800
1986-08-01,1.9369,2.2331,1.9209,2.205,2.205,176232000
1986-09-01,2.2405,2.3136,2.0781,2.1837,2.1837,188786400
1986-10-01,2.1837,2.2648,2.1268,2.208,2.208,128466400
1986-11-01,2.2161,2.277,2.1309,2.2486,2.2486,144118400
1986-12-01,2.2491,2.4383,2.2368,2.3067,2.3067,222530400
1987-01-01,2.3437,2.7836,2.3067,2.722,2.722,187705600
1987-02-01,2.7178,2.796,2.5082,2.5781,2.5781,168090400
1987-03-01,2.602,2.9594,2.5937,2.8514,2.8514,175820000
1987-04-01,2.8348,3.0592,2.8015,2.8805,2.8805,201853600
1987-05-01,2.8597,3.0135,2.8306,2.8929,2.8929,163461600
1987-06-01,2.9395,3.1662,2.9101,3.1326,3.1326,146688800
1987-07-01,3.12,3.2586,3.0486,3.162,3.162,149542400
1987-08-01,3.1914,3.3678,3.1368,3.3468,3.3468,189709600
1987-09-01,3.3902,3.4199,3.0635,3.3011,3.3011,155925600
1987-10-01,3.3351,3.3945,2.0961,2.8938,2.8938,222472400
1987-11-01,2.8174,2.9871,2.444,2.4949,2.4949,116646000
1987-12-01,2.5589,2.8852,2.4215,2.619,2.619,131424000
1988-01-01,2.6705,2.8852,2.516,2.8852,2.8852,128872400
1988-02-01,2.8852,2.9968,2.6791,2.9281,2.9281,112541200
1988-03-01,2.9556,3.1034,2.8774,2.9208,2.9208,134066000
1988-04-01,2.9034,3.1642,2.86,3.1208,3.1208,136432000
1988-05-01,3.1208,3.1816,2.9991,3.1294,3.1294,89578000
1988-06-01,3.1337,3.3714,3.0633,3.1954,3.1954,149382000
1988-07-01,3.1777,3.3362,3.1073,3.3362,3.3362,98825600
1988-08-01,3.3186,3.3626,3.1689,3.2746,3.2746,112506800
1988-09-01,3.2956,3.3491,3.1442,3.1888,3.1888,133003200
1988-10-01,3.1709,3.3313,3.0908,3.1888,3.1888,99668800
1988-11-01,3.1799,3.2333,2.877,3.0819,3.0819,100018400
1988-12-01,3.1113,3.3548,3.0482,3.1744,3.1744,101334400
1989-01-01,3.1384,3.3458,3.1113,3.3458,3.3458,101827600
1989-02-01,3.3187,3.3458,3.1293,3.1654,3.1654,85284800
1989-03-01,3.2129,3.368,3.1307,3.2037,3.2037,118401200
1989-04-01,3.1855,3.2767,3.0303,3.149,3.149,162047200
1989-05-01,3.1307,3.2311,3.0486,3.149,3.149,121500800
1989-06-01,3.1904,3.4031,3.1811,3.2551,3.2551,118291200
1989-07-01,3.2736,3.4585,3.2181,3.3846,3.3846,101170400
1989-08-01,3.3938,3.4216,3.1904,3.2366,3.2366,125412800
1989-09-01,3.2794,3.4199,3.27,3.3543,3.3543,106638000
1989-10-01,3.3543,3.5136,3.2419,3.448,3.448,124611600
1989-11-01,3.4574,3.6073,3.3731,3.5417,3.5417,77686400
1989-12-01,3.5979,3.9207,3.5884,3.7973,3.7973,102131600
1990-01-01,3.7878,3.8352,3.465,3.5694,3.5694,106407600
1990-02-01,3.5884,3.7308,3.5125,3.5694,3.5694,87748800
1990-03-01,3.5954,3.6723,3.4992,3.5569,3.5569,93473200
1990-04-01,3.5281,3.6338,3.4512,3.48,3.48,74631600
1990-05-01,3.4992,3.7396,3.4608,3.6915,3.6915,101425200
1990-06-01,3.7495,3.8372,3.6424,3.73,3.73,96683200
1990-07-01,3.7106,4.0514,3.6424,4.0417,4.0417,112125200
1990-08-01,4.0514,4.2949,3.7787,3.8956,3.8956,150198000
1990-09-01,3.9392,4.0869,3.8407,3.8604,3.8604,92159200
1990-10-01,3.8702,3.9785,3.7225,3.8604,3.8604,99960400
1990-11-01,3.8899,4.0475,3.8013,3.9884,3.9884,86538800
1990-12-01,4.053,4.1927,3.9332,4.1328,4.1328,78140000
1991-01-01,4.1328,4.2327,3.9631,4.1228,4.1228,94615200
1991-02-01,4.0929,4.4722,4.0031,4.4024,4.4024,120037200
1991-03-01,4.4404,4.845,4.4101,4.7338,4.7338,91663600
1991-04-01,4.7237,4.9664,4.5719,4.8147,4.8147,99406000
1991-05-01,4.8349,4.9158,4.5214,4.7135,4.7135,106229200
1991-06-01,4.7678,4.8906,4.6041,4.7576,4.7576,77909200
1991-07-01,4.778,4.9213,4.6553,4.8599,4.8599,78870800
1991-08-01,4.8701,4.9008,4.6348,4.7678,4.7678,83602400
1991-09-01,4.8219,4.9564,4.7598,4.9254,4.9254,69794400
1991-10-01,4.946,5.1219,4.8529,5.0495,5.0495,88568400
1991-11-01,5.0599,5.1116,4.7288,4.8529,4.8529,78616000
1991-12-01,4.854,5.105,4.6761,5.0946,5.0946,96914800
1992-01-01,5.0423,5.1259,4.833,4.8749,4.8749,106293200
1992-02-01,4.8749,4.9899,4.7284,4.7807,4.7807,81080000
1992-03-01,4.8246,4.8563,4.5495,4.6341,4.6341,89134800
1992-04-01,4.613,5.0891,4.5918,5.0785,5.0785,96218400
1992-05-01,5.0891,5.4382,4.941,5.1314,5.1314,103641600
1992-06-01,5.2051,5.4515,5.2051,5.3015,5.3015,82929600
1992-07-01,5.3015,5.4622,5.2265,5.4407,5.4407,81220800
1992-08-01,5.43,5.6121,5.3765,5.505,5.505,81331600
1992-09-01,5.5569,5.6111,5.3728,5.5353,5.5353,76162000
1992-10-01,5.5569,5.5569,5.2753,5.3078,5.3078,69050000
1992-11-01,5.3186,5.3186,5.037,5.1561,5.1561,76940400
1992-12-01,5.2189,5.5149,5.1093,5.3614,5.3614,84966800
1993-01-01,5.3724,5.4711,5.0654,5.3614,5.3614,98809600
1993-02-01,5.3834,5.6904,5.3285,5.5807,5.5807,96919600
1993-03-01,5.6347,5.923,5.5016,5.8676,5.8676,95874400
1993-04-01,5.8676,6.1227,5.6679,5.8565,5.8565,102219600
1993-05-01,5.8898,5.9009,5.6125,5.8121,5.8121,87368400
1993-06-01,5.8656,6.0451,5.7759,5.9329,5.9329,101565200
1993-07-01,5.9329,5.989,5.6862,5.8881,5.8881,79988000
1993-08-01,5.8993,5.989,5.7198,5.8656,5.8656,83779600
1993-09-01,5.9089,6.0564,5.8295,5.9429,5.9429,88834400
1993-10-01,5.9429,6.0223,5.8068,5.9316,5.9316,76925600
1993-11-01,5.9089,5.9429,5.5346,5.6934,5.6934,89428000
1993-12-01,5.769,5.8952,5.6429,5.792,5.792,93592400
1994-01-01,5.8034,6.1246,5.792,6.1016,6.1016,104489200
1994-02-01,6.1016,6.1819,5.9525,5.9525,5.9525,78646800
1994-03-01,5.994,6.1563,5.7042,5.8317,5.8317,105986800
1994-04-01,5.7158,5.9013,5.5998,5.8317,5.8317,107590400
1994-05-01,5.8317,5.8317,5.5998,5.6694,5.6694,84946400
1994-06-01,5.7235,5.8525,5.2661,5.3247,5.3247,164724800
1994-07-01,5.3599,5.6179,5.3012,5.5827,5.5827,75602000
1994-08-01,5.5827,5.7117,5.442,5.5827,5.5827,92463600
1994-09-01,5.6507,5.7575,5.4489,5.4607,5.4607,101888400
1994-10-01,5.4726,6.0068,5.342,5.9712,5.9712,109044400
1994-11-01,5.9118,5.9593,5.6151,5.7338,5.7338,91242800
1994-12-01,5.7805,5.9728,5.6844,5.8406,5.8406,96888400
1995-01-01,5.8166,6.1531,5.7805,6.0089,6.0089,85365200
1995-02-01,6.0209,6.1891,5.9007,6.1411,6.1411,91049600
1995-03-01,6.2154,6.5194,6.1059,6.4829,6.4829,110820400
1995-04-01,6.4708,6.8357,6.4221,6.7627,6.7627,109906800
1995-05-01,6.787,6.9938,6.7505,6.9451,6.9451,116496800
1995-06-01,7.0069,7.1175,6.7364,6.9454,6.9454,123768800
1995-07-01,6.9454,7.265,6.9454,7.1298,7.1298,99212800
1995-08-01,7.1175,7.1175,6.6995,6.761,6.761,102002400
1995-09-01,6.8209,7.38,6.8209,7.1812,7.1812,101004400
1995-10-01,7.1688,7.6409,7.0942,7.5912,7.5912,99992400
1995-11-01,7.5912,7.9639,7.4172,7.6906,7.6906,88534400
1995-12-01,7.7541,8.6323,7.7415,8.143,8.143,135798000
1996-01-01,8.0552,8.532,7.7917,8.0552,8.0552,132827200
1996-02-01,8.0552,8.4943,7.8419,7.9799,7.9799,131040000
1996-03-01,8.0667,8.7125,7.8641,8.2566,8.2566,159090800
1996-04-01,8.32,8.7125,8.092,8.6112,8.6112,137387200
