Date,Open,High,Low,Close,Adj Close,Volume
,YUM,YUM,YUM,YUM,,YUM
1997-09-01,3.5196,4.0858,3.5196,3.9634,3.9634,59492514
1997-10-01,3.971,4.1853,3.5655,3.7109,3.7109,189800282
1997-11-01,3.7338,4.4378,3.6573,4.1394,4.1394,98857259
1997-12-01,4.2082,4.3383,3.4125,3.5579,3.5579,93891386
1998-01-01,3.5579,3.5885,3.0682,3.3436,3.3436,103247809
1998-02-01,3.3742,3.5502,3.183,3.489,3.489,79668135
1998-03-01,3.4737,3.8563,3.466,3.6803,3.6803,72214598
1998-04-01,3.6803,4.0399,3.6573,3.8869,3.8869,49866791
1998-05-01,3.8869,3.9481,3.6573,3.8027,3.8027,40441375
1998-06-01,3.8027,4.1623,3.6191,3.8792,3.8792,51641153
1998-07-01,3.9098,4.5143,3.8945,4.3307,4.3307,63536429
1998-08-01,4.3,4.9887,3.6726,4.5372,4.5372,74742326
1998-09-01,4.5296,4.8968,4.346,4.7897,4.7897,62301221
1998-10-01,4.8892,5.5243,3.8563,5.3253,5.3253,106360309
1998-11-01,5.31,5.815,5.2412,5.6008,5.6008,55844755
1998-12-01,5.5396,6.2282,5.5319,6.1364,6.1364,52956480
1999-01-01,6.0139,6.2435,5.509,5.8227,5.8227,55997210
1999-02-01,5.7538,7.7661,5.662,7.6054,7.6054,87722024
1999-03-01,7.5289,8.8908,7.4065,8.6001,8.6001,80940620
1999-04-01,8.9061,9.0439,7.2229,7.8809,7.8809,95214507
1999-05-01,7.8809,8.0645,6.5113,7.131,7.131,75337673
1999-06-01,7.1004,7.1004,5.8456,6.6261,6.6261,118025794
1999-07-01,6.4577,7.0698,4.9275,4.981,4.981,112904133
1999-08-01,5.0193,5.486,4.2847,4.9734,4.9734,170383033
1999-09-01,4.9734,5.4171,4.4913,5.0116,5.0116,109860069
1999-10-01,5.0193,5.2565,4.7209,4.9198,4.9198,75877936
1999-11-01,4.9198,5.662,4.7668,5.0805,5.0805,86264813
1999-12-01,5.0575,5.0652,4.5984,4.7285,4.7285,85554847
2000-01-01,4.7209,4.7209,3.489,3.5043,3.5043,112353850
2000-02-01,3.5961,3.9481,3.0911,3.2595,3.2595,114875457
2000-03-01,3.2518,4.0399,3.183,3.8027,3.8027,104722827
2000-04-01,3.818,4.3536,3.5196,4.147,4.147,87032088
2000-05-01,4.1547,4.2082,3.5579,3.5885,3.5885,78886949
2000-06-01,3.5808,3.7568,3.2595,3.4584,3.4584,90449494
2000-07-01,3.4661,3.971,2.8846,2.9687,2.9687,105865671
2000-08-01,2.9687,3.9787,2.9687,3.5674,3.5674,94762709
2000-09-01,3.5655,3.9175,3.4967,3.7492,3.7492,74384004
2000-10-01,3.7568,3.8792,3.1676,3.6726,3.6726,82637641
2000-11-01,3.642,4.5984,3.5885,4.4072,4.4072,91688042
2000-12-01,4.3766,4.4148,3.8486,4.0399,4.0399,96018503
2001-01-01,4.0476,4.4439,3.8639,4.4096,4.4096,108809028
2001-02-01,4.4096,4.7389,4.2125,4.7132,4.7132,96697311
2001-03-01,4.652,4.9201,4.2847,4.6753,4.6753,113111669
2001-04-01,4.652,5.5028,4.4647,5.4869,5.4869,79076123
2001-05-01,5.4477,5.7048,4.9372,5.5947,5.5947,103799758
2001-06-01,5.5947,5.968,5.2274,5.3743,5.3743,86196376
2001-07-01,5.3755,5.6253,5.0621,5.6008,5.6008,74922599
2001-08-01,5.5151,5.6289,5.1711,5.2176,5.2176,67672707
2001-09-01,5.2078,5.3217,4.5969,4.8014,4.8014,62035820
2001-10-01,4.7132,6.2153,4.603,6.1933,6.1933,136649615
2001-11-01,6.1933,6.4149,5.766,5.8089,5.8089,78438490
2001-12-01,5.815,6.5263,5.7783,6.0231,6.0231,90317632
2002-01-01,6.0599,6.8495,5.8579,6.8311,6.8311,107399109
2002-02-01,6.7821,7.3392,6.4883,7.2388,7.2388,78064589
2002-03-01,7.2229,7.4004,6.8005,7.1959,7.1959,97820127
2002-04-01,7.1971,7.8264,6.9694,7.7199,7.7199,85323940
2002-05-01,7.535,8.0529,7.4701,7.8227,7.8227,101961969
2002-06-01,7.8411,8.1214,7.1616,7.1616,7.1616,96602167
2002-07-01,7.2473,7.5656,5.651,7.5656,7.5656,115844149
2002-08-01,7.3453,7.715,6.3292,7.4261,7.4261,109327870
