Date,Open,High,Low,Close,Adj Close,Volume
,ZBRA,ZBRA,ZBRA,ZBRA,,ZBRA
1991-08-01,3.8889,4.2222,3.5556,4.1111,4.1111,21277350
1991-09-01,4.1667,4.1667,3.8333,3.9167,3.9167,5653800
1991-10-01,3.9444,3.9444,3.5,3.6667,3.6667,3977100
1991-11-01,3.8889,4.0556,3.6667,3.8333,3.8333,3092850
1991-12-01,3.7778,3.9444,3.2222,3.7222,3.7222,8097300
1992-01-01,3.6111,4.9444,3.6111,4.6111,4.6111,6030450
1992-02-01,4.6111,4.6667,4.1667,4.4444,4.4444,3189600
1992-03-01,4.3333,4.4444,4.0556,4.0556,4.0556,1495350
1992-04-01,4.1667,4.1667,3.5,3.9444,3.9444,4004100
1992-05-01,4.0,4.6111,3.8889,4.3333,4.3333,4288050
1992-06-01,4.1667,4.3333,3.5,4.0556,4.0556,1861200
1992-07-01,4.0556,4.3333,3.6667,3.8333,3.8333,4914450
1992-08-01,3.8889,3.8889,3.2222,3.7778,3.7778,3814200
1992-09-01,3.7778,4.1667,3.7778,3.9444,3.9444,2274750
1992-10-01,3.8889,4.3333,3.3889,4.2778,4.2778,4173750
1992-11-01,4.2778,4.8889,4.1667,4.7778,4.7778,3122550
1992-12-01,4.8333,5.5,4.6667,5.3333,5.3333,3380850
1993-01-01,5.2222,5.7778,5.1111,5.3889,5.3889,2695050
1993-02-01,5.3889,5.5556,4.5,5.1667,5.1667,2116350
1993-03-01,5.1667,5.9444,4.7778,5.7778,5.7778,12654900
1993-04-01,5.7778,6.9444,5.7222,6.7222,6.7222,12456450
1993-05-01,6.6667,8.5556,6.6667,8.1111,8.1111,9918450
1993-06-01,8.1111,9.3889,8.0,9.1111,9.1111,6150150
1993-07-01,9.2778,9.3889,7.5,7.6111,7.6111,13509900
1993-08-01,7.5,10.1111,7.3333,8.6111,8.6111,8580150
1993-09-01,8.7778,10.0,8.5556,9.8889,9.8889,9211500
1993-10-01,10.0,11.6667,9.8889,11.5,11.5,12291300
1993-11-01,11.5,13.5,10.6111,12.7222,12.7222,16752150
1993-12-01,12.7222,13.3333,11.5,12.5833,12.5833,10582200
1994-01-01,12.7222,12.7222,10.3889,10.6667,10.6667,8833500
1994-02-01,10.6667,11.7222,9.5,10.2222,10.2222,9006300
1994-03-01,10.3333,12.4444,7.6111,8.7778,8.7778,18522900
1994-04-01,8.0,8.4444,5.2222,6.3889,6.3889,38898450
1994-05-01,6.3889,7.0,5.8333,6.6111,6.6111,13767300
1994-06-01,6.6111,8.0,6.6111,7.0556,7.0556,10242900
1994-07-01,7.0556,8.3333,6.8889,7.9444,7.9444,10010700
1994-08-01,7.8333,9.0,7.7778,8.7222,8.7222,8691300
1994-09-01,8.7222,9.0556,7.3889,8.1667,8.1667,15866550
1994-10-01,7.9444,9.1667,7.5,8.9444,8.9444,5322150
1994-11-01,9.0,9.5833,7.8333,8.3333,8.3333,9030150
1994-12-01,8.5,8.8889,7.6111,8.6806,8.6806,4165200
1995-01-01,8.6667,9.3333,8.2222,8.8889,8.8889,3845250
1995-02-01,9.1111,9.5556,8.0556,8.0833,8.0833,6342300
1995-03-01,8.0,9.4444,8.0,9.1111,9.1111,6441750
1995-04-01,9.1111,10.4444,8.5,10.1944,10.1944,7813800
1995-05-01,10.1111,10.2778,9.6667,10.0,10.0,4048650
1995-06-01,10.0,12.1667,9.9444,11.8333,11.8333,8194050
1995-07-01,11.8333,14.0,11.8333,13.9444,13.9444,8514900
